n_types,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,cand_e_core,record_id,origin,cell,e_target,feed,library_id,case_id,support_class,M_HM_tU,B_cycle,B_d
2,0,min_f_r,644.7305990463159,1.3443885841769114,1.5456691487630576,1.949027571133293,1361.4230850335398,0.03987494498884801,76.20275487595296,5.299999999999999,6ddc78c25ed6641fa07bbddc7255ddfbd3f172b7f6d69d00072ed4bc06abb98c,elite,e5.3_f117,5.3,117,ga80,L1_L2,"trained (74,537 rows)",102.031,25.168326416934413,51.8424501408649
2,0,min_f_r,654.6928932064118,0.7546134354633863,1.476351047829691,1.858717773594117,1350.290189622312,0.04085051595278974,70.85221696362655,5.3,df904fc75d4cca47bcbbf516385eafd3c793c5933924709a9f8309475d69b4f9,guided,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.557224154460283,50.903231580371305
2,1,,654.7677707914581,0.9452119726133985,1.4786727107114839,1.8602987286219255,1355.193656086638,0.04047797265568839,71.11543038481268,5.3,d7c8c92f78e34dcf417196af7206b63f15c7a05485d85edb0ae8d84acf5f9392,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.560147148195252,50.909053410868225
2,2,,654.892181333087,0.8177119185471621,1.4848291851669044,1.87011439460327,1355.3450093648435,0.039830458721644646,71.0201981719875,5.3,08dea2bf263714b220720f4938a222a99a2306ffd4700d10386e567a493774b9,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.565003758267828,50.91872649374005
2,3,,655.035642024611,1.125894613005957,1.4856752186428013,1.8650664332666713,1363.4406476355998,0.04051696568332799,71.00187499658622,5.3,2a8c0733a0b949a5f1cac45598402fb9469349a99cc01ecf0327772cccc7afd0,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.570604028392456,50.929880750765136
2,4,,657.6587147137362,1.202512048304724,1.4901537531263913,1.8795922350006444,1368.6539586284598,0.04031742512571382,71.44221161186096,5.3,109a956dcac3480872cb7141aabbc1456e91b454307994f037f2080b1eb8c866,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.67300082754067,51.133828094523146
2,5,,658.4043715677615,0.6685155793860075,1.5057879749900747,1.9083062393851802,1353.0651504917987,0.040582575026408566,71.71027747513537,5.3,3214ebba6803612f5d136b3e26a1edddf9995fa536fa952fd3cb8c7edc0e9d69,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.702109008732766,51.19180389342642
2,6,,658.481279394306,1.1698365460595557,1.5064977764671672,1.904468848037043,1351.9899080442292,0.04122201791606675,71.51115082643535,5.3,236153f08c56d0e9e7582fbd725b28141986592ab4d2c5f35130da3db1775ba2,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.705111256935897,51.19778357786406
2,7,,658.8140678458057,0.947211335129528,1.5078992715218469,1.9082676587899383,1357.3655030712853,0.04096829786718556,71.7297836968983,5.3,aeb425c1312eaae011ba506e57b76fc5c16a035e9dc2486a7e4d5393b912db2a,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.71810230837276,51.22365831667632
2,8,,659.292337641424,0.661337602209622,1.5139173297571216,1.915179615915571,1363.8094899772861,0.04019097975202397,71.56157409922073,5.3,337a67af5e063760d69ed84718e4c497af277984f15eae3369ea2c60a57f4288,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.73677251008071,51.26084442090455
2,9,,661.7357990239835,0.8811123161066386,1.5218692106686442,1.9075544840293668,1320.0066479390825,0.04973980704143642,73.02738443355204,5.3,bbb7c5991741a04e93e162bf0c5a92916dfbc990705dea7be8436a22e3897b00,guided,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.83215782877723,51.450826749878615
2,10,knee,662.5479992497058,0.8102682361129268,1.524701582077979,1.9106325322529594,1324.6977137953022,0.04917180025080793,72.73743895332498,5.3,f30a050740867e402f72084cfed447eef63cc09b3b8e3b879896779703a5a32a,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.863863661301888,51.513976383254175
2,11,,662.6028682207065,0.746264991308405,1.5367697690242403,1.9203539456891279,1342.8308297154535,0.050917312377556825,72.65837959701561,5.3,0940ab0f5333cad4343e5438609e2b4f5d2447ed05e8cc20158209c184455d5e,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.86600557945243,51.518242517752356
2,12,,663.4857676529678,0.5132641617975616,1.5387452445666001,1.9263819466325915,1344.010658767107,0.05092979956199728,73.02124462749768,5.3,e06a1dacf970ae3546e91733ef56064170ebac197dd602edacbfbaa086d6c0db,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.900471294492707,51.58688910721274
2,13,max_cyclen,663.847501323554,0.7808641320567774,1.5451737367808613,1.940147140613898,1349.2932057337948,0.04775658368602627,73.43250158122748,5.3,2ec8a0a60fe4a0c94c490414364dc45f3349a2d03886969de02c9bcd75c75524,elite,e5.3_f121,5.3,121,ga80,L1_L2,"trained (74,537 rows)",102.031,25.914592279460347,51.61501437479292
3,0,min_f_r,663.7809010601352,1.4430559038822577,1.541061587812546,1.9206003782974812,1478.845936836697,0.041336335817584946,71.74639697171403,5.292561983471075,a7387c19ee8cd2c5dcc7ebf1bbd6da5346f97b0c5cd427c73f54e82c98af256c,elite,e5.3_f121,5.3,121,ga80,N1_L1_K1,SPARSE (60 rows / 39 in train),102.031,25.91199240724759,51.60983611691462
3,1,,664.2577823615757,1.170441555082526,1.543672765710159,1.9247922807707787,1478.479989731888,0.04302970665629019,71.92353214933716,5.292561983471075,ce341a97e5b276882ef57efe13af9e7b45bea3fbc16921a15deb30fbdee9909d,elite,e5.3_f121,5.3,121,ga80,N1_L1_K1,SPARSE (60 rows / 39 in train),102.031,25.93060840635565,51.64691426389844
3,2,knee,664.4921635251937,1.2813536171722326,1.5481839225963592,1.9273477922044164,1482.5628155556326,0.041357320418467236,71.59555142197256,5.295867768595042,809dad24af9b5b958679522e9b3520a289943c9b8d0e01fbcd9323274b762d5b,elite,e5.3_f121,5.3,121,ga80,N1_L1_K1,SPARSE (60 rows / 39 in train),102.031,25.939757935850054,51.66513770694101
3,3,max_cyclen,664.9466555065287,1.3059815132905737,1.5484682001782109,1.9332424220686344,1491.9362827593368,0.04114351217183193,71.97910550993117,5.292561983471075,b1e0885f496dfd45f9efc109577a0c426a4a4199de334e435d15d08fbc393492,elite,e5.3_f121,5.3,121,ga80,N1_L1_K1,SPARSE (60 rows / 39 in train),102.031,25.957499923832383,51.70047505490582
2,0,min_f_r,661.6200360110995,0.7267042599182222,1.5007262612253003,1.9052721260927235,1369.9955751389386,0.039575919896332024,70.87659982860025,5.3,8a208438c85931eef85f884b125f79ade9778bcaf1c30985683a0decacce7dd7,elite,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,25.82763879198949,49.79568759095574
2,1,,662.0499941578531,1.0419457893578288,1.5021675546451472,1.9058740218763908,1366.774012791185,0.0401674160144086,70.85597059517507,5.3,b22a1a110221d09ac8b596c3c03fdab9e3885ca52a825f2fa0691a882fad8cba,elite,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,25.84442305350759,49.828047647162634
