cell,e_target,feed,library_id,e_core_cell,M_HM_tU,pair,case_2,e_core_2,support_class_2,n_candidates_2,n_in_band_2,n_feasible_2,n_feasible_4ax_2,n_clean_but_fr_2,min_pred_f_r_2,min_f_r_clean_2,min_pred_pin_2,max_pred_cyclen_any_2,seconds_2,binding_constraint_2,binding_excess_pct_2,min_f_r_2,min_cbc_max_2,min_f_q_2,min_ao_abs_2,clean_f_r_2,clean_cyclen_2,clean_cbc_2,clean_f_q_2,clean_ao_2,clean_pin_2,clean_record_id_2,clean_e_core_2,pred_cyclen_2,sigma_cyclen_2,pred_f_r_2,pred_f_q_2,pred_cbc_max_2,pred_ao_abs_2,pred_max_pin_bu_2,node_e_core_2,node_record_id_2,node_origin_2,n_pareto_2,pareto_min_f_r_2,pareto_cyclen_span_2,pareto_f_r_span_2,B_cycle_2,B_d_2,B_cycle_clean_2,B_d_clean_2,case_3,e_core_3,support_class_3,n_candidates_3,n_in_band_3,n_feasible_3,n_feasible_4ax_3,n_clean_but_fr_3,min_pred_f_r_3,min_f_r_clean_3,min_pred_pin_3,max_pred_cyclen_any_3,seconds_3,binding_constraint_3,binding_excess_pct_3,min_f_r_3,min_cbc_max_3,min_f_q_3,min_ao_abs_3,clean_f_r_3,clean_cyclen_3,clean_cbc_3,clean_f_q_3,clean_ao_3,clean_pin_3,clean_record_id_3,clean_e_core_3,pred_cyclen_3,sigma_cyclen_3,pred_f_r_3,pred_f_q_3,pred_cbc_max_3,pred_ao_abs_3,pred_max_pin_bu_3,node_e_core_3,node_record_id_3,node_origin_3,n_pareto_3,pareto_min_f_r_3,pareto_cyclen_span_3,pareto_f_r_span_3,B_cycle_3,B_d_3,B_cycle_clean_3,B_d_clean_3,case_4,support_class_4,d_min_pred_f_r_3v2,d_min_f_r_clean_3v2,d_clean_cyclen_3v2,d_clean_pin_3v2,d_clean_cbc_3v2,d_n_feasible_3v2,d_n_clean_but_fr_3v2,d_pred_cyclen_3v2,d_min_pred_f_r_4v2,d_min_f_r_clean_4v2,d_clean_cyclen_4v2,d_clean_pin_4v2,d_clean_cbc_4v2,d_n_feasible_4v2,d_n_clean_but_fr_4v2,d_pred_cyclen_4v2,best_ntypes_by_clean_f_r
e5.0_f109,5.0,109,ga80,5.0,102.031,E1_E2,E1_E2,5.0,"trained (74,537 rows)",1200,1200,0,207,14,1.4922731093844812,1.5752610779526508,75.70511707100752,596.6056597266945,167.2,f_r,-3.724315523581856,1.4922731093844812,1101.9065465565282,1.83558036495405,0.022498724838174198,1.5752610779526508,596.491663933798,1229.2482990394901,1.936128132226649,0.04250282942010096,77.34378279934975,2203ae60c31ef500973d3dd2f07a9f647a258bb4b991f55f61840046a14b4c0f,5.0,,,,,,,,,,,0,,,,,,23.285224751350285,51.48384555115063,E3_E1_E2,5.0,SPARSE (60 rows / 39 in train),960,960,0,168,25,1.4545498127241265,1.572988680814129,74.66343981103321,602.26324739308,131.0,f_r,-6.158076598443452,1.4545498127241265,1188.6563524388835,1.8021126362436404,0.01888548784661047,1.572988680814129,602.26324739308,1336.6383028051928,1.9529033206034658,0.03617112832143949,76.20703056363051,63afe488e5c69830d84c0fdaf6424a93594857d658fb40dc97a2c477015ffdc6,5.0,,,,,,,,,,,0,,,,,,23.51052985810442,51.98199720920335,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),-0.03772329666035468,-0.0022723971385218977,5.771583459281942,-1.1367522357192428,107.39000376570266,0.0,11.0,,,,,,,,,,3
e5.0_f113,5.0,113,ga80,5.0,102.031,E1_E2,E1_E2,5.0,"trained (74,537 rows)",1200,1200,0,6,128,1.53316048810731,1.5600260133289932,72.48873705415147,613.7706134920968,154.8,f_r,-1.086420122109033,1.53316048810731,1127.3784269994972,1.8977859350901887,0.024626170074771723,1.5600260133289932,606.0216746064414,1231.6744802821022,1.9296658438406427,0.04266164623773214,75.27030669077519,e5a9a39fa901ca6744e9ad3edb34301cb510f88a30991c93853830dd1b9f1bd3,5.0,,,,,,,,,,,0,,,,,,23.657247453112458,50.45483748849648,E3_E1_E2,5.0,SPARSE (60 rows / 39 in train),960,960,6,26,186,1.5069576653289207,1.5163315869582261,71.9146100567874,617.1118326239775,122.9,f_r,-2.7769248174889904,1.5069576653289207,1222.1837995665314,1.8812023204374637,0.025698554547441493,1.5163315869582261,615.4618358828311,1332.5530703965542,1.9103232852323537,0.0404951994478622,73.89136951560022,a7d0cfe802d4ac1682ffe734ab39ef8cff3958cd7c4f863e9dbbb297b5b550be,5.0,615.4618358828311,1.7377848661967956,1.5163315869582261,1.9103232852323537,1332.5530703965542,0.0404951994478622,73.89136951560022,5.0,a7d0cfe802d4ac1682ffe734ab39ef8cff3958cd7c4f863e9dbbb297b5b550be,elite,1,1.5163315869582261,0.0,0.0,24.025762707055932,51.24078595044672,24.025762707055932,51.24078595044672,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),-0.026202822778389256,-0.04369442637076704,9.440161276389745,-1.3789371751749684,100.87859011445198,6.0,58.0,,,,,,,,,,3
e5.0_f117,5.0,117,ga80,5.0,102.031,E1_E2,E1_E2,5.0,"trained (74,537 rows)",1200,1200,61,117,538,1.4859743613881897,1.4859743613881897,69.83739265127895,630.9897730011046,150.6,f_r,-4.130686362052282,1.4859743613881897,1209.565058638611,1.8621963147189196,0.02221007888108437,1.4859743613881897,625.774450284451,1290.4695673705473,1.8761171194290005,0.0392463441114459,72.9431404665562,d072c8cf05a5480496b29c39908993f623da1fd960b18d0075e6d6d40dac77da,5.0,626.2115452683286,2.053771112467982,1.5202912749225808,1.909933032088835,1307.6080787262226,0.03810158207559748,71.54632877295987,5.0,3c3602464290db0188d3391e3caff338a7427b7d1d19c5f2540f23100a46ef4f,elite,3,1.4859743613881897,0.43709498387761414,0.034316913534391036,24.445398745893836,50.35334271590098,24.42833588390821,50.318196136939136,E3_E1_E2,5.0,SPARSE (60 rows / 39 in train),960,960,152,209,444,1.4567079618740222,1.4567079618740222,68.96357311308697,632.1533697619955,122.8,f_r,-6.018841169417922,1.4567079618740222,1261.1402241468913,1.8400816097479995,0.020573786103269973,1.4567079618740222,626.8174112956451,1358.3172927834216,1.8447341101831587,0.034640042585020916,70.58060530823089,d4caa062d67df9028c8d6060ef215b5bb449571ee4c9ad71d15ed4584a3e77fe,5.0,630.4471157672335,2.286611558044724,1.48446774490412,1.864431287209254,1379.7510352824793,0.03382375692341466,69.45868747120213,5.0,e3f2097a46f9d25cb348945a059b315c23746335a92a99819ec90d6dae1ac52a,elite,4,1.4567079618740222,3.6297044715884113,0.02775978303009774,24.610742567074443,50.69392272363197,24.469049917349,50.402060086163324,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),-0.02926639951416754,-0.02926639951416754,1.0429610111941656,-2.362535158325315,67.8477254128743,91.0,-94.0,4.235570498904963,,,,,,,,,3
e5.0_f121,5.0,121,ga80,5.0,102.031,E1_E2,E1_E2,5.0,"trained (74,537 rows)",1200,1200,353,353,893,1.488559843115356,1.488559843115356,68.38767835713458,643.2737324165803,151.6,f_r,-3.9638810893318777,1.488559843115356,1210.052349759751,1.8556686078391633,0.020509158082970835,1.488559843115356,635.8627180729425,1304.4039263380023,1.8577733068036066,0.03945339210973384,68.9383563158166,39e7875748c6b1e2a3f942a93238bfbc8da8ec0a0a726a8161d8fb52d386d7b5,5.0,639.7666926950396,0.7899717803893949,1.5461691976834042,1.9298963448349993,1352.8901921262982,0.03718046454933115,69.3691817027055,5.0,b6006f091072627e211ea88a9a081560be4b5a1d644060523a458797c3a3dce6,elite,6,1.488559843115356,3.9039746220971665,0.05760935456804828,24.974550573912822,49.74269990341314,24.82215124967148,49.439160753477914,E3_E1_E2,5.0,SPARSE (60 rows / 39 in train),960,960,423,423,668,1.456808909590999,1.456808909590999,67.58232772659673,646.8989421556801,119.9,f_r,-6.012328413483936,1.456808909590999,1301.7143714227568,1.8122783545720067,0.020615461798676443,1.456808909590999,638.1117220176598,1320.0267658757498,1.8227235806792599,0.03893003341398971,67.94025146831645,a2f89c75e5ae350f7ab88bca4b4db51a2462784bf75188167aa9776dbc410194,5.0,643.8607747905395,2.038084341645,1.4999936311932933,1.8655748304307325,1440.477051273585,0.03566812115323816,68.47222701485839,5.0,38fe0aa3519bb577f50186dca055f9b241bb07b7ce7cfb822b7892d9a29c99bc,elite,9,1.456808909590999,5.749052772879736,0.04318472160229425,25.134371117112856,50.06102015887767,24.909945539995764,49.61402376147917,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),-0.03175093352435687,-0.03175093352435687,2.2490039447172876,-0.9981048475001586,15.622839537747495,70.0,-225.0,4.094082095499857,,,,,,,,,3
e5.0_f125,5.0,125,ga80,5.0,102.031,E1_E2,E1_E2,5.0,"trained (74,537 rows)",1200,1200,108,108,867,1.4826274182955748,1.4826274182955748,68.32683916932115,654.4138066502416,149.6,f_r,-4.3466181744790555,1.4826274182955748,1166.731562680536,1.883222052744102,0.02161451875926027,1.4826274182955748,641.1852244626998,1313.6766224758974,1.883222052744102,0.039047662438807904,68.66393927285407,cc40014d4f663fd586c385df9a3f149b31ef0aae3dd1689fac997f41ca61be70,5.0,647.3202900730823,0.7394078423954585,1.5405667241905323,1.9529459243549105,1351.413837245951,0.03775580153520055,69.13385164927965,5.0,1b3a73ef462781ee97922efcf94bb439f8a838aae263345fcc8df9db472b2958,elite,9,1.4826274182955748,6.135065610382526,0.05793930589495755,25.269420097267055,48.71944194753088,25.029925750171046,48.25769684632977,E3_E1_E2,5.0,SPARSE (60 rows / 39 in train),960,960,223,223,632,1.4484260200357726,1.4484260200357726,67.43684106371018,656.8101736630714,122.7,f_r,-6.553159997692093,1.4484260200357726,1310.7064345351953,1.8648207549262636,0.02103518236852811,1.4484260200357726,645.4537574778528,1359.4789023806636,1.866477146761223,0.03649070547391682,67.53908724866739,2f05117f2c456be4615bf6ad962c7917e5689f5e061b6dceae132f6356eabd9a,5.0,652.1523424824171,2.514027446155005,1.5469395749939798,1.9797912246741625,1373.580826164527,0.04033596938633624,68.6522226060049,5.0,75a0d1bcc5ae100cc3ebdebf9628348a6703f9de388bfdcba78cc4a098ff3945,elite,9,1.4484260200357726,6.698585004564279,0.09851355495820724,25.458048762451806,49.08311801400708,25.196556327974772,48.578960600335364,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),-0.034201398259802174,-0.034201398259802174,4.268533015153025,-1.12485202418668,45.80227990476624,115.0,-235.0,4.8320524093347785,,,,,,,,,3
e5.0_f129,5.0,129,ga80,5.0,102.031,E1_E2,E1_E2,5.0,"trained (74,537 rows)",1200,1200,33,33,656,1.5130964322379117,1.5130964322379117,67.98922281418376,660.5439550493431,152.3,f_r,-2.3808753394895743,1.5130964322379117,1198.7268169657018,1.986549092137852,0.023602033850981283,1.5130964322379117,645.225019341414,1282.850791413316,1.986549092137852,0.04030637165795871,69.04640337408645,d461676278aa78f659e6a4647f6e59d9eee93038b20708405ac7496050a3a22e,5.0,650.0259341630426,1.80735198280601,1.5493995766151802,2.04767624197627,1296.5229857177064,0.041082711408360395,69.79983215807643,5.0,9a4d76c0ebaf5d89d4c0d6a05fcaa6da4690c292b68a575b14a4d1db89e99ca6,elite,8,1.5130964322379117,4.800914821628567,0.03630314437726856,25.375040233374907,47.406082916615134,25.187627085140004,47.05595447688947,E3_E1_E2,5.0,SPARSE (60 rows / 39 in train),960,960,68,68,523,1.4890660165666816,1.4890660165666816,67.98672647073826,666.2633245283041,120.5,f_r,-3.931224737633454,1.4890660165666816,1289.5937627648523,1.9653338417650392,0.02349311971793606,1.4890660165666816,648.4416768757976,1317.9519742802154,1.9738893718855617,0.03846143700808946,68.67376666058492,792c8352b7f359e1c34f8d1ac766b97e19260b94c117071380808b93e5a9abd7,5.0,657.9912203990204,1.5658943798333569,1.5474715785291748,2.0335486471003263,1359.3416257799545,0.04101533048419852,68.71573676682566,5.0,7f52a31782791494cf883f532c66fb07a01ca3c8e8457422a0e2fabfb3642612,elite,10,1.4890660165666816,9.549543523222837,0.058405561962493246,25.685980840642415,47.98698746197537,25.313195635658015,47.29054378444637,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),-0.0240304156712301,-0.0240304156712301,3.2166575343835575,-0.37263671350153516,35.10118286689931,35.0,-133.0,7.965286235977828,,,,,,,,,3
e5.1_f109,5.1,109,ga80,5.1,102.031,J1_J2,J1_J2,5.1,"trained (74,537 rows)",1200,1200,0,0,13,1.5883523395763988,1.6459355901392134,76.1941488257215,603.2328857367422,149.7,f_r,2.4743444887999066,1.5883523395763988,1040.5885366956143,1.9415964088688686,0.02605110625874853,1.6459355901392134,598.0862523365661,1239.2410618390024,2.039260029874994,0.046354013801531146,77.79973470910912,9dc33eec14bd72400d5090504c66e66cbd23b283ed0027b4a90f27f18481d902,5.1,,,,,,,,,,,0,,,,,,23.347472644471672,51.62147621392361,K1_J1_E1,5.1,SPARSE (60 rows / 39 in train),960,865,0,0,1,1.6920808809188073,1.7551447895076155,76.08782056206675,613.2844180108334,118.0,f_r,9.166508446374655,1.6920808809188073,1269.008261936133,2.054857633625951,0.020173526108214546,1.7551447895076155,610.7752778280794,1406.8384696898042,2.2193396473138947,0.037770133296993066,76.88856586410566,e44d5e1ad60cb586f76c8ea52dd998cd482f5e380e38fe586d7f2fd42876f8d4,5.108256880733944,,,,,,,,,,,0,,,,,,23.842813700031325,52.71667983217935,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),0.1037285413424085,0.10920919936840212,12.689025491513348,-0.9111688450034592,167.5974078508018,0.0,-12.0,,,,,,,,,,2
e5.1_f113,5.1,113,ga80,5.1,102.031,J1_J2,J1_J2,5.1,"trained (74,537 rows)",1200,1200,0,0,160,1.5638782372321993,1.5962184642798742,73.73276387826918,617.7718511334265,141.4,f_r,0.8953701440128636,1.5638782372321993,1140.517208906259,2.006851946134053,0.02935618380476182,1.5962184642798742,617.5374786690627,1288.7921506484397,2.0448981321813844,0.04578201618054087,74.86491247067404,07636b999ed32fc3f89fc0eacb7cb6bf9291d623a2ccf0a9f098886b27c8d691,5.1,,,,,,,,,,,0,,,,,,24.10678950374606,51.413595313299126,K1_J1_E1,5.1,SPARSE (60 rows / 39 in train),960,819,0,0,65,1.6651032450070702,1.6930873537828217,73.62704846006083,633.6085047839565,120.7,f_r,7.42601580690776,1.6651032450070702,1331.2995251316893,2.090407747590734,0.022785203342375344,1.6930873537828217,616.2029456779867,1427.307727096659,2.139341126577124,0.03171438562015481,77.14422862869267,74469810c640372f907e9349286c4c76cea594081423f258239e36659a0af46c,5.088495575221239,,,,,,,,,,,0,,,,,,24.05469338486594,51.30248766152824,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),0.10122500777487087,0.09686888950294748,-1.3345329910760029,2.2793161580186307,138.51557644821924,0.0,-95.0,,,,,,,,,,2
e5.1_f117,5.1,117,ga80,5.1,102.031,J1_J2,J1_J2,5.1,"trained (74,537 rows)",1200,1200,102,108,586,1.5176739702072641,1.5176739702072641,71.02797471353175,633.2514282393113,150.8,f_r,-2.0855503092087724,1.5176739702072641,1144.7909166457925,1.9095897001925244,0.021717331327982984,1.5176739702072641,615.4961829909322,1236.9229684836348,1.9095897001925244,0.037514877837990464,76.03903755897772,e448c337147cbacbaf1a901d2d5a68c018182f565952b079db1367dafd4907d6,5.1000000000000005,632.9928696916238,0.6514949786922931,1.5389253125177564,1.950519363339051,1306.201329015569,0.044946969014201005,71.79324028058043,5.1,86f1cc4ee4f17bfea9ca21c6dfdfea06cced5a268d00ebeff68df17f8cb89816,elite,5,1.5176739702072641,17.496686700691612,0.021251342310492305,24.71012107623939,50.89862546473242,24.027103513944027,49.491726041542826,K1_J1_E1,5.1,SPARSE (60 rows / 39 in train),960,893,0,0,345,1.6067134572922055,1.6067134572922055,71.44187862407583,646.5606131080768,120.3,f_r,3.658932728529374,1.6067134572922055,1327.5902301015835,1.9963520841492262,0.017041498285216845,1.6067134572922055,643.015937730728,1402.9404165229544,1.9990316440087827,0.04000424799507453,72.62171630074621,f84f40dc87fcb56a0676a641eff6c587f07e039a6149585a9c136ecdc3a62343,5.112820512820513,,,,,,,,,,,0,,,,,,25.101391241608404,51.70457512160364,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),0.08903948708494136,0.08903948708494136,27.519754739795758,-3.4173212582315102,166.01744803931956,-102.0,-241.0,,,,,,,,,,2
e5.1_f121,5.1,121,ga80,5.1,102.031,J1_J2,J1_J2,5.1,"trained (74,537 rows)",1200,1200,259,259,958,1.4863658753395745,1.4863658753395745,68.7559250244629,647.885674892696,150.4,f_r,-4.105427397446803,1.4863658753395745,1209.2413867466798,1.8465361010918804,0.02362209095324209,1.4863658753395745,634.0274258721435,1284.1579189817933,1.8493555800521586,0.03799553672340153,69.06904261137836,6b1098015751db69d89570672147cba69649b33338f074623c6d29b765f8ed6b,5.1,643.9454842395385,1.1099319253553612,1.545217746529425,1.9378929781816085,1309.3418059767996,0.04436849694648359,70.93255855813236,5.1,84de3bf12f5f105e4e6336b35f1a439b086c9f6c8549ea1a0a7e26abda2c02f1,elite,13,1.4863658753395745,9.91805836739502,0.05885187118985047,25.137677916985794,50.06760642969898,24.750507010591637,49.29646437646764,K1_J1_E1,5.1,SPARSE (60 rows / 39 in train),960,913,0,0,662,1.5663653892967189,1.5663653892967189,69.35526605726712,659.2965823576756,120.7,f_r,1.055831567530241,1.5663653892967189,1394.3027583357257,1.9226687147858847,0.019436245291632844,1.5663653892967189,645.9869859953582,1451.8125162880503,1.9226687147858847,0.03661248730277747,69.94818517944296,8fab1c6bab91aaa522379da34fa28f0fd5ca817e0737c0702bc37e047f5f3d74,5.095867768595041,,,,,,,,,,,0,,,,,,25.217371951435556,50.22633587021462,,EXTRAPOLATION (0 rows; g_type_frac_4 inert at train time),0.07999951395714433,0.07999951395714433,11.959560123214715,0.8791425680645943,167.65459730625707,-259.0,-296.0,,,,,,,,,,2
