e_target,library_id,pair,type_a,type_b,e_core,spread,d_target,sup_pair,n_seeded_feeds,anchor_library_id,anchor_pair,anchor_type_a,anchor_type_b,anchor_e_core,anchor_d_target,anchor_sup_pair,anchor_n_seeded_feeds,anchor_is_mesh_pair,anchor_n_f109,anchor_n_f113,anchor_n_f117,anchor_n_f121,anchor_n_f125,anchor_n_f129,per_fa_tU,M_HM_tU,is_primary,e_core_cell,mono_anchor_2,case_3,e_core_3,asym_3,nested_3,support_3,ladder_3,mono_anchor_3,case_4,e_core_4,asym_4,nested_4,support_4,ladder_4,mono_anchor_4
5.0,ga80,E1_E2,E1,E2,5.0,0.0,0.0,2844,6,ga80,E1_E2,E1,E2,5.0,0.0,2844,6,True,277,134,501,1097,450,20,0.4233672,102.0314952,True,5.0,True,E3_E1_E2,5.0,0.0,2,1099,n_gd,True,,,,0,0,,False
5.1,ga80,J1_J2,J1,J2,5.1,0.0,0.0,1343,6,ga80,J1_J2,J1,J2,5.1,0.0,1343,6,True,223,44,338,150,212,8,0.4233672,102.0314952,True,5.1,True,K1_J1_E1,5.1,4.440892098500622e-15,1,3807,enrichment,False,,,,0,0,,False
5.2,ga80,K1_K2,K1,K2,5.2,0.0,0.0,963,6,ga80,K1_K2,K1,K2,5.2,0.0,963,6,True,135,79,201,416,67,18,0.4233672,102.0314952,True,5.2,True,L1_K1_J1,5.199999999999999,4.440892098500622e-15,1,2182,enrichment,False,,,,0,0,,False
5.3,ga80,L1_L2,L1,L2,5.3,0.0,0.0,839,6,ga80,L1_L2,L1,L2,5.3,0.0,839,6,True,107,30,245,78,137,14,0.4233672,102.0314952,True,5.3,True,N1_L1_K1,5.3,4.440892098500622e-15,1,2236,enrichment,False,,,,0,0,,False
5.4,ga80,N1_N2,N1,N2,5.4,0.0,0.0,1273,6,ga80,N1_N2,N1,N2,5.4,0.0,1273,6,True,122,226,217,230,150,22,0.4233672,102.0314952,True,5.4,True,G3_N1_L1,5.4,4.440892098500622e-15,1,2438,enrichment,False,,,,0,0,,False
5.5,ga80,G3_G4,G3,G4,5.5,0.0,0.0,1599,6,ga80,G3_G4,G3,G4,5.5,0.0,1599,6,True,128,67,144,406,390,38,0.4233672,102.0314952,True,5.5,True,,,,0,0,,False,,,,0,0,,False
5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24,P6253Z2G10N24,5.598053478792954,0.008526782105889197,0.0019465212070457483,0,0,paramA,P6253Z2G06N24_P6253Z2G10N24,P6253Z2G06N24,P6253Z2G10N24,5.598053478792954,0.0019465212070457483,0,0,True,0,0,0,0,0,0,0.422158668,101.740238988,True,5.598053478792954,True,P6253Z2G10N20_P6253Z2G10N24_P6253Z2G06N24,5.6115509700032025,0.6190343908316835,2,49,enrichment,True,P6253Z2G10N20_P5853Z1G08N12_P6253Z2G10N24_P6253Z2G06N24,5.612410480538307,0.42599332737349405,2,49,enrichment,False
5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,P5853Z1G08N12,P6253Z1G06N24,5.700413594677216,0.1711131393121912,0.0004135946772159116,0,0,paramA,P6253Z1G06N24_P6253Z2G10N24,P6253Z1G06N24,P6253Z2G10N24,5.694438426989009,0.005561573010990806,177,2,False,56,0,0,0,121,0,0.4237482,102.1233162,True,5.700413594677216,False,P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.682791789363034,0.22281004591453532,1,10,enrichment,True,P6253Z1G08N20_P6253Z1G06N24_P6253Z2G08N16_P6253Z2G06N24,5.718303721750154,0.4171794095851008,1,2409,enrichment,True
5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,P6253Z1G06N24,P6253Z1G08N20,5.8055356364252235,0.03891636517616881,0.0055356364252237,708,4,paramA,P6253Z1G08N20_P6257Z1G06N24,P6253Z1G08N20,P6257Z1G06N24,5.853104901907799,0.05310490190779937,1691,4,False,233,0,318,42,276,0,0.42292676399999996,101.92535012399999,True,5.8055356364252235,True,P6257Z2G08N16_P6253Z1G08N20_P6253Z1G06N24,5.822123396550813,0.12527513800699122,2,800,enrichment,False,P6257Z2G06N12_P6253Z1G08N20_P6253Z1G06N24_P6253Z2G08N16,5.791222411507251,0.4604497411067398,2,800,enrichment,False
5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,P6253Z1G08N20,P6257Z1G10N12,5.908702994861528,0.16718410531067018,0.008702994861527813,0,0,paramA,P6257Z1G06N24_P6257Z1G10N12,P6257Z1G06N24,P6257Z1G10N12,5.936710591655931,0.03671059165593071,741,6,False,156,12,26,32,164,12,0.42322851599999994,101.99807235599998,True,5.908702994861528,False,P6257Z1G10N12_P6257Z2G06N12_P6257Z2G08N16,5.910822531566715,0.564786929746338,1,1600,enrichment,True,P6257Z1G10N12_P6257Z2G06N12_P6257Z1G06N24_P6257Z2G08N16,5.903418866418451,0.9727545746172359,1,4080,enrichment,True
