cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.4_f105,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.601009045015913,611.0597185120914,611.0597185120914,2.088968767712064,285,52,285,17,False,,,0,,,,,344.6
e5.4_f109,5.4,5.4,1,ga80,N1_N2,5.4,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5779683098451622,629.2245323486393,629.2245323486393,1.8909752934005506,3934,122,1763,122,False,,,0,,,,,360.4
e5.4_f113,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,113,0.42337,102.031,1200,1200,255,643.7195382523198,1.3710630654711113,1.546290605881358,1.9152325780652397,1411.0683958378588,0.04117690985878169,87.3917984017113,25.128857671184946,53.59340441376612,1.5145133409443945,647.6041693885232,,,763,270,751,226,False,34e5f73d1e6be6e3f68427cf18803862bc98760bf7eee9f46e8181e46fc4db60,elite,11,1.5145133409443945,638.422683354645,5.296854897674848,0.03177726493696342,344.8
e5.4_f117,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,117,0.42337,102.031,1200,1200,2,653.3070881333135,1.2224470299114634,1.546586563608261,1.9160825055729462,1406.7034069664105,0.04229070623536955,82.93179497519351,25.503126529062055,52.53208114105944,1.5414505518895671,667.1358485353123,,,3587,217,2213,217,False,c884eddbb117522ba99234bffd55bb3c3674adecfe76f5d31d144cac6d2a7804,elite,2,1.5414505518895671,652.9440934299491,0.362994703364393,0.0051360117186938226,355.1
e5.4_f121,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,133,680.0912474565135,1.5590022562602532,1.5494406814278134,1.935244889891389,1430.5708306252343,0.05035796805093884,74.32765731116686,26.54869884352428,52.87798695280456,1.493717090111148,685.0021294934196,,,44292,30448,3450,230,True,274ac30426c5cb8c41c2bbe3da45dda0d264e7a5429c9766290eb5d47d4c5959,elite,14,1.493717090111148,671.7427265861136,8.348520870399966,0.05572359131666538,347.9
