cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.5_f105,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6755435761577078,625.392705801711,625.392705801711,1.84079809701125,285,100,285,31,False,,,0,,,,,353.1
e5.5_f109,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7169973861074599,644.1244960761824,644.1244960761824,2.6578427466912373,3934,450,1763,128,False,,,0,,,,,333.1
e5.5_f113,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5896342612831786,663.5312436001803,663.5312436001803,1.7540298590525223,763,151,751,67,False,,,0,,,,,347.0
e5.5_f117,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5822985707870194,686.1936810138973,686.1936810138973,1.7925508711702696,3587,365,2213,144,False,,,0,,,,,344.6
e5.5_f121,5.5,5.5,1,ga80,G3_G4,5.5,0.0,5.5,121,0.42337,102.031,1200,1200,17,690.9468444548515,1.07653579732699,1.5403629029450046,1.932256015528832,1540.8772101414652,0.043157394166389626,75.08133264701799,26.97246841349507,53.722023864895135,1.5330212431528685,700.1234609812457,,,44292,8928,3450,406,True,67da6691c101893688adc7e8993a6c3792f060e1d93e0e2584ff57312463eac2,elite,4,1.5330212431528685,689.083244484445,1.8635999704065398,0.007341659792136079,343.0
