segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.3,105,411,1.5059,612.0,55.1,613.4,55.23,L5_L6,"L5 x80, L6 x25",48,40,0.011560752225436694,-0.028999648762416567,0.07070321008190988,-0.1182266452006407,1.8046,1.7244361943900477,0,,593.8729942049213,L1_L2,1.712875442164611,0.21853619439004768,0.20697544216461106,0.29869999999999997,-0.09172455783538891,pool-starved
5.3,109,120,1.5304,635.7,55.16,637.1,55.28,L3_L4,"L3 x60, L4 x49",100,40,0.05123203035481992,0.0036180488656224765,0.0617680505143495,0.2961672344519195,1.6846,1.619675229731413,0,,615.3017151998969,L1_L2,1.568443199376593,0.089275229731413,0.03804319937659306,0.15420000000000011,-0.11615680062340705,pool-starved
5.3,113,71,1.5394,646.8,54.13,649.3,54.35,L3_L4,"L3 x61, L4 x52",73,40,0.008380124130147942,-0.002012729681778616,0.04998574638738287,0.2671512943327359,1.7452,1.598460143278712,0,,635.1960740081138,L1_L2,1.590080019148564,0.059060143278711896,0.050680019148563904,0.20579999999999998,-0.15511998085143608,pool-starved
5.3,117,145,1.5315,649.2,42.44,661.3,53.47,L1_L2,"L2 x60, L1 x57",100,40,0.013491096848007584,0.010147422616628137,0.03851183499283611,-0.18261597492675605,1.5409,1.5216610406061348,11,638.7552254569679,649.9561872614192,L1_L2,1.5081699437581273,-0.009838959393865254,-0.023330056241872787,0.009399999999999853,-0.03273005624187264,model-right
5.3,121,99,1.5198,661.8,51.79,671.2,52.5,L1_L2,"L1 x61, L2 x60",100,40,0.004823127463643795,-0.009215755647574264,0.018064828833692093,0.1707249435776646,1.4911,1.4851835484969718,293,663.1287649732905,667.5020529544071,L1_L2,1.4803604210333279,-0.03461645150302828,-0.03943957896667216,-0.028699999999999948,-0.010739578966672214,model-right
5.4,101,204,1.4958,603.7,56.55,610.7,57.18,N3_N4,"N3 x64, N4 x37",87,40,0.009482693263400715,-0.015640161698748985,0.06510601102390381,0.3487816760836262,1.7471,,-1,,,,,,,0.2513000000000001,,not-in-mesh
5.4,105,242,1.5024,621.3,55.99,627.6,56.52,N1_N2,"N1 x64, N2 x41",52,40,0.007319857671310148,0.0010126454799024981,0.04832536399689169,0.2457901725980426,1.7533,1.601009045015913,0,,611.0597185120914,N1_N2,1.5936891873446029,0.09860904501591294,0.0912891873446029,0.2509000000000001,-0.15961081265539723,pool-starved
5.4,109,142,1.538,649.9,56.4,649.9,56.41,N3_N4,"N3 x60, N4 x49",100,40,0.016772210474566368,-0.008200726931803883,0.05346871627521585,-0.14182676467732336,1.694,1.5779683098451622,0,,629.2245323486393,N1_N2,1.5611960993705958,0.0399683098451622,0.023196099370595746,0.15599999999999992,-0.13280390062940417,pool-starved
5.4,113,23,1.5374,659.7,55.24,660.8,55.35,N1_N2,"N1 x61, N2 x52",100,40,0.006394156487742037,0.0007952754751998992,0.03370866863185991,-0.1393120835147795,1.4961,1.5145133409443945,255,643.7195382523198,647.6041693885232,N1_N2,1.5081191844566524,-0.022886659055605607,-0.029280815543347716,-0.041300000000000114,0.012019184456652399,model-right
5.4,117,80,1.5249,675.8,54.64,676.2,54.67,N3_N4,"N3 x60, N4 x57",100,40,0.01182137286346278,0.0018610095384801939,0.04505012984052276,-0.23583472515925563,1.577,1.5414505518895671,2,653.3070881333135,667.1358485353123,N1_N2,1.5296291790261043,0.016550551889567222,0.004729179026104369,0.052100000000000035,-0.047370820973895666,model-right
5.4,121,78,1.5202,680.8,53.28,685.9,53.67,N1_N2,"N2 x61, N1 x60",100,40,0.016176282556850347,-0.005431140326201827,0.03517807687021866,-0.20931317823738596,1.4932,1.493717090111148,133,680.0912474565135,685.0021294934196,N1_N2,1.4775408075542977,-0.026482909888851935,-0.042659192445702265,-0.026999999999999913,-0.015659192445702352,model-right
5.5,101,180,1.5104,612.4,57.38,620.6,58.1,H3_H4,"H3 x60, H4 x41",100,40,0.032580787648272505,-0.0027453153100946027,0.06652692215825308,0.35093662432807377,1.7488,,-1,,,,,,,0.23839999999999995,,not-in-mesh
5.5,105,190,1.511,630.0,56.7,639.6,57.59,H3_H4,"H3 x68, H4 x37",100,40,0.013219329475080139,-0.003548534583093803,0.05484462556784295,-0.3038698888791669,1.7361,1.6755435761577078,0,,625.392705801711,G3_G4,1.6623242466826276,0.16454357615770787,0.15132424668262767,0.22510000000000008,-0.0737757533173724,pool-starved
5.5,109,19,1.5449,661.6,57.41,662.1,57.46,G3_G4,"G3 x56, G4 x53",100,40,0.055274708339305964,0.003071648578145134,0.0646626298808606,0.15993740343260923,1.706,1.71699738610746,0,,644.1244960761824,G3_G4,1.6617226777681542,0.17209738610746017,0.11682267776815425,0.16110000000000002,-0.04427732223184577,pool-starved
5.5,113,16,1.545,665.3,55.72,676.1,56.58,H3_H4,"H4 x57, H3 x56",100,40,0.016733106808006153,0.004303746950182816,0.04631055454438873,0.2514614604075143,1.6454,1.5896342612831786,0,,663.5312436001803,G3_G4,1.5729011544751725,0.04463426128317871,0.027901154475172607,0.10040000000000004,-0.07249884552482744,pool-starved
5.5,117,31,1.5346,677.7,54.84,683.2,55.25,H3_H4,"H4 x64, H3 x53",100,40,0.016732511909934532,0.0007650585032953106,0.042509833614698914,-0.2152545294055369,1.6121,1.5822985707870194,0,,686.1936810138973,G3_G4,1.5655660588770848,0.047698570787019445,0.030966058877084812,0.07750000000000012,-0.04653394112291531,pool-starved
5.5,121,70,1.5168,689.7,53.97,699.1,54.7,H3_H4,"H4 x61, H3 x60",100,40,0.0311560667237042,0.012623170046811733,0.04646436171061714,-0.08971945089374003,1.4972,1.5330212431528685,17,690.9468444548515,700.1234609812457,G3_G4,1.5018651764291642,0.016221243152868547,-0.014934823570835754,-0.01959999999999984,0.004665176429164086,model-right
