segment,feed,pair,grp,record_id,f_r_true,f_r_pred,cyclen_true,cyclen_pred,cbc_true,cbc_pred
5.0,101,E1_E2,tail,37d35c40af2916ef4bbb6f472e78768799391735c5ce4b51f069cebe114bc982,1.8715,1.8677494345269365,547.352,541.3912281962084,1106.92,1110.4102163683756
5.0,101,E1_E2,tail,59530ccf8c4342690e47aeea7fcd7bb46f61bf2e3d21e4932d3daeedbfde3df0,1.877,1.9347213055028645,548.467,544.7412665743703,1129.78,1166.0889831948073
5.0,101,E1_E2,tail,dcba707f57c416ac6522d1b48112a04b145a532e8c6ab4dd98e1e6d9599b5103,1.8817,1.8768755504887351,544.186,545.9366543291944,1126.23,1099.4787008411079
5.0,101,E1_E2,tail,6221cd7257eea33a844779f16937bf9ac360dc48e6acc9f1d587cf3f6696d5d6,1.891,1.946830227552387,540.0,539.677415880704,1059.42,1074.579619459972
5.0,101,E1_E2,tail,66275d94101817b7e45e2d0aba39a4245d37e922d9b621852a6c0dbf94f363f0,1.9022,1.903358455324426,548.085,545.0147943466912,1212.3,1195.630619387136
5.0,101,E1_E2,tail,27c491511063cc1ec5cbd05a27c86d4e2444a0e1a5c3d55f4cdbf529a2a372e8,1.9182,1.9460886625763387,544.697,542.4407916935033,1144.12,1147.8488669642427
5.0,101,E1_E2,tail,c0482d80081ed7a3ec3b761cc7fad9236db10452ea5fe024ec231f72fb38f87c,1.9204,1.8880030810583759,548.343,548.2162784124253,1201.72,1211.227502682509
5.0,101,E1_E2,tail,4b2e307b8138ca4ce66259bd6b510d7003d67e816be4baf80afb483e12deaf9d,1.9376,2.048240881717228,548.875,550.9486700555475,1159.15,1233.1352858626651
5.0,101,E1_E2,tail,60bd828ea12aa7a83910b5cf1f555ba3acb935c8fe49704a540dd0c8789a13d8,1.9408,1.929294716248708,548.238,546.8228844225135,1214.5,1218.035427467678
5.0,101,E1_E2,tail,71f81c896cfdbf04763104feeb410d0c45dd7cbbcc969506950d5102f7c210dc,1.9425,1.9356966345872202,551.459,546.7518575100356,1221.89,1190.9110767503375
5.0,101,E1_E2,tail,3099b6917bd528b385bbb1e4f811ace00f1105ae9c42a532b8b7ade7b969d5da,1.9473,1.9672973567560401,545.318,541.5811849274904,1148.21,1168.8775672554705
5.0,101,E1_E2,tail,4a2d8cec310cf3e3a9a20e689f7378a27f03c8e7866d36d6ba84b4066f9383bd,1.9496,1.982862347663115,540.0,539.8054135821279,1197.58,1172.858177908199
5.0,101,E1_E2,tail,3a79b04172bc84b1726c7a83c81bdae382ff6ebdc57bd83e4d955b35ec2fcff5,1.9557,1.973808156363122,551.044,545.8658978810041,1240.51,1216.6098679891559
5.0,101,E1_E2,tail,6b3988e9416045f7b423ec65adffcd7e2724ac68ddea88c5198b8b11ade36d65,1.9582,2.012592457140311,544.237,543.0481096389138,1229.95,1204.2198771455348
5.0,101,E1_E2,rand,6d9f50e4c813fcb6d04285cdda209b44523793e0c32ae2a6fd368e6c925ec845,2.5554,2.3065063173996623,548.871,549.9205842195213,1203.02,1203.1767204476569
5.0,101,E1_E2,rand,52e8e7e6adbe168cbd3df9538afcd3e10baeda85d65e306d32eacf067826c5da,2.1467,2.1683705767398336,539.976,538.810240509659,1296.12,1263.939900249283
5.0,101,E1_E2,rand,fab4116aecd171b0993a08f2e6865802669b3cd5172b591408e9a5354cf45e49,2.1155,2.1498773229420096,545.689,545.2564743232813,1135.95,1136.5660413468806
5.0,101,E1_E2,rand,7ae1f3761c14fa42d45cfe7ea892b6ac27935b95a89ec140f0d62d5655725187,1.9905,1.9876587272547757,551.586,550.3016129318731,1222.3,1251.4256142143347
5.0,101,E1_E2,rand,7c9e8308f3fc80cdbdbc3db8fdc64a8c171081953adf00f0bac5162bc38d8792,2.0558,2.1354560408407517,543.371,538.2049539189983,1185.52,1160.3276205199252
5.0,101,E1_E2,rand,ba94d70784d490c3a45d3078c83a1e7acf61ce6109bdd2f153b09329d82f51c1,3.1402,3.105513720010565,541.389,541.7177230365858,1152.88,1157.1298107423227
5.0,101,E1_E2,rand,6cbbe922e3f1c0a7ff82fa65b958eb850c5d0a4d056c5f6f718784a4d2cc0d52,2.2337,2.2030067416022057,546.61,546.2458140334181,1239.39,1229.8346099590585
