cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.0_f105,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.7333460496225033,576.5365123906702,576.5365123906702,2.1766530230329866,285,40,285,15,False,,,0,,,,,344.3
e5.0_f109,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.565374885957672,592.8294893251727,592.8294893251727,3.7252863361447037,3934,489,1763,177,False,,,0,,,,,347.1
e5.0_f113,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,113,0.42337,102.031,1200,1200,1,606.8352794099685,1.11718771591621,1.5456686128521286,1.9273333822443646,1261.7708406738147,0.04272188932771562,77.80806818074034,23.68900811609301,50.52257483166739,1.5456686128521286,609.7196578123089,,,763,134,751,134,False,dfb3fb07ca892132642adb3f0663dee1de1b2aa8646e9f52b3791c4db5a285b9,elite,1,1.5456686128521286,606.8352794099685,0.0,0.0,349.3
e5.0_f117,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,117,0.42337,102.031,1200,1200,70,624.2856573627937,1.684292417311874,1.5332240534253292,1.9389687650273257,1309.4712300719893,0.03948597137468081,76.08650355523636,24.370217925376508,50.19848307705759,1.5112959192884816,627.5767556464664,,,3587,796,2213,501,False,3720b88df81d3f3d41316c8dd7342bff4c3aa7237ee2a4a44981cdcda0518a6b,elite,5,1.5112959192884816,621.5505715858123,2.73508577698135,0.021928134136847577,352.2
e5.0_f121,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,121,0.42337,102.031,1200,1200,377,639.1590648023855,1.4880853916849943,1.5454371267431113,1.942861258642873,1330.5473027050925,0.03893778619363154,69.97775104013462,24.950830624580533,49.69545603738767,1.4943275732383727,641.082402255651,,,44292,1317,3450,1097,True,140cb9d0b746640ff44ea33c91d1c5ce7ac6cd4846e262e9e1ddfe07bcf189b4,elite,12,1.4943275732383727,636.6043608239768,2.5547039784087247,0.05110955350473856,358.6
