cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.7_f105,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,105,0.42375,102.123,1200,1097,0,,,,,,,,,,1.816672006118452,659.7501632604427,659.7501632604427,1.881556256407364,285,0,0,0,False,,,0,,,,,346.8
e5.7_f109,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,109,0.42375,102.123,1200,1142,0,,,,,,,,,,1.7481957963653136,681.6961011584531,681.6961011584531,1.9685641895034298,3934,0,2171,0,False,,,0,,,,,353.1
e5.7_f113,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,113,0.42375,102.123,1200,1139,0,,,,,,,,,,1.7457354725732792,701.3119471531339,701.3119471531339,1.9440872779016658,763,0,12,0,False,,,0,,,,,339.0
e5.7_f117,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,117,0.42375,102.123,1200,1147,0,,,,,,,,,,1.7079441643259479,715.6079407280658,715.6079407280658,1.8059079420690978,3587,0,1374,0,False,,,0,,,,,355.5
e5.7_f121,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,121,0.42375,102.123,1200,1138,0,,,,,,,,,,1.6753572533182806,730.5220391589287,730.5220391589287,1.932460956432426,44292,0,1991,0,True,,,0,,,,,347.4
