cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.2_f117,5.2,117,ga80,K1_K2,0,min_f_r,644.8922063615838,0.5037517337591859,1.5354037187978222,1.9320882600619291,1308.4528285016527,0.048237078122189476,74.00944405386038,25.17463507619154,51.85544490053129,102.031,5.2,False,7c2005b501135febaaf95307958c18b15c8667038c79d5c860c11a1c57190770,elite
e5.2_f117,5.2,117,ga80,K1_K2,1,max_cyclen,645.2933751663645,0.55363721867292,1.5401263528189988,1.938857080269921,1306.9267352825793,0.049298779604826475,73.69869848121951,25.190295489148433,51.88770267422883,102.031,5.200000000000001,False,4add814d4e9d1b9cdfe56fe5b9f37bd9c9adfc25c764bc6c48a7669646bf15f8,elite
e5.2_f121,5.2,121,ga80,K1_K2,0,min_f_r,648.7215107487613,1.2452028314588202,1.4871006436330179,1.8611842571168624,1336.3136421086572,0.039122280650455504,71.35919647207359,25.324119501017723,50.438948758225386,102.031,5.2,True,bd2d177f8bc0882e8d6a200517c30402288b7e5d1ace83542e5c902f5f69eb54,elite
e5.2_f121,5.2,121,ga80,K1_K2,1,,649.8392789040478,0.7646828694605825,1.48840494009322,1.8673175452750161,1334.3121259556397,0.039353476632438655,71.20192774781536,25.367753778392363,50.52585669911206,102.031,5.2,True,080377476aed8373b6a431e558a76085b13dc42459a5c7c8f8ee25af04e6c0fc,elite
e5.2_f121,5.2,121,ga80,K1_K2,2,,649.9719335036607,1.0571243220104318,1.4905083157746455,1.8645213686417053,1339.3930259205436,0.03909187041754571,71.10339556916453,25.37293221147543,50.53617076831056,102.031,5.2,True,0dd37caf5932bfb77ad2fe5d212b4afbebf043e16510a66b86584809b9f3cebd,elite
e5.2_f121,5.2,121,ga80,K1_K2,3,,650.0147255280041,0.8715248868783295,1.4955617206592613,1.881641599348684,1340.0465843350148,0.03860663138011089,71.22903646900755,25.374602682271,50.53949790435794,102.031,5.2,True,b4182101317cbf8426f8d4e3f6b6d830c32ae816d4157b37c5ed3dcb54459674,elite
e5.2_f121,5.2,121,ga80,K1_K2,4,,650.0393933493466,0.72624319105925,1.4971605012181484,1.8770381603752169,1344.4657539267691,0.03916787218574547,71.29571037425657,25.37556563917185,50.541415859838146,102.031,5.2,True,bfbbce27506c8e57f1a84d10681543eee6a576f91d0afa38434d86c31fda0dd2,elite
e5.2_f121,5.2,121,ga80,K1_K2,5,,650.4421759957453,1.1628244848676603,1.49837138630808,1.873393380334433,1346.9243521359358,0.039316246039444405,71.27773011050499,25.391289051608975,50.572732739155065,102.031,5.2,True,06f228f02ae2cae482732f08ccb66b95d54c8d8585a774dbd8f0da634b76da3b,guided
e5.2_f121,5.2,121,ga80,K1_K2,6,,650.9360217788253,0.9461743029015831,1.4987108153849964,1.8863171189345291,1345.5208382970307,0.03887751087289096,71.3102963252533,25.410567292608498,50.61112989684833,102.031,5.2,True,f5aba425731dca2c8e6595921e7afdeccc7e85462e1944fdbb2b6810a79d9fc1,elite
e5.2_f121,5.2,121,ga80,K1_K2,7,,651.1483322771105,1.1424190257572322,1.5075340698213533,1.888147634302821,1345.1506358223664,0.03876102844668722,71.42666131400803,25.41885525029267,50.627637316698625,102.031,5.2,True,836ad8d0ae3cdc7d21297474b39f68bf51aa1869e324bdd8d889d5bb44c3ae48,elite
e5.2_f121,5.2,121,ga80,K1_K2,8,knee,653.316710029165,0.9966144248152564,1.5098426265473024,1.9020138566366456,1355.4753320168654,0.03934409456804426,71.7591989910319,25.503502138682414,50.79623153241704,102.031,5.2,True,9b810be7cddb2708e902590bb011d8aa5716da5ed66814ea4f775cae898bd97f,elite
e5.2_f121,5.2,121,ga80,K1_K2,9,,655.0461630635153,0.6709157102361417,1.5306082863903403,1.9299250778322994,1291.0565748780677,0.049681857509471974,72.76706763980299,25.571014737829515,50.93069877534639,102.031,5.2,True,176eb888f8f47aa3b941762dd155e1d6aa0a2ea7b5015144afd17c4510614755,elite
e5.2_f121,5.2,121,ga80,K1_K2,10,,655.6738188790858,0.5351958910676029,1.5311259694341977,1.9398440892029933,1300.7610378206068,0.046843112104366674,72.63270719723042,25.595516516505967,50.979499838660644,102.031,5.2,True,2224b5271238e040c727ce344560f33ab2db6f9ffe586e8505b8ef2259245372,elite
e5.2_f121,5.2,121,ga80,K1_K2,11,,656.0815345007037,0.30537733669788264,1.5314164860733257,1.9406281144970194,1309.9180928344467,0.046263831580929726,72.78436673206674,25.611432497328558,51.01120026327423,102.031,5.2,True,52fa8bffc288b344fb93e5f2f07d5613ebe118ef0204571d92f9a2d0241d3a18,elite
e5.2_f121,5.2,121,ga80,K1_K2,12,,656.8091323884113,0.7638645337978938,1.5340963289331038,1.946002999102782,1309.2952064104607,0.045935076213374476,72.7355232495768,25.639835711268127,51.067771953848094,102.031,5.2,True,ca82649483677b6b1af632bfa27dc456d3ac176774488c264b1c919930d931e6,elite
e5.2_f121,5.2,121,ga80,K1_K2,13,max_cyclen,657.0254376751909,0.7793811231699768,1.5425571359842891,1.9538286056551948,1306.449636924074,0.046289819478866887,72.90276283630566,25.648279613374573,51.08458997374605,102.031,5.2,True,21a5c3a78d827e6009661f1c4ed74999d70c4a97420d049537f752c5d3d6d510,elite
