segment,feed,pair,grp,record_id,f_r_true,f_r_pred,cyclen_true,cyclen_pred,cbc_true,cbc_pred
5.0,101,E1_E2,tail,37d35c40af2916ef4bbb6f472e78768799391735c5ce4b51f069cebe114bc982,1.8715,1.861769304642543,547.352,543.9375465669874,1106.92,1118.4470534393686
5.0,101,E1_E2,tail,59530ccf8c4342690e47aeea7fcd7bb46f61bf2e3d21e4932d3daeedbfde3df0,1.877,1.9060481090635242,548.467,546.4529649682147,1129.78,1166.085771268506
5.0,101,E1_E2,tail,dcba707f57c416ac6522d1b48112a04b145a532e8c6ab4dd98e1e6d9599b5103,1.8817,1.8886582192383883,544.186,546.2914185658511,1126.23,1108.5059847668756
5.0,101,E1_E2,tail,6221cd7257eea33a844779f16937bf9ac360dc48e6acc9f1d587cf3f6696d5d6,1.891,1.9290771331683598,540.0,541.0861428062447,1059.42,1073.6457226405857
5.0,101,E1_E2,tail,66275d94101817b7e45e2d0aba39a4245d37e922d9b621852a6c0dbf94f363f0,1.9022,1.9041137052402508,548.085,546.8262524862794,1212.3,1204.8299759301503
5.0,101,E1_E2,tail,27c491511063cc1ec5cbd05a27c86d4e2444a0e1a5c3d55f4cdbf529a2a372e8,1.9182,1.9494202595938508,544.697,544.256206523327,1144.12,1144.5220715784067
5.0,101,E1_E2,tail,c0482d80081ed7a3ec3b761cc7fad9236db10452ea5fe024ec231f72fb38f87c,1.9204,1.8902283301320422,548.343,549.1032907015688,1201.72,1209.9960373546455
5.0,101,E1_E2,tail,4b2e307b8138ca4ce66259bd6b510d7003d67e816be4baf80afb483e12deaf9d,1.9376,2.015621722801655,548.875,552.4483507631588,1159.15,1224.8523327350244
5.0,101,E1_E2,tail,60bd828ea12aa7a83910b5cf1f555ba3acb935c8fe49704a540dd0c8789a13d8,1.9408,1.895045580806897,548.238,548.3463349228492,1214.5,1203.9328917909902
5.0,101,E1_E2,tail,71f81c896cfdbf04763104feeb410d0c45dd7cbbcc969506950d5102f7c210dc,1.9425,1.9019461869515424,551.459,547.4828842799595,1221.89,1218.2370066921792
5.0,101,E1_E2,tail,3099b6917bd528b385bbb1e4f811ace00f1105ae9c42a532b8b7ade7b969d5da,1.9473,1.9450759199856993,545.318,545.854044699073,1148.21,1171.1210642067147
5.0,101,E1_E2,tail,4a2d8cec310cf3e3a9a20e689f7378a27f03c8e7866d36d6ba84b4066f9383bd,1.9496,1.9824539826326348,540.0,540.3914878825111,1197.58,1184.8660786580729
5.0,101,E1_E2,tail,3a79b04172bc84b1726c7a83c81bdae382ff6ebdc57bd83e4d955b35ec2fcff5,1.9557,1.9263093726390932,551.044,549.9304622593904,1240.51,1227.0142927131944
5.0,101,E1_E2,tail,6b3988e9416045f7b423ec65adffcd7e2724ac68ddea88c5198b8b11ade36d65,1.9582,2.001631735399372,544.237,545.2213884474252,1229.95,1203.0000702692057
5.0,101,E1_E2,rand,6d9f50e4c813fcb6d04285cdda209b44523793e0c32ae2a6fd368e6c925ec845,2.5554,2.278532161979062,548.871,550.2314077619089,1203.02,1214.347367030311
5.0,101,E1_E2,rand,52e8e7e6adbe168cbd3df9538afcd3e10baeda85d65e306d32eacf067826c5da,2.1467,2.1957599359669673,539.976,539.2545139129326,1296.12,1265.0642536901591
5.0,101,E1_E2,rand,fab4116aecd171b0993a08f2e6865802669b3cd5172b591408e9a5354cf45e49,2.1155,2.117169632937621,545.689,545.2202849561467,1135.95,1138.4478919793735
5.0,101,E1_E2,rand,7ae1f3761c14fa42d45cfe7ea892b6ac27935b95a89ec140f0d62d5655725187,1.9905,1.9358947341196786,551.586,550.6021974340856,1222.3,1247.5121178569705
5.0,101,E1_E2,rand,7c9e8308f3fc80cdbdbc3db8fdc64a8c171081953adf00f0bac5162bc38d8792,2.0558,2.142496767341462,543.371,539.8757226326846,1185.52,1177.8203636193145
5.0,101,E1_E2,rand,ba94d70784d490c3a45d3078c83a1e7acf61ce6109bdd2f153b09329d82f51c1,3.1402,3.095316833403478,541.389,540.8321663221021,1152.88,1152.9003170184528
5.0,101,E1_E2,rand,6cbbe922e3f1c0a7ff82fa65b958eb850c5d0a4d056c5f6f718784a4d2cc0d52,2.2337,2.1405116682090695,546.61,547.8673514885878,1239.39,1238.7689150612139
5.0,101,E1_E2,rand,05d0c036ac111622a5adf6fbc55d0144be4abdb61b1ff2d42425d02da6785b90,2.0936,2.1528434070977127,536.739,538.7249425432076,1249.85,1256.6801167956562
5.0,101,E1_E2,rand,74493f205cd1d6e1bebdb2132d8a4fa7fc40f5cae9ff057ccafba238c678f23f,3.0936,2.9940766224417796,550.359,550.7616581947033,1155.88,1143.3667019049337
5.0,101,E1_E2,rand,d1f087a2904065984e3ff97915e444f277a5f4093b5112204b84cdf471848430,2.3028,2.2408988643203114,532.418,532.2711924676535,1084.78,1096.1518654554834
5.0,101,E1_E2,rand,d589abf4f03c3057f9ae067ef2338ed8ecfd63a721596c4977ab91c2fb84370a,2.0786,2.1063240527313423,536.604,539.720539893395,1130.1,1159.4171567120213
5.0,101,E1_E2,rand,d5b30794c6d19f75d5902d5d80861709f19c96b4fb08afada790abd90cc04996,2.2605,2.2003965492928805,543.737,545.97902549581,1163.77,1187.398541447878
5.0,101,E1_E2,rand,3efee2ffa58ae7d1d02b29a8e436b31a50618c88941da07a46c27b5fb50d1cc4,2.2134,2.1586902320161405,531.408,533.4318681985394,1198.54,1221.3210527582285
5.0,101,E1_E2,rand,447abbd604783903c9320cc8c70c77f421ba66cdf34046ec89310355129266e1,2.3641,2.416679746586657,525.92,526.0904091741133,1154.04,1186.406909655059
5.0,101,E1_E2,rand,9a6c154e9e68337e3c554601b1b653a270e690621cb3230ceb6f09d50f0c677f,2.0193,2.115464064567699,527.985,535.68718367367,1049.56,1081.9312689122812
