cell,e_target,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,seconds
e5.6_f117,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,117,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7651974804793622,695.7081831266311,695.7081831266311,3.418989986005412,3579,0,1366,0,False,,,126.7
e5.6_f121,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,121,0.42216,101.74,1200,1200,0,,,,,,,,,,1.720775140739536,709.5193272196246,709.5193272196246,2.718533453739884,43619,631,1318,0,True,,,124.0
e5.8_f105,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,105,0.42293,101.925,1200,1200,0,,,,,,,,,,1.80811484167498,676.8818604165076,676.8818604165076,2.2588025604579727,285,0,0,0,False,,,133.1
e5.8_f109,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,109,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7290394979941208,692.2946421231657,692.2946421231657,2.039230011980837,3823,321,2171,165,False,,,127.1
e5.8_f113,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,113,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7926102176470646,712.9772942514168,712.9772942514168,2.040936320005979,459,0,0,0,False,,,130.8
e5.8_f117,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,117,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8162580821916112,728.4810593242152,728.4810593242152,2.3437517961493506,3579,234,1366,22,False,,,131.1
e5.8_f121,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,121,0.42293,101.925,1200,1200,0,,,,,,,,,,1.7468832017668547,743.384279104857,743.384279104857,2.4058719852878623,43619,63,1318,34,True,,,133.9
e6.0_f105,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,105,0.42408,102.203,1200,1128,0,,,,,,,,,,1.8898320973742504,727.0093614334316,727.0093614334316,5.722616532331695,285,0,0,0,False,,,133.0
e6.0_f109,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,109,0.42408,102.203,1200,1124,0,,,,,,,,,,1.8207571055719256,743.4773006110623,743.4773006110623,5.187048843850311,3823,1,2171,0,False,,,131.9
e6.0_f113,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,113,0.42408,102.203,1200,1136,0,,,,,,,,,,1.8067439515124653,767.2809277338756,767.2809277338756,5.171696859394766,459,0,0,0,False,,,148.2
e6.0_f117,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,117,0.42408,102.203,1200,1128,0,,,,,,,,,,1.7700549765790412,782.1405453990662,782.1405453990662,5.210636712130293,3579,0,1366,0,False,,,129.2
e6.0_f121,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,121,0.42408,102.203,1200,1128,0,,,,,,,,,,1.7658893366338682,796.3706108255369,796.3706108255369,2.044234094461559,43619,0,1318,0,True,,,126.0
