population,target,band,n,n_cells,pooled_within_cell_sd,median_cell_sd,global_sd,s_source,sigma,s_over_sigma,rho_ceiling,rho_ceiling_global_sd,rho_ceiling_deconvolved,s_needed_for_rho095,k_repeats_for_rho095
store_all_maps,node_peak,all,29854,53,0.22602907960703325,0.23176843366352567,0.27661986373945774,pooled_within_cell_sd,0.005556017902653657,40.6818486850227,0.9996980243742362,0.9997983495608374,0.9996978418854605,0.016903822895938902,1.0
store_all_maps,node_peak,flattest_third,9974,24,0.04321102534755919,0.04412910956845774,0.04683723514129143,pooled_within_cell_sd,0.005556017902653657,7.77733731327986,0.9918348618255853,0.9930375731026375,0.9916993068974538,0.016903822895938902,1.0
store_all_maps,node_peak,middle_third,9949,9,0.041349116758091796,0.04104561595530887,0.04151599271584769,pooled_within_cell_sd,0.005556017902653657,7.442221656331002,0.9910929874901789,0.991163503704066,0.9909314365827826,0.016903822895938902,1.0
store_all_maps,node_peak,peakiest_third,9931,32,0.29262003585634716,0.4662700466013779,0.3386829057031621,pooled_within_cell_sd,0.005556017902653657,52.667223357323316,0.9998197929604405,0.9998654687811539,0.9998197279878689,0.016903822895938902,1.0
store_all_maps,node_peak,flattest_decile,3006,19,0.021496322761081182,0.02636952330992527,0.02497820393919453,pooled_within_cell_sd,0.005556017902653657,3.8690161078880148,0.9681837590483592,0.9761431299003662,0.966020985791387,0.016903822895938902,1.0
store_all_maps,node_peak,report_absolute_flat_tier,1057,16,0.01631252359469205,0.020775911298088937,0.020092402062098072,pooled_within_cell_sd,0.005556017902653657,2.936009905025844,0.9466000009741466,0.9638290514857923,0.9402089097438763,0.016903822895938902,1.0738102917897834
store_all_maps,node_peak,within_cell_flattest_third,10017,35,0.04461429814742685,0.07215395581718274,0.1095619271746037,pooled_within_cell_sd,0.005556017902653657,8.029905397914257,0.9923346294624447,0.9987166612590195,0.9922152821748452,0.016903822895938902,1.0
store_all_maps,map_cov,all,29854,53,0.06239410312516425,0.06213858511918159,0.07156842403373675,pooled_within_cell_sd,0.0005074511393002183,122.95588342004027,0.9999669288093473,0.9999748638253536,0.9999669266217953,0.0015438870675662086,1.0
store_all_maps,map_cov,flattest_third,9952,30,0.01879400265814448,0.019642627380802673,0.020842678631048436,pooled_within_cell_sd,0.0005074511393002183,37.03608328490829,0.9996356804164656,0.9997037499852858,0.9996354147653751,0.0015438870675662086,1.0
store_all_maps,map_cov,middle_third,9951,23,0.015576316563634042,0.014975907631888984,0.01565600176712038,pooled_within_cell_sd,0.0005074511393002183,30.69520463608375,0.9994697466728691,0.9994751264166023,0.9994691837386521,0.0015438870675662086,1.0
store_all_maps,map_cov,peakiest_third,9951,30,0.05503008593448968,0.0907837726722304,0.06314772569169434,pooled_within_cell_sd,0.0005074511393002183,108.44410756546311,0.9999574861544789,0.9999677134227379,0.9999574825393175,0.0015438870675662086,1.0
store_all_maps,map_cov,flattest_decile,2986,18,0.00976287047780889,0.009487508660881123,0.011143488293031361,pooled_within_cell_sd,0.0005074511393002183,19.23903548876058,0.9986518925519096,0.9989647592963354,0.9986482479361967,0.0015438870675662086,1.0
store_all_maps,map_cov,report_absolute_flat_tier,694,13,0.005743956675693399,0.006027392199566624,0.007575771588120613,pooled_within_cell_sd,0.0005074511393002183,11.319231017225402,0.9961202566764771,0.9977641313677886,0.996089916318848,0.0015438870675662086,1.0
store_all_maps,map_cov,within_cell_flattest_third,9969,35,0.01845894154349806,0.03105880387021531,0.033297372070792204,pooled_within_cell_sd,0.0005074511393002183,36.37580076961336,0.9996223419009834,0.9998838917960198,0.9996220564340761,0.0015438870675662086,1.0
fold_C,node_peak,all,2262,46,0.4878842495185646,0.33585994908473255,0.5877381831421447,pooled_within_cell_sd,0.005556017902653657,87.81185699303491,0.9999351632193763,0.9999553213174284,0.9999351548106696,0.016903822895938902,1.0
fold_C,node_peak,flattest_third,755,33,0.07932134820851448,0.071808564405034,0.12824072894157068,pooled_within_cell_sd,0.005556017902653657,14.276654538969204,0.9975558794268397,0.999062795310324,0.99754387326903,0.016903822895938902,1.0
fold_C,node_peak,middle_third,753,22,0.08508256432773094,0.08056658129544506,0.08587790244133785,pooled_within_cell_sd,0.005556017902653657,15.313587144327583,0.9978746528509455,0.9979137148299935,0.997865580074025,0.016903822895938902,1.0
fold_C,node_peak,peakiest_third,754,20,0.5808096085282691,0.5612292489557662,0.5854014874489633,pooled_within_cell_sd,0.005556017902653657,104.5370297044694,0.9999542490741153,0.9999549639497625,0.9999542448874379,0.016903822895938902,1.0
fold_C,node_peak,flattest_decile,230,14,0.024668501781887807,0.02333615982378369,0.028040550950928188,pooled_within_cell_sd,0.005556017902653657,4.439960816199976,0.9755622628996774,0.9809295563373532,0.974306267336466,0.016903822895938902,1.0
fold_C,node_peak,report_absolute_flat_tier,212,13,0.023201007291366666,0.021187380610016786,0.025693190272231294,pooled_within_cell_sd,0.005556017902653657,4.175833789211773,0.9725034551333483,0.9774084011927534,0.9709029913517997,0.016903822895938902,1.0
fold_C,node_peak,within_cell_flattest_third,775,29,0.08899979171289835,0.08417631674964039,0.19113538934249485,pooled_within_cell_sd,0.005556017902653657,16.01862939829449,0.9980570923015321,0.9995777788872847,0.9980495130621628,0.016903822895938902,1.0
fold_C,map_cov,all,2262,46,0.10303886313253734,0.06990558522017437,0.12934141385480472,pooled_within_cell_sd,0.0005074511393002183,203.05179189198248,0.9999878731375514,0.9999923037663057,0.9999878728434227,0.0015438870675662086,1.0
fold_C,map_cov,flattest_third,754,40,0.027371775669103905,0.02687745091890608,0.03867474965471723,pooled_within_cell_sd,0.0005074511393002183,53.939726506181344,0.9998281931043335,0.9999139308777442,0.9998281340488221,0.0015438870675662086,1.0
fold_C,map_cov,middle_third,754,25,0.02775547605523666,0.02704601133408327,0.02781899530972132,pooled_within_cell_sd,0.0005074511393002183,54.69585917870206,0.9998329093123306,0.9998336712891076,0.9998328534550681,0.0015438870675662086,1.0
fold_C,map_cov,peakiest_third,754,22,0.09925231397132309,0.10175621992141472,0.10170190578346669,pooled_within_cell_sd,0.0005074511393002183,195.58989286770213,0.9999869302081079,0.999987552212187,0.99998692986646,0.0015438870675662086,1.0
fold_C,map_cov,flattest_decile,227,13,0.00785359139642439,0.00641277723454205,0.008274699531274472,pooled_within_cell_sd,0.0005074511393002183,15.476546978009734,0.9979190358960724,0.9981248710993033,0.9979103388669835,0.0015438870675662086,1.0
fold_C,map_cov,report_absolute_flat_tier,175,9,0.00724137148694212,0.006197622347082759,0.007035754835444747,pooled_within_cell_sd,0.0005074511393002183,14.27008617406607,0.9975536371566289,0.9974091235000866,0.9975416089052423,0.0015438870675662086,1.0
fold_C,map_cov,within_cell_flattest_third,771,29,0.03567495928280992,0.03365496648572223,0.05612134681607197,pooled_within_cell_sd,0.0005074511393002183,70.30225477866924,0.9998988500671633,0.9999591233149262,0.999898829600405,0.0015438870675662086,1.0
