cell,move_class,fresh_radial_dir,response,n_parents,mean_of_parent_means,sign_pos,sign_n,sign_p
HGD569_f125,rewire_swap,neutral,node_peak,20,0.023940002925639036,16,20,0.01181793212890625
HGD569_f125,rewire_swap,neutral,cyclen,20,0.08290000000000078,11,19,0.6476058959960938
N1N2_f113,batch_flip,neutral,F_xy,20,0.006015000000000015,11,18,0.480682373046875
N1N2_f113,batch_flip,neutral,F_r,20,0.007240000000000002,18,20,0.0004024505615234375
N1N2_f113,batch_flip,neutral,node_peak,20,0.008844971654486066,17,20,0.0025768280029296875
N1N2_f113,batch_flip,neutral,cyclen,20,-0.26260000000000333,0,20,1.9073486328125e-06
N1N2_f113,batch_swap,neutral,F_xy,20,0.018429999999999985,15,20,0.04138946533203125
N1N2_f113,batch_swap,neutral,F_r,20,0.0292875,17,20,0.0025768280029296875
N1N2_f113,batch_swap,neutral,node_peak,20,0.03755747377641142,17,20,0.0025768280029296875
N1N2_f113,batch_swap,neutral,cyclen,20,0.10007500000000391,13,20,0.26317596435546875
N1N2_f113,fresh_relocate,inward,F_xy,20,0.17975,19,20,4.00543212890625e-05
N1N2_f113,fresh_relocate,inward,F_r,20,0.13150000000000003,19,20,4.00543212890625e-05
N1N2_f113,fresh_relocate,inward,node_peak,20,0.051369985935758956,16,20,0.01181793212890625
N1N2_f113,fresh_relocate,inward,cyclen,20,-0.3434999999999917,9,20,0.8238029479980469
N1N2_f113,fresh_relocate,outward,F_xy,20,0.10793500000000003,20,20,1.9073486328125e-06
N1N2_f113,fresh_relocate,outward,F_r,20,0.084755,20,20,1.9073486328125e-06
N1N2_f113,fresh_relocate,outward,node_peak,20,0.03708998858697356,19,20,4.00543212890625e-05
N1N2_f113,fresh_relocate,outward,cyclen,20,-1.4540499999999923,2,20,0.0004024505615234375
N1N2_f113,rewire_swap,neutral,F_xy,20,0.011369999999999991,16,19,0.004425048828125
N1N2_f113,rewire_swap,neutral,F_r,20,0.013700000000000013,14,20,0.11531829833984375
N1N2_f113,rewire_swap,neutral,node_peak,20,0.01600496768720091,13,20,0.26317596435546875
N1N2_f113,rewire_swap,neutral,cyclen,20,0.17389999999999758,13,20,0.26317596435546875
T6T4_f121,batch_flip,inward,F_xy,9,0.016399999999999994,7,9,0.1796875
T6T4_f121,batch_flip,inward,F_r,11,0.010800000000000061,7,11,0.548828125
T6T4_f121,batch_flip,inward,node_peak,11,0.015618172557974506,8,11,0.2265625
T6T4_f121,batch_flip,inward,cyclen,11,-2.0415454545454335,0,11,0.0009765625
T6T4_f121,batch_flip,outward,F_xy,9,0.06537777777777783,7,9,0.1796875
T6T4_f121,batch_flip,outward,F_r,9,0.04749999999999995,5,9,1.0
T6T4_f121,batch_flip,outward,node_peak,9,0.04005555312829453,5,9,1.0
T6T4_f121,batch_flip,outward,cyclen,9,1.5177777777777743,8,9,0.0390625
T6T4_f121,batch_swap,inward,F_xy,17,0.12711176470588234,17,17,1.52587890625e-05
T6T4_f121,batch_swap,inward,F_r,19,0.07599473684210527,16,19,0.004425048828125
T6T4_f121,batch_swap,inward,node_peak,19,0.03872631098291785,11,19,0.6476058959960938
T6T4_f121,batch_swap,inward,cyclen,19,0.09700000000002187,13,19,0.1670684814453125
T6T4_f121,batch_swap,outward,F_xy,18,0.07422777777777778,17,18,0.00014495849609375
T6T4_f121,batch_swap,outward,F_r,20,0.05856,18,20,0.0004024505615234375
T6T4_f121,batch_swap,outward,node_peak,20,0.03921498060622923,17,20,0.0025768280029296875
T6T4_f121,batch_swap,outward,cyclen,20,0.020800000000008367,9,20,0.8238029479980469
T6T4_f121,fresh_relocate,inward,F_xy,18,0.14816944444444444,18,18,7.62939453125e-06
T6T4_f121,fresh_relocate,inward,F_r,20,0.10655249999999998,20,20,1.9073486328125e-06
T6T4_f121,fresh_relocate,inward,node_peak,20,0.05254998803535216,19,20,4.00543212890625e-05
T6T4_f121,fresh_relocate,inward,cyclen,20,0.06682500000000288,12,20,0.5034446716308594
T6T4_f121,fresh_relocate,outward,F_xy,18,0.15939166666666665,18,18,7.62939453125e-06
T6T4_f121,fresh_relocate,outward,F_r,20,0.119855,18,20,0.0004024505615234375
T6T4_f121,fresh_relocate,outward,node_peak,20,0.06801998317638151,19,20,4.00543212890625e-05
T6T4_f121,fresh_relocate,outward,cyclen,20,-0.4502999999999872,6,20,0.11531829833984375
T6T4_f121,rewire_swap,neutral,F_xy,18,0.026888888888888865,11,18,0.480682373046875
T6T4_f121,rewire_swap,neutral,F_r,20,0.01579999999999997,12,20,0.5034446716308594
T6T4_f121,rewire_swap,neutral,node_peak,20,0.009979981187970565,11,20,0.8238029479980469
T6T4_f121,rewire_swap,neutral,cyclen,20,0.043100000000004,9,20,0.8238029479980469
