target,sigma_noise_r0.5,sigma_cell,lambda_r0.5,rho_max_r0.3,rho_max_r0.5,rho_max_r0.7
cyclen,0.10413334873026102,8.173009244854672,0.01274216129600155,0.9999850914515797,0.9999188285470303,0.9995579867821799
f_r,0.00024856029296233776,0.4796204132627834,0.0005182438433972554,0.9999999753348009,0.9999998657116864,0.9999992688745191
f_q,0.00024856029296233776,0.7855370427645831,0.0003164208584368757,0.9999999908051086,0.9999999499389239,0.9999997274452223
cbc_max,0.24856029296233775,70.37590936339865,0.003531916610819358,0.9999988544022619,0.9999937628408808,0.9999660416630004
ao_abs,0.00024856029296233776,0.013837120563781504,0.017966194935031158,0.9999703656829438,0.9998386469803769,0.9991212071828137
max_assembly_burnup,0.008925715605450945,2.924836419018986,0.003051711579374685,0.9999991447372721,0.9999953435607419,0.9999746480128137
node_peak,0.0002833834734663512,0.196088736471197,0.0014451812709698599,0.9999998081948703,0.9999989557271827,0.999994314501468
map_cov,3.411536120365513e-05,0.061937662469729024,0.0005508016450464046,0.9999999721383542,0.9999998483088083,0.9999991741254564
