cell,zone,enrichment_segment,feed,n_batch,extrapolated,n_cores,n_pairs,n_feasible_db,e_real_mean,e_real_sd,bu_k1_mix_mean,EFPD_db_mean,EFPD_db_sd,EFPD_db_min,EFPD_db_max,B_c_db_mean,B_d_massbal_mean,B_d_reported_mean,massbal_dev_pct_mean,massbal_dev_pct_sd,F_r_db_min,CBC_max_db_max,lrmA_efpd,lrmA_bias,lrmA_rms,lrmB_efpd,lrmB_bias,lrmB_rms,lrmC_efpd,lrmC_bias,lrmC_rms,e_for_backbone,backbone_mean_efpd,backbone_ceil_efpd,backbone_mean_B_d,backbone_ceil_B_d,ceil_cyclen,ceil_B_cycle,ceil_B_d,min_pred_f_r,n_feasible,in_distribution,n_store_pair_feed,library_id,per_fa_tU,d_surrogate_minus_lrmceil_efpd,d_surrogate_minus_lrmceil_pct,d_surrogate_minus_lrmmean_efpd,d_surrogate_minus_dbmax_efpd,d_surrogate_minus_lrmceil_B_d,lrmA_a,lrmA_b,lrmB_a,lrmB_b,lrmB_alpha,lrmCeil_a,lrmCeil_b,lrmCeil_alpha,spr_gwd_per_efpd
e5.1_f117,db_and_mesh,5.1,117,2.059829,False,201.0,2.0,195.0,5.104741,0.012066,39.937655,632.337313,3.506644,624.5,638.1,24.68465,50.846159,51.118308,-0.531658,0.312699,1.518,1400.2,631.879551,-0.457762,4.208083,631.442893,-0.89442,4.277812,631.907005,-0.430308,3.62161,5.104741,631.442893,636.258481,50.774239,51.16146,632.805341,24.70292,50.883793,1.523367,113.0,False,338.0,ga80,0.42337,-3.45314,-0.542726,1.362448,-5.294659,-0.277666,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.1_f121,db_and_mesh,5.1,121,1.991736,False,100.0,4.0,95.0,5.10511,0.017071,39.901995,641.896,2.157389,635.8,644.9,25.057794,49.908499,50.1787,-0.538485,0.159764,1.5175,1341.6,646.309212,4.413212,5.594154,641.449401,-0.446599,3.455065,641.357153,-0.538847,3.002386,5.10511,641.449401,644.881218,49.873775,50.140604,648.574486,25.318503,50.427762,1.492595,304.0,True,150.0,ga80,0.42337,3.693268,0.572705,7.125085,3.674486,0.287158,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.2_f101,db_only,5.2,101,2.386139,False,172.0,2.0,171.0,5.235366,0.003182,41.017109,581.947674,2.068179,577.2,586.4,22.717582,54.207299,54.423547,-0.366968,1.949247,1.5115,1308.2,585.93085,3.983176,4.445198,583.0179,1.070226,2.245088,582.662348,0.714674,2.078474,5.235366,583.0179,587.222573,54.306989,54.698646,,,,,,,,,,,,,,,-0.858023,7.560831,-14.854288,126.132069,0.903213,3.369285,122.239281,0.912776,0.039037
e5.2_f105,db_and_mesh,5.2,105,2.295238,False,160.0,2.0,154.0,5.236263,0.003835,41.042767,600.831875,1.845558,596.3,605.0,23.454767,53.834275,54.109687,-0.509017,0.042384,1.5227,1358.5,602.199351,1.367476,2.153454,601.252425,0.42055,1.715966,600.972206,0.140331,1.727726,5.236263,601.252425,605.789412,53.871956,54.278469,594.867463,23.221934,53.299867,1.698795,0.0,False,24.0,ga80,0.42337,-10.921949,-1.802928,-6.384961,-10.132537,-0.978602,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.2_f109,db_and_mesh,5.2,109,2.211009,False,77.0,2.0,53.0,5.226195,0.003183,40.957523,622.894805,1.462235,620.3,625.1,24.316041,53.76299,54.041039,-0.514465,0.031862,1.5409,1381.4,616.781284,-6.113521,6.277107,623.215283,0.320478,1.459572,623.33714,0.442335,1.490933,5.226195,623.215283,625.169507,53.790651,53.959323,609.423792,23.790171,52.600287,1.665865,0.0,False,135.0,ga80,0.42337,-15.745715,-2.518631,-13.791491,-15.676208,-1.359036,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.2_f113,db_and_mesh,5.2,113,2.132743,False,162.0,2.0,128.0,5.234012,0.002705,40.982149,636.697531,1.130764,632.9,638.2,24.85486,53.009039,53.242593,-0.43858,0.138228,1.5226,1350.4,633.157071,-3.54046,3.654156,636.983589,0.286058,0.947353,636.546614,-0.150917,1.006597,5.234012,636.983589,639.700893,53.032855,53.259087,631.186011,24.639706,52.55017,1.620462,0.0,False,79.0,ga80,0.42337,-8.514882,-1.331072,-5.797578,-7.013989,-0.708917,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.2_f117,db_and_mesh,5.2,117,2.059829,False,482.0,2.0,477.0,5.228025,0.004323,40.953932,646.853942,1.84499,642.1,651.2,25.251338,52.013439,52.291473,-0.531517,0.178859,1.5168,1404.2,647.486914,0.632972,2.077571,647.052873,0.198931,1.988809,646.891846,0.037904,1.682352,5.228025,647.052873,651.54211,52.029435,52.390414,647.17458,25.263855,52.039222,1.527123,46.0,False,201.0,ga80,0.42337,-4.367531,-0.670337,0.121707,-4.02542,-0.351193,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.2_f121,db_and_mesh,5.2,121,1.991736,False,74.0,3.0,70.0,5.221703,0.022215,40.880266,655.433784,3.727876,646.6,659.3,25.58627,50.961084,51.276486,-0.615265,0.066116,1.5231,1364.9,661.405478,5.971695,6.135471,656.445027,1.011243,1.740577,656.009486,0.575702,1.468708,5.221703,656.445027,659.530201,51.03971,51.279588,659.745442,25.754585,51.296323,1.496562,287.0,True,416.0,ga80,0.42337,0.21524,0.032635,3.300415,0.445442,0.016735,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.3_f101,db_only,5.3,101,2.386139,False,227.0,3.0,225.0,5.315859,0.016261,41.725251,591.305286,2.565335,583.0,595.4,23.082876,55.078943,55.382731,-0.548573,0.053925,1.5137,1355.5,595.139023,3.833736,4.154377,592.187966,0.88268,1.828321,592.05353,0.748243,1.771297,5.315859,592.187966,596.203723,55.161162,55.535222,,,,,,,,,,,,,,,-0.858023,7.560831,-14.854288,126.132069,0.903213,3.369285,122.239281,0.912776,0.039037
e5.3_f105,db_and_mesh,5.3,105,2.295238,False,418.0,3.0,411.0,5.304098,0.01281,41.649597,608.563876,2.759742,600.6,613.4,23.756603,54.527059,54.80799,-0.512611,0.030804,1.5059,1405.5,610.173644,1.609768,3.217095,609.220844,0.656968,2.861497,609.267865,0.703989,2.557058,5.304098,609.220844,613.596297,54.585923,54.977962,594.459347,23.206002,53.2633,1.757394,0.0,False,17.0,ga80,0.42337,-19.13695,-3.118818,-14.761497,-18.940653,-1.714662,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.3_f109,db_and_mesh,5.3,109,2.211009,False,141.0,3.0,120.0,5.315482,0.017897,41.694283,634.239716,2.64564,628.0,637.1,24.758914,54.742187,55.041702,-0.544102,0.032774,1.5304,1410.7,627.552639,-6.687078,6.796246,634.10813,-0.131587,1.216667,633.804125,-0.435591,1.327444,5.315482,634.10813,635.794245,54.730829,54.87636,614.593074,23.991965,53.046455,1.670228,0.0,False,107.0,ga80,0.42337,-21.20117,-3.334596,-19.515055,-22.506926,-1.829905,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.3_f113,db_and_mesh,5.3,113,2.132743,False,274.0,3.0,175.0,5.314606,0.018921,41.683412,646.90146,2.861721,639.1,650.5,25.253193,53.858579,54.111752,-0.468017,0.133275,1.5331,1405.0,643.122512,-3.778948,3.938765,647.017655,0.116195,1.112224,646.714713,-0.186747,1.117696,5.314606,647.017655,649.499428,53.868253,54.074876,633.986019,24.749011,52.783288,1.670942,0.0,False,30.0,ga80,0.42337,-15.513408,-2.388518,-13.031635,-16.513981,-1.291588,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
