cell,zone,enrichment_segment,feed,n_batch,extrapolated,n_cores,n_pairs,n_feasible_db,e_real_mean,e_real_sd,bu_k1_mix_mean,EFPD_db_mean,EFPD_db_sd,EFPD_db_min,EFPD_db_max,B_c_db_mean,B_d_massbal_mean,B_d_reported_mean,massbal_dev_pct_mean,massbal_dev_pct_sd,F_r_db_min,CBC_max_db_max,lrmA_efpd,lrmA_bias,lrmA_rms,lrmB_efpd,lrmB_bias,lrmB_rms,lrmC_efpd,lrmC_bias,lrmC_rms,e_for_backbone,backbone_mean_efpd,backbone_ceil_efpd,backbone_mean_B_d,backbone_ceil_B_d,ceil_cyclen,ceil_B_cycle,ceil_B_d,min_pred_f_r,n_feasible,in_distribution,n_store_pair_feed,library_id,per_fa_tU,d_surrogate_minus_lrmceil_efpd,d_surrogate_minus_lrmceil_pct,d_surrogate_minus_lrmmean_efpd,d_surrogate_minus_dbmax_efpd,d_surrogate_minus_lrmceil_B_d,lrmA_a,lrmA_b,lrmB_a,lrmB_b,lrmB_alpha,lrmCeil_a,lrmCeil_b,lrmCeil_alpha,spr_gwd_per_efpd
e5.8_f105,mesh_only,5.8,105,2.295238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.819206,669.728853,672.877701,60.007415,60.28955,671.451289,26.238808,60.224311,1.868154,0.0,False,0.0,paramA,0.42293,-1.426412,-0.211987,1.722436,,-0.065239,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.8_f109,mesh_only,5.8,109,2.211009,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.819206,695.56117,695.734725,60.034934,60.049914,691.796208,27.033842,59.772072,1.879777,0.0,False,165.0,paramA,0.42293,-3.938516,-0.566095,-3.764962,,-0.277842,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.8_f113,mesh_only,5.8,113,2.132743,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.819206,709.841483,710.848587,59.098729,59.182576,711.069489,27.786998,59.262536,1.855252,0.0,False,0.0,paramA,0.42293,0.220903,0.031076,1.228007,,0.079959,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.8_f117,mesh_only,5.8,117,2.059829,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.819206,721.907321,724.831615,58.048472,58.283614,731.580142,28.588508,58.88744,1.777799,0.0,False,22.0,paramA,0.42293,6.748527,0.931048,9.672821,,0.603826,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.8_f121,mesh_only,5.8,121,1.991736,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.819206,733.293208,734.601943,57.014786,57.116542,745.179251,29.119931,57.999201,1.798863,0.0,True,34.0,paramA,0.42293,10.577308,1.439869,11.886043,,0.882659,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.9_f105,mesh_only,5.9,105,2.295238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919206,681.475518,684.38624,61.059911,61.32071,676.176099,26.404531,60.604687,1.924831,0.0,False,0.0,paramA,0.42323,-8.210142,-1.199636,-5.299419,,-0.716024,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.9_f109,mesh_only,5.9,109,2.211009,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919206,707.760919,707.634198,61.087913,61.076975,699.512838,27.315826,60.395542,1.871523,0.0,False,0.0,paramA,0.42323,-8.12136,-1.147678,-8.248081,,-0.681433,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.9_f113,mesh_only,5.9,113,2.132743,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919206,722.2917,723.006559,60.135287,60.194803,721.855865,28.188317,60.118445,1.849968,0.0,False,0.0,paramA,0.42323,-1.150695,-0.159154,-0.435835,,-0.076358,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.9_f117,mesh_only,5.9,117,2.059829,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919206,734.569167,737.228746,59.066609,59.280465,738.408588,28.834697,59.394546,1.814717,0.0,False,0.0,paramA,0.42323,1.179842,0.160037,3.839421,,0.114081,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.9_f121,mesh_only,5.9,121,1.991736,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919206,746.154755,747.166181,58.014793,58.093433,753.320065,29.416987,58.590858,1.808279,0.0,True,0.0,paramA,0.42323,6.153885,0.82363,7.16531,,0.497425,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e6.0_f105,mesh_only,6.0,105,2.295238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,6.019206,693.222183,695.894779,62.112407,62.35187,716.408198,27.919473,64.081837,1.882002,0.0,False,0.0,paramA,0.42408,20.513419,2.947776,23.186016,,1.729967,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e6.0_f109,mesh_only,6.0,109,2.211009,True,,,,,,,,,,,,,,,,,,,,,,,,,,,6.019206,719.960668,719.533671,62.140891,62.104037,737.952816,28.759098,63.586629,1.835581,0.0,False,0.0,paramA,0.42408,18.419145,2.559873,17.992148,,1.482592,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e6.0_f113,mesh_only,6.0,113,2.132743,True,,,,,,,,,,,,,,,,,,,,,,,,,,,6.019206,734.741918,735.164532,61.171845,61.20703,759.86313,29.612975,63.156875,1.788309,0.0,False,0.0,paramA,0.42408,24.698597,3.359601,25.121212,,1.949845,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e6.0_f117,mesh_only,6.0,117,2.059829,True,,,,,,,,,,,,,,,,,,,,,,,,,,,6.019206,747.231012,749.625877,60.084746,60.277317,779.28741,30.369967,62.556941,1.755528,0.0,False,0.0,paramA,0.42408,29.661533,3.956845,32.056397,,2.279624,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e6.0_f121,mesh_only,6.0,121,1.991736,True,,,,,,,,,,,,,,,,,,,,,,,,,,,6.019206,759.016303,759.730418,59.0148,59.070324,796.354568,31.035099,61.81371,1.740198,0.0,True,0.0,paramA,0.42408,36.62415,4.820677,37.338265,,2.743386,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
