record_id,cell,act_fr,pred_fr,pred_fq,pred_cyclen
a625b454e3809598830459ae049f62cd4be5c27573e1b33969a136dce82e0fb9,5.25-5.5_f117,1.8598,1.77198530214962,2.2081914948166186,645.268101923365
f9a562d7b58f04b57d48b302f9c2c6619f45d2e793ad8cc35f37fa9da5031487,5.25-5.5_f117,2.1094,2.0569897340447008,2.7487331703032627,641.7698193066925
e2090ac6b046d104959e4edc462539b30418e517ac89dfd0a81e639323d455de,5.25-5.5_f117,1.9909,1.965911104149131,2.490920489065283,654.3340056102923
3e59062e7e1d6403b9e2345b72b93eeedc6882fab48499b724d80fd84b74833a,5.25-5.5_f117,2.0026,1.951012953713341,2.542917040931191,636.7819133446632
b40284e4616472b4c7545cbe3df1d8873e8161dec8854dbacb5ca976212771d8,5.25-5.5_f117,1.8561,1.901354380493092,2.421873828844399,659.2589229685971
92941891dc7c5749896de3b04f8f274106de8b36df3771672bfe043cd3a92b2a,5.25-5.5_f117,1.9253,1.8676114452125507,2.392268639513034,631.0374261096966
a3fc157ecf12468883e428e11dac18d41fdb81d89052d1c9e235edae0e04d03d,5.25-5.5_f117,1.9562,1.9656329634056178,2.5434183175128173,636.1901032148351
0b7c8be9999c8e8c6346e0a8b318dc681fd85e0433d73b1d0c86d7868178d6ea,5.25-5.5_f117,1.9958,2.17144762848381,2.7426705444366055,643.3699781157599
7483af50e6120b79c17042dda5af96fdc3b6e2f8fe81e72d939d40fab20cf435,5.25-5.5_f117,2.1896,2.1369965515302893,2.8433820226673756,626.4064794086758
6832495a482729af6221c2e141c45c63a6f1cf8fa4a5d0f087e9274c069eba90,5.25-5.5_f117,2.0112,2.0817518808785875,2.697177467978507,656.7439667578947
28af5b802cb7a7ba2a3653d49898b39e9a1c88602bfe4a6ed997686e805d17c3,5.25-5.5_f117,1.906,1.9014350981833563,2.4442742972091125,641.9313331126467
b0e87ce70284b6167e30e3ef25bdc201e3e28f363439a0c420b480707dd80df9,5.25-5.5_f117,3.8501,3.609588949553946,5.594835088455995,646.7783388361706
5d2135fccc0fe3ee40ac7268b825e0114d1e0bdf8a177f65b2a5a4c1adf5fd39,5.25-5.5_f117,2.0356,2.0061943620084732,2.5432044683617105,657.494759776883
450b7ee1d112e4cc2ff9d320fdc2f4d3744f2aaa8cc3b8768c5f37f101950fb5,5.25-5.5_f117,2.5818,2.2515571431031036,2.8828969538011058,655.4489579358491
d6141741813d95b615b6c23c825e5e0fc4a01e9ecf07585605ddb40751063bc5,5.25-5.5_f117,2.0428,2.0387250529680188,2.7078760735009526,633.0768507132823
441886139301863574d1e8180867e4ad876ba026e4fff5ed431d48290634332b,5.25-5.5_f117,1.9571,1.9938927175556311,2.556708863219014,652.0058979967115
4ce617c0a93a63b5aca958c5b7991c1d82f40df3f6b1af57690704d0e60d2352,5.25-5.5_f117,2.0282,2.054264652513375,2.6898283757684363,647.0359065073811
79e4c20e22a6073ddbed30cec52c8501eddce813b9ec5250920d3139256e3ac0,5.25-5.5_f117,1.9474,2.0605966316258857,2.6561335874518797,652.7262271248095
d9d19c59974998deff637dfc465feb8dccf6acb661be77dcf5da68e50b593cee,5.25-5.5_f117,1.8725,1.8844037285454953,2.3903115762168783,639.5533400790003
9e94f56a8c6718cd691565e7c9055214b80cadea42384739990724d425b2bd48,5.25-5.5_f117,3.7981,3.684150975113158,5.569444379353639,632.1241410357453
052738f037774be341c32f54e64d4c9d1355ac7b6d93ce920149955292e31a25,5.25-5.5_f117,1.8326,1.9146959106809653,2.4537952833156345,656.4678969202305
d05191bd9c6fb86fce17c03a4eb088e34628a0391b4742f37bc526267234b193,5.25-5.5_f117,1.7984,1.7805209604698742,2.2428782455653944,657.2231047114474
47eeac77c55076f2a8d7a0996c724a01802511f6dcef3cb211fa4f2adea92023,5.25-5.5_f117,2.0784,2.111402613474893,2.792993032765251,651.159805938556
58f0ff51bb4b43fbc49f8be0a501a1c2b19229ad7101d3b5593c8c71e13464b0,5.25-5.5_f117,2.8665,2.643564004073693,3.6566874686491415,638.2857723059916
b6a503c3a5040f5964ac8ca6802610e2d538177611cc2d0ea35e399b310ce0a2,5.25-5.5_f117,2.1271,2.262182358448432,2.932699919648564,657.1900780926098
979355d1dea4db40c16437205b10d08418428b58ff2dc822ad0c58e31352b585,5.25-5.5_f117,1.9706,1.9400434139930023,2.4923103571740866,632.483226469899
40c4cc1f07cd136aee63c405773dc01faea884301fd30bbd3c68011d6d53db76,5.25-5.5_f117,2.1606,2.1731018382166996,2.799668255023559,652.0491391361867
408ab42f39dea9756a1ae7fb1f14e66e126ff54fd743d50cc7385c6a295aef15,5.25-5.5_f117,2.1077,2.0553194031701993,2.661091543486894,648.0820306095779
524b980850c6222ddda5fcb29ac01e37af81cac52ff9ea5df69cde4cfa1daa8c,5.25-5.5_f117,1.7384,1.7991296879708494,2.2564054545548893,659.2277516520345
94b434291826caa33c50a7ab5b91fb96af08373c5b905faeb40b82c4ee0a4c47,5.25-5.5_f109,2.2782,1.9300661357083766,2.4308658537082115,609.6231524645983
08dc0bfdb3942795ecc328a92eb51623029df48d53e60a9a1761c92de202b8d0,5.25-5.5_f109,1.6986,1.7411932612339658,2.160543022809914,621.6226341347341
1b6ecbc2e0543a4e0093ad5cf86541313d39da66999443e9f2f01468bf329a6f,5.25-5.5_f109,2.1206,2.159235695166818,2.902848225961555,591.1323404284277
a14e73e181e2d0558943b59340b44371b1ebb3cbad598f47f73833ce67d5a70d,5.25-5.5_f109,2.5974,2.4884222824042785,3.2373054402184165,600.0164743337912
