case_pair,feed,orig_digest,tp_digest,node_peak_orig,node_peak_tp,d_node_peak,map_cov_orig,map_cov_tp,d_map_cov,map_rms_detransposed,map_maxabs_detransposed,map_rms_raw,peak_slot_orig,peak_slot_tp
J1_J2,121,bfe2d7c8ea5b68dd,358da3df791f81b5,1.430899977684021,1.4453999996185303,-0.014500021934509277,0.30482385336632434,0.3054886024148834,-0.0006647490485590657,0.004682229101743685,0.015900015830993652,0.07862561068239576,14,14
E3_E4,141,3090b88c20c924e2,73736189f0bd8227,2.09660005569458,2.095099925994873,0.0015001296997070312,0.562334161720114,0.5625542058070366,-0.00022004408692266608,0.001680060278903866,0.005299985408782959,0.126501011335229,0,0
G3_G4,121,6a3c972672f4fa94,fe849b0f0e9624ce,1.3662999868392944,1.3653000593185425,0.0009999275207519531,0.28769586107881023,0.2873238253904166,0.0003720356883936127,0.0019204102647421614,0.007799983024597168,0.06629766410768083,3,3
N3_N4,113,654bac4674fddff6,e89162ed73f6341d,1.944200038909912,1.9419000148773193,0.0023000240325927734,0.46330727599967214,0.4631224206492027,0.00018485535046941504,0.0012680577555717865,0.0055999755859375,0.11288722952639059,0,0
E1_E2,121,297de3a3e4b3f6b0,5bea9b4cf02cf826,1.343999981880188,1.3458000421524048,-0.0018000602722167969,0.31329817424472056,0.3138398295523678,-0.0005416553076472153,0.004066223381318176,0.014699935913085938,0.058633086994405614,31,31
E1_E2,125,7777b0e5702e7a8b,a059d7094607ea3f,1.3149000406265259,1.3184000253677368,-0.0034999847412109375,0.2798244085138512,0.28046755443165405,-0.0006431459178028454,0.004303471342502874,0.017400026321411133,0.07792912960691445,23,23
K1_K2,121,f2a6083a68599f2c,fc4fe7f4c112dde6,1.6021000146865845,1.5743000507354736,0.02779996395111084,0.3151653660923087,0.3145877194104142,0.0005776466818945281,0.004525557231665861,0.02779996395111084,0.06326834642841599,0,0
H3_H4,101,bc67bdf5376d5f42,0778e1e905ffda82,1.881600022315979,1.882599949836731,-0.0009999275207519531,0.31487921701655375,0.3150712182426932,-0.0001920012261394377,0.0014166676848565765,0.003799915313720703,0.11030283085816338,0,0
A2_A8,117,0f0169ff0308bee2,f6223cfdb2375058,1.7726000547409058,1.7721999883651733,0.0004000663757324219,0.49107906545082236,0.49120131474429113,-0.000122249293468768,0.0010104340522661026,0.0036998987197875977,0.12728421446016394,28,28
E3_E4,117,6c310f82ed2c667f,32943d3f984c402e,1.6657999753952026,1.6692999601364136,-0.0034999847412109375,0.4037307012243578,0.40370056632441875,3.0134899939027182e-05,0.0025637052885645697,0.007799983024597168,0.14235905523648093,11,11
N1_N2,117,9f71a9be954d4f75,2369be31cf941b0a,1.4708000421524048,1.4661999940872192,0.004600048065185547,0.3572554558255389,0.35697663224070253,0.00027882358483638514,0.003341779171547483,0.009900093078613281,0.0845571298796755,38,38
N3_N4,105,3f235068213d4b98,fba3c76380fab1ca,1.895900011062622,1.8960000276565552,-0.00010001659393310547,0.4940092059189667,0.4939626492408194,4.6556678147291475e-05,0.0010079367620307222,0.003300011157989502,0.2341175619568469,4,4
E1_E2,117,9d7ba5cec211f2e7,f6515774814b663e,1.7773000001907349,1.773800015449524,0.0034999847412109375,0.4989325778883049,0.49863657215102003,0.0002960057372848879,0.0024342677559075314,0.007300019264221191,0.1864086334936654,28,28
K1_K2,121,5abb7b390bd66ce6,d3a688a19ddd8774,1.3600000143051147,1.36080002784729,-0.000800013542175293,0.30653537012740395,0.3066757780764306,-0.0001404079490266441,0.002186081907694295,0.008700013160705566,0.06321394316880817,30,30
A2_A8,101,b132434fae084081,43758bc76157e7c5,1.7561999559402466,1.7509000301361084,0.005299925804138184,0.4425809890009035,0.44370112798983913,-0.0011201389889356483,0.004718042307831021,0.012799978256225586,0.21262478940699353,13,13
A2_A8,109,edb671b69c3bac60,b266ff99d48b26c7,1.6151000261306763,1.614799976348877,0.0003000497817993164,0.40453053894627594,0.4040132843978748,0.0005172545484011248,0.0030261096837872125,0.007599979639053345,0.20335514514152456,28,28
J1_J2,109,0a5209fb613e1a78,bda3d9bc4164ff1b,1.6979000568389893,1.7019000053405762,-0.003999948501586914,0.40845609815628237,0.40916319343351876,-0.0007070952772363914,0.0033999351453737137,0.01620006561279297,0.252596822858423,19,19
G3_G4,125,4e92d69a4ad4614e,d9dd1f26d14dab6b,1.7222000360488892,1.7236000299453735,-0.001399993896484375,0.3657685613325001,0.3665163385473946,-0.0007477772148945516,0.0019636094102633518,0.006200015544891357,0.17982972820953627,0,0
J1_J2,125,fa9f4f26b8c4f9f3,774e4b99ef1877ea,1.327299952507019,1.3270000219345093,0.0002999305725097656,0.2936869668633523,0.2938107581732486,-0.00012379130989631504,0.0029261292838547717,0.010900020599365234,0.05370554675239681,2,2
G3_G4,133,d4ab790d3df5565b,e146b3b5b3d92ecd,1.4881999492645264,1.4867000579833984,0.0014998912811279297,0.3791420337888543,0.37923748092871695,-9.544713986264775e-05,0.002818858685508319,0.008800029754638672,0.1306797388552213,12,12
A2_A8,141,b6a124294376b2a7,8404b59bbf3f6e4a,1.9611999988555908,1.9519000053405762,0.009299993515014648,0.5015204222656814,0.4990278181540204,0.0024926041116609676,0.004935824350773759,0.012799978256225586,0.13199635279718,11,11
J1_J2,121,e2aa4a012f46c351,9b919932fd3c9d13,1.4142999649047852,1.4007999897003174,0.013499975204467773,0.32696949422495336,0.32673182878419593,0.00023766544075742857,0.002546129038394467,0.013499975204467773,0.07250809857693459,0,0
