table,tag,n,rho,r,mae,rmse,bias,med_ae,p90,p95,p99,maxae,le2,le5,le10,le20,fold,variant,cells,med_rho,q1,q3,worst,med_mae,covered,mae_off,mae_on,bias_off,bias_on,rho_off,rho_on,le5_off,le5_on,le10_off,le10_on,band,cov,med_cell_rho,prior_mae,feed,bin,pred_mid,sd,n_act,n_pred,tp,fp,fn,precision,recall,target,med_miss,p90_miss,med_oracle,channel,model,med_cell_mae,top1,top3,pred1_in_true3,node_mae,node_bias,node_rmse,med_shape_rho,q1_shape_rho,q3_shape_rho,metric,true_sd,pred_sd,pairs,sign_acc,stratum,pkr_lo,pkr_hi,p_at_8,median,random,feature,global_rho,cell_rho,cov_lo,cov_hi,rho_cov,ci_lo,ci_hi,rho_cov_prev,rho_peak,delta_above_random,delta_acc75,acc_smallest_bin,n_smallest,med_ratio,med_sd_true,med_sd_pred,noise_to_signal
t2_strat,,168.0,0.7049395872003842,,0.4553515607572573,,-0.4553515607572573,,,,,,,,,,C new_unseen,,,,,,,,,,,,,,,,,,,,,0.6727272727272727,,,,,,,,,,,,,,,,,,champ,,0.4107142857142857,,,,,,,,,,,,,,peaked(high pkr),1.624091381100727,3.4504131892434624,,,,,,,,,,,,,,,,,,,,,
t2_strat,,168.0,0.0942505917170472,,0.1299057243176609,,-0.1299057243176609,,,,,,,,,,C new_unseen,,,,,,,,,,,,,,,,,,,,,0.119047619047619,,,,,,,,,,,,,,,,,,prev,,0.0773809523809523,,,,,,,,,,,,,,flat(low pkr),1.2705625356639,1.3936928407187372,,,,,,,,,,,,,,,,,,,,,
t2_strat,,169.0,0.6132306163609883,,0.226270471064291,,-0.225712102706965,,,,,,,,,,C new_unseen,,,,,,,,,,,,,,,,,,,,,0.3590564210331217,,,,,,,,,,,,,,,,,,prev,,0.1775147928994082,,,,,,,,,,,,,,mid,1.393881532522519,1.6175803077179929,,,,,,,,,,,,,,,,,,,,,
t2_strat,,168.0,0.7011330908466525,,0.4753947472721009,,-0.4753947472721009,,,,,,,,,,C new_unseen,,,,,,,,,,,,,,,,,,,,,0.6818181818181819,,,,,,,,,,,,,,,,,,prev,,0.4047619047619047,,,,,,,,,,,,,,peaked(high pkr),1.624091381100727,3.4504131892434624,,,,,,,,,,,,,,,,,,,,,
t2_strat,,505.0,0.2741115959929103,,0.0419842317829711,,-0.0252440178623402,,,,,,,,,,B legacy_val,,,,,,,,,,,,,,,,,,,,,0.2706710358978048,,,,,,,,,,,,,,,,,,champ,,0.1564356435643564,,,,,,,,,,,,,,flat(low pkr),1.3662317728319264,1.521436531466179,,,,,,,,,,,,,,,,,,,,,
t2_strat,,505.0,0.432265083285605,,0.1009949987699264,,-0.0895881375912558,,,,,,,,,,B legacy_val,,,,,,,,,,,,,,,,,,,,,0.426800987677333,,,,,,,,,,,,,,,,,,champ,,0.2039603960396039,,,,,,,,,,,,,,mid,1.5228036485837737,1.6554238189181505,,,,,,,,,,,,,,,,,,,,,
t2_strat,,505.0,0.7073052305129144,,0.1384018554492291,,-0.0073751524763628,,,,,,,,,,B legacy_val,,,,,,,,,,,,,,,,,,,,,0.7091132593668674,,,,,,,,,,,,,,,,,,champ,,0.594059405940594,,,,,,,,,,,,,,peaked(high pkr),1.6554880427151142,3.0503843174157645,,,,,,,,,,,,,,,,,,,,,
t2_strat,,505.0,0.3153977770647065,,0.0670160224331307,,-0.0619998265757963,,,,,,,,,,B legacy_val,,,,,,,,,,,,,,,,,,,,,0.312089527210434,,,,,,,,,,,,,,,,,,prev,,0.1702970297029703,,,,,,,,,,,,,,flat(low pkr),1.3662317728319264,1.521436531466179,,,,,,,,,,,,,,,,,,,,,
t2_strat,,505.0,0.4231610517381842,,0.1386921710321629,,-0.1292657026231237,,,,,,,,,,B legacy_val,,,,,,,,,,,,,,,,,,,,,0.3999999999999999,,,,,,,,,,,,,,,,,,prev,,0.2118811881188118,,,,,,,,,,,,,,mid,1.5228036485837737,1.6554238189181505,,,,,,,,,,,,,,,,,,,,,
t2_strat,,505.0,0.6885651760996269,,0.1539189927318548,,-0.0201533490288854,,,,,,,,,,B legacy_val,,,,,,,,,,,,,,,,,,,,,0.702045344362954,,,,,,,,,,,,,,,,,,prev,,0.6039603960396039,,,,,,,,,,,,,,peaked(high pkr),1.6554880427151142,3.0503843174157645,,,,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,C new_unseen,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,champ,,,,,,,,,,,pkr,,,,,,,,0.6125,0.625,0.3833071895424836,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,C new_unseen,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,champ,,,,,,,,,,,peak,,,,,,,,0.6125,0.625,0.3833071895424836,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,C new_unseen,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,champ,,,,,,,,,,,cov,,,,,,,,0.7125,0.75,0.3833071895424836,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,C new_unseen,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prev,,,,,,,,,,,pkr,,,,,,,,0.5875,0.625,0.3833071895424836,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,C new_unseen,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prev,,,,,,,,,,,peak,,,,,,,,0.5875,0.625,0.3833071895424836,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,C new_unseen,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prev,,,,,,,,,,,cov,,,,,,,,0.675,0.75,0.3833071895424836,,,,,,,,,,,,,,,,,,
