path,fold,cell,n_rows,n_cyclen,rho_cyclen,mae_cyclen,bias_cyclen,prev_rho_cyclen,n_F_r,rho_F_r,mae_F_r,bias_F_r,prev_rho_F_r,n_F_q,rho_F_q,mae_F_q,bias_F_q,prev_rho_F_q,n_CBC_max,rho_CBC_max,mae_CBC_max,bias_CBC_max,prev_rho_CBC_max,n_AO_abs,rho_AO_abs,mae_AO_abs,bias_AO_abs,prev_rho_AO_abs,n_max_assembly_burnup,rho_max_assembly_burnup,mae_max_assembly_burnup,bias_max_assembly_burnup,prev_rho_max_assembly_burnup,n_max_pin_burnup,rho_max_pin_burnup,mae_max_pin_burnup,bias_max_pin_burnup,prev_rho_max_pin_burnup,n_node_peak,rho_node_peak,mae_node_peak,bias_node_peak,prev_rho_node_peak
row_provenance_raw,legacy_val_raw,ebin5.35_f121,2432,2432,0.9129006718872303,1.487717573033574,0.03133808935568272,0.9129006718872303,2432,0.910170307655787,0.0739709017873076,0.039933248883207366,0.9097600083016265,2432,0.9162910981846263,0.11584935471913066,0.059576182230276324,0.9164538044625029,0,,,,,2432,0.8578600803165725,0.0031136543593342863,0.00038181326736491666,0.8579367159035048,2432,0.8370111594735944,0.864967997749574,0.4092019379559356,0.8384438320525291,2432,0.8449947044037095,6.006330517538266,6.006330517538266,0.861419973841311,0,,,,
row_provenance_raw,legacy_val_raw,ebin5.45_f121,1163,1163,0.8392082476372931,1.7039228636891355,-0.5994349915284657,0.8392082476372931,1163,0.8784095796052014,0.060430539884326645,0.028523863953343432,0.8782216004200046,1163,0.884241087288855,0.07863531054664344,0.03216399192604459,0.8855076989825962,1163,0.7423024245243267,53.5248698501961,-37.63279679063363,0.7316492767711272,1163,0.9068527933845386,0.005337710809048988,-0.004354956313167282,0.9069041570186529,1163,0.36028401716705094,1.1819689993347948,-0.5810602243332881,0.3557260592988748,1163,0.33699412615374186,6.5737203364734835,6.5737203364734835,0.33075157073191386,1163,0.7746987988302411,0.08406402229304549,-0.07190311317014404,0.7656013055744112
row_provenance_raw,legacy_val_raw,ebin5.4_f121,1916,1916,0.8999136666822518,1.8072324730880682,-0.09297342581380395,0.8999136666822518,1916,0.891649171327262,0.07144302497547522,0.019435652502696216,0.8911553575353468,1916,0.8940212437082491,0.10624372021213188,0.02294336546315403,0.8936908451167637,29,0.8527093596059112,84.44161256125582,-69.53047200369754,0.8527093596059112,1916,0.8783971007625357,0.003694902848269657,-0.0008397673673863591,0.8781598558817572,1916,0.7880846539620909,0.8181207943150294,0.17557451048600062,0.7882877461946426,1916,0.7431118164563527,5.531104846218604,5.531104846218604,0.7564848401657792,29,0.9434659512381266,0.12177604180820141,-0.10518318746969163,0.9343515282104996
row_provenance_raw,legacy_val_raw,ebin5.5_f121,38,38,0.6194331983805668,3.983034533152067,-1.3119597705882329,0.6194331983805668,38,0.9017397964766386,0.13770638089005618,-0.02480282323712359,0.903271692745377,38,0.8916730495677864,0.204639504798744,-0.03622248916666286,0.8910165225954699,38,0.671736513841777,55.741598847359526,3.4921893601655976,0.671736513841777,38,0.6399299675825588,0.004983165086879887,-0.0019034851416208183,0.6316135042555625,38,0.7347631031841558,1.0403860151624769,0.31750303073965397,0.7352007878323668,38,0.7575227048911259,6.624124061501052,6.624124061501052,0.7597111281321807,38,0.8594408285556459,0.17635524470502006,-0.14161980359350043,0.8414947761131801
row_provenance_raw,legacy_val_raw,ebin5.6_f121,282,282,0.893707960766089,1.3289972689563905,1.0281433817962866,0.893707960766089,282,0.6184659205686796,0.11054068778059607,0.09086966311620026,0.6094105887320327,282,0.6881139753989316,0.14427276991509583,0.09821899418584076,0.6709804222173691,282,0.4279842646804867,20.654783437519978,1.1775426803027833,0.4271711714990449,282,0.14419847932707291,0.0019092933813662047,0.00031554148985028796,0.16345214940363076,282,0.7258875785783054,0.7409891164020355,0.039974351378423346,0.7390974966253883,282,0.39837504524985556,8.837254983196733,8.837254983196733,0.5192810537082675,282,0.31496544196193016,0.11819434927666315,0.10486991343407057,0.27412812551559473
served_predict,curr_val,5-5.25_f101,60,60,0.6576271186440679,3.875021287478277,0.975243884706534,0.6576271186440679,60,0.8459689632514553,0.12216586896320644,-0.035641815939584716,0.8518039984706239,60,0.8853570436232288,0.3516496702797372,-0.3510812558254529,0.8904695748819117,60,0.8998610725201446,34.53457359831664,18.168128620583392,0.8951375382050571,60,0.8271416269274386,0.008166120369979078,-0.0036019009001002607,0.8310039181845911,60,0.40672409002500703,2.650162700897349,-1.7352660005576785,0.40066685190330653,28,0.5517241379310345,2.699176496077134,-2.2810752151539972,0.5429666119321293,0,,,,
served_predict,curr_val,5-5.25_f109,60,60,0.7683801055848849,4.056316633662044,0.4009964423637314,0.7683801055848849,60,0.9344392115268488,0.13484532622847997,-0.044100268129748925,0.9374956585464135,60,0.935815504306752,0.35879770927343546,-0.35879770927343546,0.9378716310086138,60,0.9367046401778274,28.922971765399033,17.19893901464,0.9333703806612949,60,0.8287782643894851,0.007003495336824817,-0.00308738492156612,0.8310291710222489,60,0.17054737427063077,2.3905422613058227,-1.0251330874081066,0.16765768268963605,32,0.24926686217008792,2.6561120418694837,-1.256529110120376,0.281524926686217,0,,,,
served_predict,curr_val,5-5.25_f117,66,66,0.7213234526667364,4.097652638315636,0.8810274003065554,0.7213234526667364,66,0.8757958459450997,0.1108449294025079,-0.033589504793196584,0.8854399332011272,66,0.8980064711407998,0.398846466574181,-0.3966600035975216,0.8980482204362804,66,0.9586681974741678,20.341910783243822,-0.7476725450276469,0.9575409664961906,66,0.8146640415295076,0.0071115768298706744,-0.004285899822274208,0.8124719518272729,66,0.2511011376683019,6.075289058944195,-5.204804008221051,0.2429182757540967,63,0.31264400921658986,7.009523091572343,-6.1116056701786245,0.30952380952380953,0,,,,
served_predict,curr_val,5-5.25_f125,59,59,0.8037989479836355,3.8185208371027293,-0.2014840053646047,0.8037989479836355,59,0.8736246877713366,0.14034768114668275,0.00701159703342886,0.8756118588289867,59,0.8608416130917593,0.3482200658306937,-0.3310064872427562,0.8632378725891293,59,0.9801285797779078,19.31758468530257,-11.528689820779938,0.9811221507890123,59,0.8795441262419639,0.005168318985969674,-0.0015703390175559474,0.878375219170076,59,0.7374634716540035,1.0211873065071555,-0.21940912866072773,0.7357685563997663,26,0.7052991452991453,1.412053115915815,-0.3803274482638382,0.6875213675213674,0,,,,
served_predict,curr_val,5-5.25_f133,32,32,0.8339442815249266,3.734547748960612,0.7931355135629907,0.8339442815249266,32,0.9431818181818182,0.1505731917294506,-0.009667544954549884,0.9417155425219942,32,0.9420821114369501,0.405342303699707,-0.34846359199223753,0.9373167155425218,32,0.9461143695014661,24.158695569354883,-4.651382647619904,0.9435483870967741,32,0.8405425219941348,0.007169986272386094,-0.004606142506645794,0.8434750733137828,32,0.8163489736070382,1.2111685847186975,-0.6101927776690046,0.814516129032258,31,0.8294354838709679,1.6697427440405381,-1.3203433648328586,0.8358870967741936,0,,,,
served_predict,curr_val,5-5.25_f141,30,30,0.7116796440489432,5.943702788524191,2.1172095085445486,0.7116796440489432,30,0.8843159065628475,0.13556402953980332,0.019789640353537905,0.89321468298109,30,0.868298109010011,0.3236110106864191,-0.2826407387815165,0.8665183537263625,30,0.9492769744160177,27.267816268921585,-1.7588838816484744,0.9537263626251389,30,0.903448275862069,0.009023327870198616,-0.008104765027646257,0.8976640711902113,30,0.7272525027808675,1.2192666475441096,-0.7490341520558412,0.7374860956618465,25,0.7292307692307693,1.7715620374510304,-1.136358584635696,0.7076923076923076,0,,,,
served_predict,curr_val,5.25-5.5_f101,30,30,0.8086763070077864,4.894878204783416,0.6853603678692821,0.8086763070077864,30,0.7543937708565073,0.09763545347531358,0.032775399626255045,0.75706340378198,30,0.8955389976430137,0.18917183107924598,-0.17074514914540243,0.8950940093212035,30,0.8273637374860956,36.24215054744312,27.425775519750278,0.8242491657397107,30,0.8788519355751314,0.004700873950738321,0.001526889111132214,0.882411842149613,30,0.4616240266963292,2.2687490347292223,-1.6244331000985743,0.46696329254727476,0,,,,,0,,,,
served_predict,curr_val,5.25-5.5_f109,33,33,0.8509358288770055,4.750275244579053,0.7607547053724402,0.8509358288770055,33,0.8997326203208557,0.1683132556548393,-0.08505165858874521,0.9017379679144386,33,0.9124331550802139,0.3342766621407158,-0.31659682361417263,0.911096256684492,33,0.8315508021390374,31.291532954243827,23.43172713356589,0.8332219251336899,33,0.8739973262032086,0.004718727868248084,-0.001981839975306115,0.8739973262032086,33,0.18181818181818182,3.0714648287051807,-1.1577368188468207,0.1861631016042781,31,0.28225806451612906,4.084568627273533,-1.3145486096904064,0.26411290322580644,0,,,,
served_predict,curr_val,5.25-5.5_f117,33,33,0.9749331550802139,2.2427018192363346,0.3853064265854541,0.9749331550802139,33,0.877673796791444,0.08773547467233679,-0.059886994833031795,0.8706550802139038,33,0.9438502673796793,0.281440007621072,-0.281440007621072,0.9438502673796793,33,0.9491978609625669,21.29429575666925,12.039133427237816,0.9505347593582889,33,0.9737589973887937,0.003203941936180236,8.631282832053401e-05,0.9737589973887937,33,0.5274064171122995,6.549460251521462,-5.605251774322999,0.5401069518716578,29,0.3911330049261083,8.242698335853397,-6.570512700846088,0.38916256157635454,0,,,,
served_predict,curr_val,5.25-5.5_f125,30,30,0.8620689655172413,3.183249398678398,-0.9291293355093028,0.8620689655172413,30,0.867853170189099,0.07883503526778872,0.023032747109615618,0.8776418242491658,30,0.9120035655499907,0.20707037796326563,-0.20707037796326563,0.9053287407228379,30,0.9319243604004448,12.255338018323346,-4.212883410998832,0.9296996662958843,30,0.8895316552985761,0.004359369017185691,-0.000860543717030413,0.8788519355751314,30,0.8020022246941045,1.041929995951039,-0.455812412949827,0.8020022246941045,30,0.7116796440489432,1.8854780571732013,-1.0457967672623474,0.7050055617352614,0,,,,
served_predict,curr_val,5.25-5.5_f133,30,30,0.8994438264738599,4.872910120645653,0.14807559133874218,0.8994438264738599,30,0.9127919911012237,0.11352283486479078,-0.02685048219453002,0.9181312569521689,30,0.9541713014460511,0.3018588043667982,-0.30177927996168935,0.9523915461624026,30,0.9448275862068966,20.104336588577304,-0.9182137074818078,0.9470522803114572,30,0.8210948133855285,0.006449954799117522,-0.0030458345538752697,0.8210948133855285,30,0.764182424916574,1.3805917888879955,-0.22629397295094786,0.7686318131256953,0,,,,,0,,,,
served_predict,curr_val,5.25-5.5_f141,30,30,0.8803114571746384,5.806363131295283,1.9292153068801137,0.8803114571746384,30,0.921245828698554,0.10413348494376794,-0.01926404267465133,0.921245828698554,30,0.9292547274749722,0.33529508447688544,-0.32722731103250674,0.9261401557285873,30,0.921245828698554,19.401126124369018,-6.715693737647197,0.9274749721913237,30,0.892769744160178,0.0056207281314261705,-0.0032955320493542905,0.89321468298109,30,0.8131256952169076,1.2131774729279134,-0.6857752998404355,0.8131256952169076,0,,,,,0,,,,
served_predict,curr_val,5.5-5.75_f101,60,60,0.7174770769658241,4.557148107476952,1.7909085053246125,0.7174770769658241,60,0.8444012225618229,0.15361195343815087,-0.008999714801632837,0.8527368713531538,60,0.8397332592386775,0.35854112875813954,-0.2966906763127176,0.8434565156988054,60,0.7345929424840235,43.26153546570474,31.408795066329038,0.7276465684912476,60,0.8518039984706239,0.00628703651787669,-0.0018956696476431396,0.8482196196931344,60,0.32251073232804445,3.313497756031165,-2.4793753994182173,0.3375706803698985,0,,,,,0,,,,
served_predict,curr_val,5.5-5.75_f109,60,60,0.6631286468463463,4.6934554008413345,0.6371527808509067,0.6631286468463463,60,0.9213114754098362,0.1319133235828151,-0.022448708648932673,0.9225340372325648,60,0.922311753264796,0.31375103559948303,-0.2939058839345714,0.9249791608780218,60,0.825562656293415,34.2422087625297,24.979300646768326,0.8282300639066409,60,0.7949483869805654,0.005466674748112555,-0.002656189445417345,0.7925309480743712,60,0.4050013892747986,3.5058009315753846,-1.4591202001097012,0.40683523200889143,29,0.5054187192118226,4.354440108892904,-2.3725707582235334,0.5270935960591132,0,,,,
served_predict,curr_val,5.5-5.75_f117,30,30,0.8580645161290322,2.77338019801914,0.07409397332905883,0.8580645161290322,30,0.9622872459145427,0.10275681296426116,-0.028883652259962433,0.9665146349717396,30,0.9403781979977753,0.33512772318436906,-0.33512772318436906,0.9412680756395997,30,0.9519466073414905,23.870042876292352,21.514990566938163,0.9563959955506117,30,0.7869618471213266,0.0054783977683322115,-0.0017483525268884436,0.7891867887303775,30,-0.09988876529477196,5.586291087692301,-3.4496676400864,-0.10478309232480533,30,-0.020244716351501667,6.651840139163368,-5.100093606055122,-0.018020022246941044,0,,,,
served_predict,curr_val,5.5-5.75_f125,60,60,0.7642678521811616,3.174987503518959,0.1593293711193591,0.7642678521811616,60,0.9320922478466241,0.10123419539593656,0.009282476195730723,0.9315365379272021,60,0.9268130036121146,0.28586633148266594,-0.2841079667618394,0.9254237288135595,60,0.9366490691858851,17.134969111142183,-1.715647330446499,0.9347596554598503,60,0.8642294525926382,0.0053581828108708145,-0.0016023727124925636,0.868286867863026,60,0.8141706029452627,1.3674933937769216,-0.7360855664785384,0.8178382884134484,0,,,,,0,,,,
served_predict,curr_val,5.5-5.75_f133,30,30,0.9283648498331479,3.401603436421351,0.05944041839772277,0.9283648498331479,30,0.9479421579532814,0.09516431101612903,-0.04225213792814234,0.9488320355951056,30,0.9497219132369298,0.3735469925300183,-0.3735469925300183,0.9546162402669631,30,0.9292547274749722,16.376241163157655,-1.4973085002706361,0.9283648498331479,30,0.8193548387096774,0.004984385122250598,-0.002423796234218631,0.8193548387096774,30,0.7592880978865406,1.310234098322664,-0.6173223098444528,0.7632925472747497,0,,,,,0,,,,
served_predict,curr_val,5.5-5.75_f141,30,30,0.8375973303670745,3.5280624689328874,-0.37873235792908794,0.8375973303670745,30,0.9261401557285873,0.12729095414569563,-0.043765268367010654,0.9288097886540599,30,0.9301446051167965,0.4207799151877597,-0.4207799151877597,0.9283648498331479,30,0.8949944382647386,21.535991362146728,1.6761610095684092,0.8949944382647386,30,0.8994438264738599,0.006106960931665759,-0.004108964240574654,0.9007786429365963,30,0.8660734149054505,1.5299496879051897,-1.0592261141420403,0.8647385984427142,0,,,,,0,,,,
