digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
4cd70e2fccac2062,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\4cd70e2fccac2062__MAS_RST.APRQ_11_0615.8-a99c67e0b4-5sr6ohwh,final,1.6679,1.4917,25,1,,592.829
50392d9369cc9fb4,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\50392d9369cc9fb4__MAS_RST.APRQ_11_0615.8-b32f0d0ef4-yxtd12v3,final,1.7371,1.4913,25,1,,593.103
54cc5199ed6cd8f6,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\54cc5199ed6cd8f6__MAS_RST.APRQ_11_0615.8-7aafb84791-406mqar3,final,1.7929,1.5081,25,1,,593.314
621fd90015a69a3f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\621fd90015a69a3f__MAS_RST.APRQ_11_0615.8-c21b939994-ozt5vore,final,1.7075,1.4908,25,1,,592.329
69a8631358ab96e1,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\69a8631358ab96e1__MAS_RST.APRQ_11_0615.8-5a97e43363-opjoxtpi,final,1.7144,1.4793,25,1,,593.841
763ecd2ea97eab4c,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\763ecd2ea97eab4c__MAS_RST.APRQ_11_0615.8-4b37e37478-qpjf3v20,final,1.7395,1.486,25,1,,593.298
88339eb6e381dd9c,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\88339eb6e381dd9c__MAS_RST.APRQ_11_0615.8-00f795022e-3o6kajhy,final,1.7571,1.4966,25,1,,592.902
a38b7bf9d72b41fd,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\a38b7bf9d72b41fd__MAS_RST.APRQ_11_0615.8-39751d0b77-5nx30ptp,final,1.7856,1.5997,25,1,,593.594
b32d37075cdbabec,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\b32d37075cdbabec__MAS_RST.APRQ_11_0615.8-619cb01173-k0c61k63,final,1.7073,1.46,25,1,,593.277
b6734d0d16b15bec,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\b6734d0d16b15bec__MAS_RST.APRQ_11_0615.8-466d29fee5-53y9vj7x,final,1.7618,1.515,25,1,,592.869
d94b5fedbfb8b59f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\d94b5fedbfb8b59f__MAS_RST.APRQ_11_0615.8-58889a6e68-d42y3uh1,final,1.7011,1.474,25,1,,593.737
ddcbcedf3cb8aa86,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\ddcbcedf3cb8aa86__MAS_RST.APRQ_11_0615.8-b965c541d0-7k4m5_tz,final,1.6987,1.4652,25,1,,593.095
e4629fb7537413c0,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\e4629fb7537413c0__MAS_RST.APRQ_11_0615.8-c6e4e39ec6-n05w2vx2,final,1.707,1.4681,25,1,,593.377
ebb9d368f718774a,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\ebb9d368f718774a__MAS_RST.APRQ_11_0615.8-b0ec78c9c3-1m3nqlo6,final,1.7646,1.5085,25,1,,593.826
eefae0e039b370f5,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\eefae0e039b370f5__MAS_RST.APRQ_11_0615.8-abfefc5930-08c1gr29,final,1.7669,1.5008,25,1,,592.691
f3a27ce47433ce69,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\f3a27ce47433ce69__MAS_RST.APRQ_11_0615.8-de90adb908-mbo1tjyb,final,1.7204,1.4785,25,1,,593.599
fa9bf27872ab1de3,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_01\fa9bf27872ab1de3__MAS_RST.APRQ_11_0615.8-cbecaa7705-n7586mhw,final,1.6967,1.4613,25,1,,593.268
07efb1f19fa1609a,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\07efb1f19fa1609a__MAS_RST.APRQ_11_0615.8-b9dfc579ad-b7k0gd3x,final,1.8749,1.6647,25,1,,592.803
181e93f5c1a8fc5f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\181e93f5c1a8fc5f__MAS_RST.APRQ_11_0615.8-592f0461d8-2p6z4rpj,final,1.867,1.663,25,1,,592.993
1b9d7fcb6cf15a23,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\1b9d7fcb6cf15a23__MAS_RST.APRQ_11_0615.8-5cea027986-_wofrfik,final,1.6376,1.468,25,1,,593.267
35900fd066b6114c,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\35900fd066b6114c__MAS_RST.APRQ_11_0615.8-9d797f7620-2245hoj2,final,1.6258,1.457,25,1,,594.757
46410d673733a424,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\46410d673733a424__MAS_RST.APRQ_11_0615.8-609a4111f8-mfjq_zdj,final,1.8511,1.6503,25,1,,593.086
724dac57094c3f23,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\724dac57094c3f23__MAS_RST.APRQ_11_0615.8-ccf64aa3eb-ffyyjjjf,final,1.723,1.5299,25,1,,593.808
72fb633345f9d8c5,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\72fb633345f9d8c5__MAS_RST.APRQ_11_0615.8-b08bb75e04-11rc2q5w,final,1.6337,1.4668,25,1,,592.702
73b4fe619ef05a0f,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\73b4fe619ef05a0f__MAS_RST.APRQ_11_0615.8-c5843356ac-m6e0ac_i,final,1.7185,1.524,25,1,,594.551
73cfe7d53fe47ca5,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\73cfe7d53fe47ca5__MAS_RST.APRQ_11_0615.8-2dc5a73fca-jxkdumz2,final,1.8592,1.6569,25,1,,592.965
8edcf9e66d1e3d93,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\8edcf9e66d1e3d93__MAS_RST.APRQ_11_0615.8-fda779fe88-ykyn36_r,final,1.7138,1.5147,25,1,,593.574
939e1c37c8ca2ed8,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\939e1c37c8ca2ed8__MAS_RST.APRQ_11_0615.8-77124bf050-087vv44p,final,1.6804,1.5129,25,1,,592.419
a84f1783681b74a4,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\a84f1783681b74a4__MAS_RST.APRQ_11_0615.8-7cdfae54c4-qepif7sq,final,1.6863,1.5175,25,1,,592.095
b081e3e794aac1df,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\b081e3e794aac1df__MAS_RST.APRQ_11_0615.8-fda586b85c-qn4wtkcj,final,1.6264,1.4591,25,1,,592.605
d3c1f0f799a969d6,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\d3c1f0f799a969d6__MAS_RST.APRQ_11_0615.8-3af7d1ebe1-fdqntvwe,final,1.673,1.5067,25,1,,592.414
dbaf8b0fe40554fc,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\dbaf8b0fe40554fc__MAS_RST.APRQ_11_0615.8-b3272ae7d9-7963k4ju,final,1.8844,1.6775,25,1,,593.194
eb3937ac2334e5a1,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\eb3937ac2334e5a1__MAS_RST.APRQ_11_0615.8-6d6807239b-fmec3ojd,final,1.6818,1.4888,25,1,,593.82
eb56160c4cdf07fe,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\eb56160c4cdf07fe__MAS_RST.APRQ_11_0615.8-29971a3ea3-co6dsy22,final,1.7309,1.5298,25,1,,593.478
ebae30a861e05b48,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\ebae30a861e05b48__MAS_RST.APRQ_11_0615.8-8badf10444-if6ljoxh,final,1.6869,1.518,25,1,,592.471
ed09c6113b695ac9,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\ed09c6113b695ac9__MAS_RST.APRQ_11_0615.8-7c5d6e0d47-zv9jg2hf,final,1.6893,1.5194,25,1,,591.949
f3cee621a222ac69,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_02\f3cee621a222ac69__MAS_RST.APRQ_11_0615.8-bce3a369bb-x3ksph4k,final,1.8256,1.6235,25,1,,593.624
0312bbc1f74f21a6,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_03\0312bbc1f74f21a6__MAS_RST.APRQ_11_0615.8-89734e8385-ovre11sw,final,1.7925,1.6401,25,1,,593.337
0dbd8261b1886248,C:\Users\USER\lpopt_work\kit_frontier\runs\intervention_wave_r1\intervention_E1E2_f109\master_work\worker_03\0dbd8261b1886248__MAS_RST.APRQ_11_0615.8-e144adfa36-950rwrhx,final,1.8396,1.6499,25,1,,593.497
