slot,row,col,orbit_class,multiplicity,radius,periphery,diagonal_slot,mean_power,mean_abs_d,sigma,max_abs_d
0,0,0,center,1,0.0,False,True,1.4822181896729902,0.007490911267020486,0.007197477231359069,0.02779996395111084
1,0,1,horizontal_axis,2,1.0,False,False,1.363681823015213,0.003990899432789196,0.004020096249036128,0.014799952507019043
2,0,2,horizontal_axis,2,2.0,False,False,1.3989408991553567,0.0017590766603296454,0.0017743439747205912,0.0062999725341796875
3,0,3,horizontal_axis,2,3.0,False,False,1.4276409094983882,0.0018681667067787864,0.0018264313647041689,0.007299900054931641
4,0,4,horizontal_axis,2,4.0,False,False,1.3684045401486484,0.0017772750421003861,0.0016599477331299842,0.0051000118255615234
5,0,5,horizontal_axis,2,5.0,False,False,1.240004536780444,0.0018590878356586802,0.0017704359095798991,0.0054999589920043945
6,0,6,horizontal_axis,2,6.0,False,False,1.1552909043702213,0.002249996770511974,0.0020042105001007978,0.0060999393463134766
7,0,7,horizontal_axis,2,7.0,False,False,0.9010090855034915,0.003027265722101385,0.0028468964343256998,0.009999990463256836
8,0,8,horizontal_axis,2,8.0,True,False,0.48991818861527875,0.0022090957923368974,0.002679864770799673,0.012799978256225586
9,1,0,vertical_axis,2,1.0,False,False,1.363681823015213,0.003990899432789196,0.004020096249036128,0.014799952507019043
10,1,1,interior,4,1.4142135623730951,False,True,1.3679818240079014,0.0028363601727919145,0.0026903613785959875,0.008599996566772461
11,1,2,interior,4,2.23606797749979,False,False,1.3537954579700122,0.0023590922355651855,0.0023517781197275826,0.009299993515014648
12,1,3,interior,4,3.1622776601683795,False,False,1.339113641868938,0.00246363336389715,0.0024076882404482393,0.011899948120117188
13,1,4,interior,4,4.123105625617661,False,False,1.3444500077854504,0.0037090751257809725,0.0031059002522149564,0.009799957275390625
14,1,5,interior,4,5.0990195135927845,False,False,1.2727272673086687,0.0038681897250088778,0.00353493708084871,0.014500021934509277
15,1,6,interior,4,6.082762530298219,False,False,1.164559077132832,0.004022725603797219,0.0036177687071432085,0.015900015830993652
16,1,7,interior,4,7.0710678118654755,False,False,0.8595727262171832,0.0032818236134269023,0.0028512816195739917,0.008599996566772461
17,1,8,interior,4,8.06225774829855,True,False,0.47315909510309045,0.0017545439980246804,0.0019342634954591352,0.009799987077713013
18,2,0,vertical_axis,2,2.0,False,False,1.3989408991553567,0.0017590766603296454,0.0017743439747205912,0.0062999725341796875
19,2,1,interior,4,2.23606797749979,False,False,1.424486366185275,0.0016227310354059393,0.0013739675314662432,0.003999948501586914
20,2,2,interior,4,2.8284271247461903,False,True,1.319145449183204,0.0011318434368480337,0.0011467162212482676,0.005399942398071289
21,2,3,interior,4,3.605551275463989,False,False,1.3147681843150745,0.001500015909021551,0.001465606021737432,0.0065000057220458984
22,2,4,interior,4,4.47213595499958,False,False,1.335854546590285,0.0020545233379710803,0.0016263988446824824,0.005300045013427734
23,2,5,interior,4,5.385164807134504,False,False,1.2921818115494468,0.002186363393610174,0.001923827901706487,0.0074999332427978516
24,2,6,interior,4,6.324555320336759,False,False,1.116381815888665,0.002136371352455833,0.0019459707692644837,0.007800102233886719
25,2,7,interior,4,7.280109889280518,False,False,0.8415500033985485,0.001768185333772139,0.0015939494655216853,0.005200028419494629
26,2,8,interior,4,8.246211251235321,True,False,0.43317272581837396,0.0009863620454614813,0.000939931059151286,0.0034999847412109375
27,3,0,vertical_axis,2,3.0,False,False,1.4276409094983882,0.0018681667067787864,0.0018264313647041689,0.007299900054931641
28,3,1,interior,4,3.1622776601683795,False,False,1.3915500099008733,0.0020590912212025037,0.0019068621116630335,0.006699919700622559
29,3,2,interior,4,3.605551275463989,False,False,1.3243136324665763,0.001281816851009022,0.0013058761024289168,0.005200028419494629
30,3,3,interior,4,4.242640687119285,False,True,1.2991999983787537,0.0010772862217643044,0.001039329711719277,0.003800034523010254
31,3,4,interior,4,5.0,False,False,1.202381814068014,0.0009545683860778809,0.0009743297215735879,0.003799915313720703
32,3,5,interior,4,5.830951894845301,False,False,1.0665681795640425,0.001272727142680775,0.0010428726219439334,0.0031000375747680664
33,3,6,interior,4,6.708203932499369,False,False,1.0059681832790375,0.0012818222696130927,0.0010781857110725565,0.0034999847412109375
34,3,7,interior,4,7.615773105863909,False,False,0.7132727232846346,0.0010636448860168457,0.000978316124219492,0.0034999847412109375
35,3,8,interior,4,8.54400374531753,True,False,0.3048818192698739,0.0005181797526099465,0.0004927622900184607,0.0018000006675720215
36,4,0,vertical_axis,2,4.0,False,False,1.3684045401486484,0.0017772750421003861,0.0016599477331299842,0.0051000118255615234
37,4,1,interior,4,4.123105625617661,False,False,1.363231826912273,0.0035363598303361373,0.0034215675328458733,0.012799978256225586
38,4,2,interior,4,4.47213595499958,False,False,1.3586318276145242,0.0022590810602361507,0.002329949934437532,0.011899948120117188
39,4,3,interior,4,5.0,False,False,1.2767954685471274,0.0013227300210432572,0.0015867611801526056,0.008799910545349121
40,4,4,interior,4,5.656854249492381,False,True,1.2372454404830933,0.0008454539559104226,0.0007389267889018712,0.0020999908447265625
41,4,5,interior,4,6.4031242374328485,False,False,1.0883090983737598,0.000700002366846258,0.0006359029042153895,0.001799941062927246
42,4,6,interior,4,7.211102550927978,False,False,0.8724545511332426,0.000763624906539917,0.0006307718903075161,0.0017000436782836914
43,4,7,interior,4,8.06225774829855,True,False,0.5147227279164575,0.0005818158388137817,0.0005327351930658455,0.001699984073638916
44,5,0,vertical_axis,2,5.0,False,False,1.240004536780444,0.0018590878356586802,0.0017704359095798991,0.0054999589920043945
45,5,1,interior,4,5.0990195135927845,False,False,1.2763909047300166,0.00417726148258556,0.003683844431835315,0.014700055122375488
46,5,2,interior,4,5.385164807134504,False,False,1.2658909071575513,0.002927265383980491,0.002767542079115591,0.010699987411499023
47,5,3,interior,4,5.830951894845301,False,False,1.1375545371662488,0.001659084450114857,0.0016619435649090036,0.007500052452087402
48,5,4,interior,4,6.4031242374328485,False,False,1.1157818138599396,0.0009863674640655518,0.0007987448624730604,0.003300011157989502
49,5,5,interior,4,7.0710678118654755,False,True,0.9180909151380713,0.0006681924516504461,0.0005659667880655956,0.001900017261505127
50,5,6,interior,4,7.810249675906654,False,False,0.6703409105539322,0.0005363659425215287,0.0004714369946414588,0.0015000104904174805
51,5,7,interior,4,8.602325267042627,True,False,0.3150454569946636,0.0002590878443284468,0.00025038886348937,0.0009000003337860107
52,6,0,vertical_axis,2,6.0,False,False,1.1552909043702213,0.002249996770511974,0.0020042105001007978,0.0060999393463134766
53,6,1,interior,4,6.082762530298219,False,False,1.1008954508738085,0.0035818192091855135,0.0033973769263550505,0.01230001449584961
54,6,2,interior,4,6.324555320336759,False,False,1.121504545211792,0.0024136386134407735,0.002179262166130173,0.007599949836730957
55,6,3,interior,4,6.708203932499369,False,False,1.027300002900037,0.001518195325678045,0.001242501549623609,0.004900097846984863
56,6,4,interior,4,7.211102550927978,False,False,0.8991363563320853,0.001045446504246105,0.0007917818517558191,0.0030999183654785156
57,6,5,interior,4,7.810249675906654,False,False,0.6637863611633127,0.0005818063562566584,0.0004414078648439277,0.0015000104904174805
58,6,6,interior,4,8.48528137423857,True,True,0.3679909049109979,0.00031363828615708786,0.0002494399184639978,0.0007000267505645752
59,7,0,vertical_axis,2,7.0,False,False,0.9010090855034915,0.003027265722101385,0.0028468964343256998,0.009999990463256836
60,7,1,interior,4,7.0710678118654755,False,False,0.8730999989943071,0.0029363605109128084,0.0026118813652605153,0.008700013160705566
