cell,record_id,parent_record_id,status,failure,child_f_r,child_cyclen,child_cbc_max,child_f_q,child_node_peak,child_f_xy,child_f_xya,fxy_sane,fxy_reason,parent_record_id_plan,move_class,fresh_radial_dir,burn_state,dose,pair_id,pair_role,stratum,move_tag,swap_span,swap_radius,source,d_fresh_enr_r_center,d_fresh_enr_mass,parent_f_r,parent_node_peak,parent_cyclen,parent_cbc_max,parent_f_xy,converged,d_f_r,d_cyclen,d_node_peak,d_f_xy
T6T4_f121,790f47c7a80154957cf3ab5d5f6230f3cd81fbfcb296547a6874ac3dfc26b196,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.6599,619.928,1327.41,2.0839,1.409600019454956,1.8106,1.5979,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,fresh_relocate,outward,once,0.0230201785,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537:fresh_relocate:0,outward,fresh_relocate|outward,fr:13->58,,,paid,0.0230201785,0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,0.12259999999999982,-1.2530000000000427,0.044700026554955974,0.25570000000000004
T6T4_f121,33368ee61bb7789074697ed87bbc8c7b7d76371e79f39a0f8be578699fc07dcc,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.5661,621.499,1311.94,1.9508,1.3868999481201172,1.6358,1.4805,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,fresh_relocate,inward,once,0.0230731749,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537:fresh_relocate:0,inward,fresh_relocate|inward,fr:59->14,,,paid,-0.0230731749,-0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,0.028799999999999937,0.31799999999998363,0.021999955220117107,0.08089999999999997
T6T4_f121,5ef5a0440b8584a6951c0ebc4c75602ccfefaecc455812f05816b12cc5a13caf,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.6589,622.249,1372.29,2.058,1.4948999881744385,1.7544,1.5998,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,fresh_relocate,outward,once,0.0981483253,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537:fresh_relocate:1,outward,fresh_relocate|outward,fr:56->47,,,paid,0.0981483253,-0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,0.12159999999999993,1.0679999999999836,0.1299999952744384,0.1995
T6T4_f121,ba07b629c85622b25bb6cf07fb2106f04b8f2f88f3f4602c385e1dc0a26e4f53,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.5359,621.39,1338.34,1.9173,1.3494000434875488,1.6134,1.4572,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,fresh_relocate,inward,once,0.0980093729,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537:fresh_relocate:1,inward,fresh_relocate|inward,fr:11->0,,,paid,-0.0980093729,-0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,-0.0014000000000000679,0.20899999999994634,-0.015499949412451253,0.058499999999999996
T6T4_f121,046c0f89e37bc6224a85a95e94d36c561c11b860c0c468d56c6dfc8a517bc3a9,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.5363,621.24,1334.66,1.9216,1.3639999628067017,1.554,1.4042,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,rewire_swap,neutral,once,0.0,,neutral,rewire_swap|neutral,rw:23<->28,2.1408795079,7.4735639914,paid,0.0,0.0,1.5373,1.3648999929,621.181,1333.86,1.5549,True,-0.001000000000000112,0.05899999999996908,-0.0009000300932984207,-0.0008999999999999009
T6T4_f121,cc14383c0253d3889bf38c30b56b69165168a8918779450f863ff34e9b692a88,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,converged,,1.512,623.115,1349.9,1.8896,1.3432999849319458,1.5518,1.3804,True,,2c7e231c67adfe0f9242c75a6914668228bd529cd987a0cb2b2cda958eca1537,batch_flip,outward,fresh,0.0034367303,,random_outward,batch_flip|outward,bf:59=T6,,,paid,0.0034367303,1.2016826154,1.5373,1.3648999929,621.181,1333.86,1.5549,True,-0.0253000000000001,1.933999999999969,-0.02160000796805428,-0.0030999999999998806
T6T4_f121,382fa53ff090f2c454a4d090e488abe5e3c8d241462b423d1af0722e2ca63683,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.5173,616.289,1250.9,1.9168,1.3380999565124512,1.5996,1.4066,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,batch_swap,outward,fresh,0.0018939326,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09:batch_swap:0,outward,batch_swap|outward,bs:44<->59,,,paid,0.0018939326,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,-0.0012999999999998568,0.1290000000000191,-0.0020000934875488152,0.03479999999999994
T6T4_f121,78ad5dd91278b98104e8462c1be4e516bcd4c2ee1a0aa2d8440bfee130589c7d,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.6136,616.219,1269.88,2.0473,1.431399941444397,1.7341,1.5696,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,batch_swap,inward,fresh,0.0018503771,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09:batch_swap:0,inward,batch_swap|inward,bs:21<->46,,,paid,-0.0018503771,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,0.09499999999999997,0.059000000000082764,0.09129989144439699,0.1693
T6T4_f121,6cac0b6d15963f59052550063b0e445e4963d95d999f270ce698a9c5d6795647,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.5437,616.02,1259.12,1.9702,1.3406000137329102,1.6342,1.4322,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,fresh_relocate,outward,once,0.0224778733,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09:fresh_relocate:0,outward,fresh_relocate|outward,fr:19->27,,,paid,0.0224778733,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,0.025100000000000122,-0.13999999999998636,0.0004999637329101692,0.06940000000000013
T6T4_f121,b96de0908ff882c1759c729fc17d1e124254c3a66ab46c2dcb76877744331511,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.8292,613.568,1250.46,2.3375,1.4860999584197998,2.0201,1.7924,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,fresh_relocate,inward,once,0.0228573554,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09:fresh_relocate:0,inward,fresh_relocate|inward,fr:44->28,,,paid,-0.0228573554,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,0.3106,-2.5919999999999845,0.14599990841979982,0.4552999999999998
