cell,n,rho,mae,bias,std_true,fold,rho_prior,mae_prior,rho_precal,mae_precal,cell_fitted
5-5.25_f133,14,0.4637362637362636,7.071657582953654,-2.8587527550984,8.734195745698385,C new_unseen,0.0396039843612502,9.721792321180969,0.4637362637362636,7.53391152977509,True
5-5.25_f141,150,0.6918156362505001,5.706965374987973,-0.3786538069964824,10.742013330361516,C new_unseen,0.1240018849758258,22.28364975429137,0.6954317969687541,6.043349713284791,True
5.75-6_f109,68,0.8763598885368553,9.104346620644243,8.921501622504756,12.143994488546188,C new_unseen,0.6298537830885675,42.516055371530335,0.8763598885368553,9.104346620644243,False
6-6.25_f109,253,0.6952512852889438,8.064212181472591,7.2944390576437295,8.775967125314311,C new_unseen,0.2555633966120586,32.456904219615694,0.6952512852889438,8.064212181472591,False
ebin5.00_f113,20,0.8466165413533834,9.076589915809809,9.076589915809809,3.626091703488105,C new_unseen,-0.1276932664782753,38.321848097514895,0.8466165413533834,9.076589915809809,False
ebin5.00_f117,66,0.6963156246738338,3.25998477895448,0.5225743630966098,6.022533224568013,C new_unseen,-0.1421537854610399,22.35889041922885,0.6963156246738338,4.535229641966952,True
ebin5.00_f121,83,0.8831913017925359,1.5169770541699577,0.3342389594947895,4.34107349135008,C new_unseen,0.0317676874481762,16.194673051889122,0.8831913017925359,1.849736204598938,True
ebin5.00_f125,53,0.8157555233026931,3.7045244907052544,0.2672277225379207,6.44267771505436,C new_unseen,-0.0977202123437015,9.80793892270897,0.8157555233026931,3.748220064939767,True
ebin5.05_f113,28,0.6185002736726873,5.756064236400659,5.49755993564524,5.791697224882266,C new_unseen,-0.1366421049986192,24.56806942931042,0.6185002736726873,5.756064236400659,False
ebin5.05_f117,71,0.8170020120724345,3.692316559029777,2.2357106910096207,7.615003391536912,C new_unseen,0.7549397418801613,14.668562311364152,0.8164989939637826,4.886890831635425,True
ebin5.05_f121,79,0.9380233690360272,2.095629254984708,1.0820775862344842,6.483609013528775,C new_unseen,0.7372569230322942,7.183474086633668,0.9376582278481014,2.2686274572052203,True
ebin5.05_f125,29,0.6187192118226599,2.909106544493468,-0.656507502176149,5.971323870054594,C new_unseen,0.3701675788590207,3.922450374010423,0.6187192118226599,2.925831641485819,True
ebin5.20_f113,38,0.665390086442718,7.459379296894206,7.382147491088738,9.528118981991817,C new_unseen,0.2103022814871116,14.67937646180175,0.665390086442718,7.459379296894206,False
ebin5.20_f117,96,0.772205642973413,3.9252863853905233,3.507967431760624,5.65676910807797,C new_unseen,-0.2643264815622845,7.255056987705069,0.772205642973413,4.636731992389933,True
ebin5.20_f121,85,0.8195622435020521,1.7757596564849456,-1.2207406981709816,3.85286479158572,C new_unseen,-0.1143316958358686,3.975200714281253,0.8195622435020521,1.3261045721826137,True
ebin5.20_f125,28,0.6562671045429667,3.5269351980682666,-2.1398538228749624,5.143409094664681,C new_unseen,0.1086578040187747,8.93902489259427,0.6562671045429667,3.5269351980682666,False
ebin5.25_f113,12,0.3286713286713286,7.477060927493814,7.015145726345708,4.453794380790788,C new_unseen,-0.0212026047822065,9.194494736222936,0.3286713286713286,7.477060927493814,False
ebin5.25_f117,54,0.3369925671812463,3.586688533986369,2.2439631143379746,6.572185873181179,C new_unseen,0.1865387251847726,6.368466058941199,0.3369925671812463,6.8740885481264025,True
ebin5.25_f121,46,0.7290163428923836,1.4517303808390436,-0.8055129668278976,4.197365975106947,C new_unseen,-0.212992286122931,6.367838556462862,0.7290163428923836,1.3694381569585912,True
ebin5.25_f125,30,0.8202447163515018,3.3528097389712457,-2.355324251104351,6.952742459328343,C new_unseen,0.172183157317996,11.497010828092264,0.8202447163515018,2.9422205347277783,True
ebin5.40_f113,12,0.8251748251748254,4.644595706040509,4.644595706040509,5.902857229958458,C new_unseen,-0.4553443512934062,4.991670350788279,0.8251748251748254,4.644595706040509,False
