fold,target,d_lo,d_hi,n_pairs,sign_hit,sd_dtrue,sd_derr,noise_to_signal,rho_delta
legacy_val,cbc_max,1,2,406,0.5024630541871922,0.26703452694178265,0.2300746159563322,0.8615912653366048,0.07421094123122163
legacy_val,cbc_max,3,4,1424,0.5210674157303371,0.4673285635726505,0.4061381852291151,0.8690634745804002,0.2939155070947412
legacy_val,cbc_max,5,8,6513,0.5243359434976201,0.608083189711923,0.5243819409541414,0.8623523061089146,0.26495773818005924
legacy_val,cbc_max,9,14,12555,0.48116288331342094,0.7145228591560451,0.6689913976432299,0.9362771100611191,0.2910428103961941
legacy_val,cbc_max,15,24,28418,0.49845168555141106,0.9774369779922469,0.9616553287724982,0.9838540493401775,0.4826343477012263
legacy_val,cbc_max,25,40,79723,0.5388407360485682,1.0585522331329218,0.9591670045647277,0.9061121166651827,0.6787912448421043
legacy_val,cbc_max,41,200,156008,0.5675734577713963,1.6898502156044288,1.5641625840772508,0.9256220282918851,0.6131494551587312
legacy_val,cyclen,1,2,582,0.5945017182130584,0.2714560682852469,0.22265259733424014,0.8202159514823448,0.4448856678686349
legacy_val,cyclen,3,4,1952,0.6039959016393442,0.3833982332317059,0.2961432706068362,0.7724168891197333,0.45088596236256495
legacy_val,cyclen,5,8,8745,0.6106346483704974,0.4889978247339645,0.3503531809302834,0.7164718598101951,0.49121966338023626
legacy_val,cyclen,9,14,16221,0.65415202515258,0.722455865445082,0.4126382529442844,0.5711604994584287,0.5809814329244041
legacy_val,cyclen,15,24,36971,0.6787482080549619,1.0072715410357218,0.46510434893117153,0.46174673857352344,0.5939334900194861
legacy_val,cyclen,25,40,107774,0.5624269304284892,0.866971691817172,0.628122992335937,0.7245023087425054,0.6979598871858227
legacy_val,cyclen,41,200,602024,0.6093162398841242,1.536652973862893,1.4523895170097507,0.9451642899949507,0.2777319982340887
legacy_val,f_q,1,2,582,0.5756013745704467,0.20315262522290456,0.17915547746570304,0.8818762606150367,0.33769972579534163
legacy_val,f_q,3,4,1952,0.6746926229508197,0.5508929380834846,0.3957768315857657,0.718427854534937,0.5401911108770147
legacy_val,f_q,5,8,8745,0.6861063464837049,0.7549244742999698,0.5106382643194861,0.676409735944769,0.5575426779139733
legacy_val,f_q,9,14,16221,0.6965045311633068,0.8791644231119566,0.5829076638160543,0.6630246271257775,0.5968760559284654
legacy_val,f_q,15,24,36971,0.6763138676259771,0.9857743565210728,0.7291570281837738,0.7396794442463128,0.6598597993498249
legacy_val,f_q,25,40,107774,0.6640933805927218,1.0595570646433488,0.7968661884170632,0.752074819759983,0.7040139433254325
legacy_val,f_q,41,200,602024,0.7468423185786613,1.5117779920155765,0.9263896803452608,0.6127815626619572,0.7926476567352718
legacy_val,f_r,1,2,582,0.5876288659793815,0.19672912887330335,0.16912843544949732,0.8597020503172089,0.3811107035259539
legacy_val,f_r,3,4,1952,0.6685450819672131,0.5503581304971507,0.3908979401962509,0.7102610437373645,0.5456417543144123
legacy_val,f_r,5,8,8745,0.6989136649514008,0.7761541319503898,0.5263670927967247,0.6781734079982569,0.5874622025626612
legacy_val,f_r,9,14,16221,0.6979224462117009,0.9115271768033438,0.6109973599629747,0.6703007606484052,0.6403635457190037
legacy_val,f_r,15,24,36971,0.6667117470449812,1.0189554825952951,0.7378115985127075,0.7240861952413172,0.7019145235560156
legacy_val,f_r,25,40,107774,0.6642789541076698,1.0799775407911918,0.7911424058641057,0.7325544985727338,0.7403632032810094
legacy_val,f_r,41,200,602024,0.7643083996651296,1.5071618635877047,0.8895372105718328,0.5902068198928183,0.7906128034886066
legacy_val,node_peak,1,2,406,0.5492610837438424,0.20004161166874396,0.17625103674210077,0.8810718693566674,0.33647443865937543
legacy_val,node_peak,3,4,1424,0.6495786516853933,0.5735919431873255,0.42010980142136806,0.7324192858897378,0.5104253175475101
legacy_val,node_peak,5,8,6513,0.6569937048978965,0.856519966111781,0.5868254723111255,0.685127604176061,0.47838542819601837
legacy_val,node_peak,9,14,12555,0.6287534846674632,0.9954938383686994,0.711697487857073,0.7149190285530254,0.6149342780594511
legacy_val,node_peak,15,24,28418,0.5547540291364628,1.116796367654935,0.8863928909121402,0.793692490935837,0.6895743504485637
legacy_val,node_peak,25,40,79723,0.5789295435445229,1.188192215089994,0.9755879345678504,0.8210691184287545,0.7669242966002809
legacy_val,node_peak,41,200,156008,0.5594648992359366,1.6120820230461148,1.4788721816827342,0.9173678265379615,0.6833254198000696
new_unseen,cbc_max,5,8,239,0.7489539748953975,0.24611077469999845,0.17575608185695896,0.7141340401337579,0.684711043192732
new_unseen,cbc_max,9,14,1635,0.7871559633027523,0.4163602830327917,0.2712900594701717,0.6515752595182221,0.744290528922653
new_unseen,cbc_max,15,24,5893,0.770066180213813,0.6252452281468325,0.41648389718701495,0.6661128760973254,0.7318722954567661
new_unseen,cbc_max,25,40,8205,0.843144424131627,0.8787470284667559,0.41866070041317205,0.47642915065517116,0.8768821835836832
new_unseen,cbc_max,41,200,71888,0.9139355664366793,1.5347878172861775,0.4273468492686389,0.2784403449489693,0.9407239564726526
new_unseen,cyclen,5,8,239,0.6903765690376569,0.3064590264502802,0.2279718895769842,0.7438902753741217,0.6436816567631236
new_unseen,cyclen,9,14,1635,0.7345565749235474,0.5027077114359512,0.3810440905747757,0.7579833806136543,0.6245092179266136
new_unseen,cyclen,15,24,5893,0.6943831664686917,0.6582270746997358,0.5195673112929746,0.7893435734620704,0.5841674395427264
new_unseen,cyclen,25,40,8205,0.7884216940889701,0.8023499091310548,0.6045349603768116,0.7534555104910814,0.68579546843722
new_unseen,cyclen,41,200,71888,0.7909386823948364,1.537848436851669,0.8911335669655231,0.5794677457226406,0.8426486555147396
new_unseen,f_q,5,8,239,0.5690376569037657,0.18978474301730866,0.1553653910887244,0.818640047764824,0.27098177212158153
new_unseen,f_q,9,14,1635,0.581651376146789,0.3347294653918329,0.24931451322203402,0.7448239219997782,0.31509827617348696
new_unseen,f_q,15,24,5893,0.6115730527744782,0.4827439941395992,0.3260610758322525,0.6754326926705642,0.43359757642013147
new_unseen,f_q,25,40,8205,0.7053016453382084,0.5527500611459881,0.3064161938051179,0.5543485480034883,0.5649210894970812
new_unseen,f_q,41,200,71888,0.8899120854662809,1.5568687759035504,0.5458805322541767,0.3506271952415304,0.9104109978316444
new_unseen,f_r,5,8,239,0.5146443514644351,0.19736595995624495,0.1656524674248029,0.8393163008531321,0.2963526670795384
new_unseen,f_r,9,14,1635,0.5700305810397553,0.3370267302794105,0.2605484614070882,0.7730795156546831,0.3138912522898958
new_unseen,f_r,15,24,5893,0.6090276599355167,0.5010825541207461,0.3459505886130507,0.690406372698593,0.43902926239157364
new_unseen,f_r,25,40,8205,0.6927483241925655,0.5732661010695304,0.3219698982088806,0.561641265039374,0.536726153692923
new_unseen,f_r,41,200,71888,0.891984754061874,1.5554829533743668,0.5315722992087495,0.3417409995111743,0.915780640787316
new_unseen,node_peak,9,14,70,0.5428571428571428,0.3932849630975188,0.4308764737369994,1.0955833916034043,0.008329031788630422
new_unseen,node_peak,15,24,321,0.5856697819314641,0.6354567898818769,0.6451498328896506,1.0152536618730212,0.2588099028311052
new_unseen,node_peak,25,40,596,0.6140939597315436,0.856097409665993,0.8721593585173926,1.018761823911681,0.3362444514519515
new_unseen,node_peak,41,200,12327,0.80465644520159,1.4828130680044072,0.8086185581790998,0.5453273751271637,0.8365966605008588
