digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max
89738d940a0e3e2a,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\89738d940a0e3e2a__MAS_RST.APRQ_11_0615.8-3192488274-g_0kq3ps,final,1.6238,1.4678,25,1,,593.771
a3c67c091577dd18,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\a3c67c091577dd18__MAS_RST.APRQ_11_0615.8-b9b75d7f30-53yoesc1,final,1.6656,1.4939,25,1,,592.846
ad3086b9e60dbd1f,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\ad3086b9e60dbd1f__MAS_RST.APRQ_11_0615.8-73017354c5-m136duga,final,1.6519,1.483,25,1,,593.334
c9133434ceb3d75a,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\c9133434ceb3d75a__MAS_RST.APRQ_11_0615.8-905a039a84-z5f5vz9g,final,1.6362,1.4671,25,1,,593.439
dda66ae81a885228,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\dda66ae81a885228__MAS_RST.APRQ_11_0615.8-220d65604a-cqrlyv0l,final,1.6537,1.4847,25,1,,593.511
f482529fc7cb7667,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\f482529fc7cb7667__MAS_RST.APRQ_11_0615.8-1360063716-_56ssfqn,final,1.642,1.4728,25,1,,593.045
f8b63fe5d26d78e7,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_00\f8b63fe5d26d78e7__MAS_RST.APRQ_11_0615.8-143d47840b-qxxicdg_,final,1.651,1.4823,25,1,,593.572
13da1f90683c1456,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_01\13da1f90683c1456__MAS_RST.APRQ_11_0615.8-666fcb81fe-6dobc2ka,final,1.6418,1.4724,25,1,,594.672
2076d4552305ae5d,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_01\2076d4552305ae5d__MAS_RST.APRQ_11_0615.8-c8fb3bb24a-tv7_97ev,final,1.6227,1.4643,25,1,,593.694
2229a1d8154bdcb4,C:\Users\USER\lpopt_work\kit_frontier\runs\fpcamp_minfr_E1E2_f109\master\master_work\worker_01\2229a1d8154bdcb4__MAS_RST.APRQ_11_0615.8-e597ec1726-06qd2omq,final,1.6275,1.4711,25,1,,594.078
