lo,hi,n,acc,se,fold,target,unit
25.0,50.0,4279,0.7910726805328347,0.0062149074571897,A curr_val,CBC_max,ppm
50.0,100.0,7083,0.924043484399266,0.0031478940056321,A curr_val,CBC_max,ppm
100.0,inf,18010,0.9949472515269296,0.000528332116596,A curr_val,CBC_max,ppm
0.0,0.25,1467,0.5037491479209271,0.0130539738414691,A curr_val,max_asm_BU,GWd/t
0.25,0.5,1553,0.524146812620734,0.0126729358954967,A curr_val,max_asm_BU,GWd/t
0.5,1.0,2859,0.5550891920251836,0.0092941737255281,A curr_val,max_asm_BU,GWd/t
1.0,2.0,5504,0.6353561046511628,0.0064878957755232,A curr_val,max_asm_BU,GWd/t
2.0,5.0,12456,0.7341843288375081,0.0039582529667019,A curr_val,max_asm_BU,GWd/t
5.0,inf,10019,0.756662341551053,0.0042869017882106,A curr_val,max_asm_BU,GWd/t
0.0,1.0,29369,0.570771902346011,0.0028882234182774,B legacy_val,cyclen,EFPD
1.0,2.0,27688,0.6964388904940768,0.0027632411011931,B legacy_val,cyclen,EFPD
2.0,5.0,66534,0.8650915321489765,0.0013244294177982,B legacy_val,cyclen,EFPD
5.0,10.0,54862,0.9837957055885675,0.000539053296083,B legacy_val,cyclen,EFPD
10.0,20.0,30056,0.9975712004258716,0.0002839240617886,B legacy_val,cyclen,EFPD
20.0,50.0,11802,0.9999152685985426,8.472781167613612e-05,B legacy_val,cyclen,EFPD
50.0,inf,1,,,B legacy_val,cyclen,EFPD
0.0,0.005,4841,0.5029952489155133,0.0071861233947895,B legacy_val,F_r,
0.005,0.01,4602,0.5362885701868753,0.007351058243238,B legacy_val,F_r,
0.01,0.02,9173,0.5698244849013409,0.0051693709777179,B legacy_val,F_r,
0.02,0.05,26151,0.6408932736797828,0.002966610136817,B legacy_val,F_r,
0.05,0.1,38226,0.7496729974362999,0.0022156969299161,B legacy_val,F_r,
0.1,inf,137282,0.9368963156131176,0.0006562454799901,B legacy_val,F_r,
0.0,0.01,6504,0.5218327183271833,0.0061939160475474,B legacy_val,F_q,
0.01,0.02,6298,0.5446173388377262,0.006275273360093,B legacy_val,F_q,
