cell,wave,slot,record_id,converged,p_feas,pred_f_r,act_f_r,pred_cbc,act_cbc,pred_f_q,act_f_q,pred_cyclen,act_cyclen,pred_ao,act_ao
E1_E2_f117,3,exploit,3ae5c2ef074c726cca6c536018a0c5d4d6e43ede93fc0bdd3cec5482a663e672,True,0.0,1.7266,1.774,1197.4541,1193.95,2.0044,2.2395,615.6208,614.185,0.0447,0.0482
E1_E2_f117,3,explore,41a09b8804679d17f65cfc80389c878e06c0357bd658102965dca0fff155cad5,False,0.0,3.8988,,1363.7865,,5.2901,,607.8496,,0.0576,
E1_E2_f117,3,explore,a26ed7cecdc39ba1e304251e4bac9843cee702d7b8a47ecdab64a61603c3f4f2,False,0.0,3.7787,,1357.5796,,5.1269,,608.1984,,0.0537,
E1_E2_f117,3,control,05d4555d8b63f9a6ca72cf0c70f4a1dbd9db4b51394c7fdf3c673d321959175e,True,0.0,2.0794,1.9444,1341.6634,1370.42,2.4679,2.556,612.0293,613.382,0.0554,0.0555
E1_E2_f117,4,exploit,9a3f386b81effaee241022c4fce3dc8d1fbd44eeeee76537beeea4276cb3ccd6,True,0.0,1.7179,1.7541,1281.9589,1302.35,1.9993,2.2001,619.0364,623.533,0.0411,0.0422
E1_E2_f117,4,exploit,caa0cf6a6850ce283ede7565c8d7b794228ac5c467a65ecbb261bb9ed620ca6e,True,0.0,1.7201,1.6368,1293.4001,1301.98,1.9868,2.0422,616.6321,617.646,0.0362,0.0384
E1_E2_f117,4,exploit,8e4de812f3c87ddb1a815a618439a7805555ecad6ff63617628887aba4de327a,True,0.0,1.7282,1.795,1288.8322,1318.36,2.0015,2.2276,620.5592,624.2,0.0369,0.0319
E1_E2_f117,4,exploit,0ec7623bc81d62bec3533ae507834b897288d72c83c49c37f20ed7dda596be48,True,0.0,1.7431,1.6429,1270.9772,1303.43,2.0084,2.0594,617.4524,622.071,0.0391,0.0343
E1_E2_f117,4,exploit,fc77ae37dda0d06d69dc1fbd929a681f9c737081af4b4f57df21ee0651b910e7,True,0.0,1.7434,1.849,1286.6085,1300.18,2.0301,2.308,617.3267,620.116,0.0349,0.032
E1_E2_f117,4,explore,bce7dc6d5c1b97a3d2e2ee49ebf13ce89f3a8e96aae987e8e005b9de036c83b0,False,0.0,3.8526,,1377.5225,,5.1831,,605.6804,,0.0461,
E1_E2_f117,4,explore,3a2302f7cc7c8813fa0cff1dd57f90a829f91fc63cae373bd912163cc839ec52,False,0.0,3.8984,,1357.8447,,5.2369,,596.4962,,0.0621,
E1_E2_f117,4,control,674dc901a2b4ca2d70f142149a5683037db1aeb655208ac7e011ffb29d339d3f,True,0.0,1.8271,1.7886,1310.7993,1326.12,2.0968,2.2711,616.8017,619.201,0.0352,0.025
E1_E2_f121,0,exploit,f40a4d4c35ee0579afa539c1f64913011d0398a52edbb51508a7654abfe2f630,True,0.0378,1.6071,1.7287,1249.6986,1303.51,2.0667,2.228,625.6959,627.992,0.0353,0.0315
E1_E2_f121,0,exploit,9a6c2bc99d5338e07fff02a8cb66a54da3f000b3037c19bc87be5f154ca6c6ea,True,0.039,1.6067,1.6296,1297.1038,1330.34,2.0491,2.0307,634.156,638.147,0.0324,0.0304
E1_E2_f121,0,exploit,16959a0850c6890ee1f67c0737432e4c3592a4e54ede3eadef57b31200c42b6b,True,0.0235,1.6139,1.7362,1329.6772,1331.4,2.0667,2.1746,636.5956,636.041,0.0313,0.0271
E1_E2_f121,0,exploit,ed424165e0edaa9009acc9b131d3d9e3bf2189a13b7f20073d2dde6b7a691fe3,True,0.0277,1.6116,1.6602,1305.8784,1313.63,2.0562,2.0558,631.2819,632.226,0.0342,0.0372
E1_E2_f121,0,exploit,35bd00074069b3ac707a26146ca96b16207d545fa4a76d7e8080c4353764f038,True,0.0144,1.6203,1.7284,1298.4615,1316.57,2.0589,2.1529,629.7036,629.79,0.0342,0.0323
E1_E2_f121,0,explore,fc3a4ef93d9370e2931a1f1699e9e7dc4fbe21795365237fda07e048ab168c24,True,0.0,3.4379,4.4295,1517.1549,1593.84,5.069,6.6364,621.234,617.361,0.0402,0.0597
E1_E2_f121,0,explore,fe12f687532549a4f8309d9aaad00f0ec02aa109d19dbcab7733439118f8a176,True,0.0,2.007,2.3148,1460.4822,1484.67,2.548,2.9871,632.1119,630.959,0.0284,0.0242
E1_E2_f121,0,control,6092c580b1084d0196848d757c805fd442818df990c6118a9d58c4cdc8a59735,False,0.0,3.5264,,1451.2541,,5.4391,,620.9419,,0.0476,
E1_E2_f121,1,exploit,4f8a893b8ddf2c14f8e647398339f9b655e0393c233f6c8fc64d47ed90ac4e10,True,0.2231,1.5745,1.7587,1388.0143,1411.38,1.9705,2.1788,634.5711,635.981,0.0326,0.0307
E1_E2_f121,1,exploit,9b3edfaab9e364ac416a51134c6b41236f79c5b187969d886a029b6295e35c70,True,0.1596,1.582,1.6881,1356.965,1380.82,1.9764,2.112,631.4707,633.187,0.0325,0.035
E1_E2_f121,1,exploit,ade8ad087688329d44c23f0945adc3ec801f901aa26a2b3109a6c3206bb2d920,True,0.1589,1.5821,1.7367,1389.2634,1400.51,1.9961,2.1636,635.7951,636.619,0.0344,0.0374
E1_E2_f121,1,exploit,674988ecebbe30323842a028cbe7ef8034b65c53185ca6df9053c5e80283e400,True,0.1472,1.5837,1.732,1362.8749,1367.62,2.0012,2.1758,632.6495,635.567,0.0317,0.03
E1_E2_f121,1,exploit,456f674dbc7d4b50a928f39039d3dcd24ec57b0516a0eb63e497c1291f19108a,True,0.1251,1.587,1.8541,1278.5513,1285.42,2.026,2.3644,630.4043,633.689,0.0345,0.0246
E1_E2_f121,1,explore,e175b65e2e2fdf06c0fe947e15ada7542900b93ce6833ade9f2ec80b47281565,False,0.0,3.2123,,1402.1701,,4.6789,,635.8062,,0.0384,
E1_E2_f121,1,explore,4f9482a619bb2fe24154de329f8c8b4959f04b0d9e700b705a77fec87334b9d7,False,0.0,3.2121,,1494.9611,,4.6765,,628.2115,,0.0371,
E1_E2_f121,1,control,025cc1797832dc841c5f5b85300d92a18b1bb85b0ba8470f8da4b1bc8632cfbf,True,0.0,1.9886,1.8771,1346.0081,1329.46,2.5275,2.3597,631.7008,634.105,0.033,0.0382
E1_E2_f121,2,exploit,7278a55459d391adb0030996ad64b3f2cf109e525c5435424a491a6fba4e736f,True,0.103,1.5907,1.7038,1269.8255,1298.8,2.0214,2.1777,631.3106,632.959,0.0313,0.0278
E1_E2_f121,2,exploit,bbb7a4ca7ebe7cf59d01c39006a5dc9a7d74bb4c15431d1adc3c8268d37e9198,True,0.108,1.5898,1.8542,1290.7665,1296.82,2.0432,2.3779,634.8014,634.997,0.0327,0.025
E1_E2_f121,2,exploit,0f6262ceb8808e2f228c0bc86136f4df25f2296fdfb16ca6ce7e401792fb1cdf,True,0.1068,1.59,1.7656,1345.8616,1367.17,2.0282,2.238,638.7974,639.792,0.0269,0.0255
E1_E2_f121,2,exploit,9d0a128b26fd03aaaf2b3bd237a52ad221c0233249538747a8f449dd3e91ba36,True,0.0641,1.5989,1.73,1328.9267,1325.33,2.0435,2.1632,633.4272,631.167,0.032,0.0346
E1_E2_f121,2,exploit,80eb6b1c4d62566c4903c281055051f7f77e9553ed0825e4c45b3d66aef70e52,True,0.0519,1.6023,1.8481,1350.6189,1369.62,2.0272,2.3277,634.7278,631.796,0.0287,0.0275
E1_E2_f121,2,explore,14963020e867aa581d48641929aefb437b27bbd4e4be74d7fbc7b69d7bf6f825,False,0.0,3.1246,,1315.4204,,4.8028,,621.8108,,0.0544,
E1_E2_f121,2,explore,16ccf484ca8c67d9b3e52e644add3af1e8fa37ef1da85ec7283e9cd3724b7267,False,0.0,3.1079,,1358.3617,,4.7463,,626.6746,,0.0467,
