digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max,key_source
5ef5330df85284c8,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-9e86584be1-7fx82gt9_fba4f73c,final,3.7492,3.3658,27,0,above_ceiling,631.083,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-b64c1424ff-p2uuwamj_f46aaf33,no_mas_sum,,,0,0,,,
bc52f86cf9af6d19,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-cae3020288-kzfgh489_4721f1ed,final,2.3662,2.0844,26,1,,627.662,deck
7d7e29ba6484a95d,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-e3d53aa7a2-2qh_04lp_2a9e7550,final,2.9619,2.6207,26,1,,626.18,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-ee1868b979-mv78xkok_c93f0bc3,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0635.1-ee57c00f86-p14khn2u_b347490d,no_mas_sum,,,0,0,,,
7a928b7cb8015fc8,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-04c02a808d-jlb5teql_c69ee254,final,1.9902,1.7692,29,1,,706.789,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-07fb148869-cr3hj6dz_9ac32e8c,no_mas_sum,,,0,0,,,
c568af574a437071,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-0fae096c93-2ij5bq0b_783e32d9,final,4.3264,4.0318,29,0,above_ceiling,709.69,deck
fb6c01eb36c2ff38,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-172d00612f-_rg2jey9_1930a717,final,2.5448,2.32,29,1,,715.143,deck
254197ea7ed2a2c5,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-1f80b182c7-00zy2ce8_e66d0de7,final,3.017,2.6864,29,0,above_ceiling,691.515,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-2e054ba99b-_9x7rqys_ceb11c71,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-309cfb17de-vctj_p4x_f1541572,no_mas_sum,,,0,0,,,
b00404c5ad34ca73,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-3e09e9a29f-3w50_f_v_fff71078,final,2.499,2.2338,28,1,,688.718,deck
466901da007b2ee1,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-5b46d5879d-l0_m_z5g_05e77304,final,2.1421,1.8936,29,1,,697.543,deck
4dcd2079635b5048,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-62be66e01e-f_on0i3y_c12e6a3f,final,2.3077,2.0626,29,1,,692.445,deck
1e073a17026d28ce,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-73457ed89a-jawpnz7x_77891d27,final,3.1346,2.7498,29,0,above_ceiling,706.458,deck
d679aa498c1ac974,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-74fde641e2-o219dipl_b45c10f6,final,1.8985,1.651,29,1,,713.444,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-8d5ae9376b-8hm_59d1_e622f786,no_mas_sum,,,0,0,,,
e76817b1e5ab6c2d,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-91f2de03e8-lzfdpixb_2b0e962c,final,2.0879,1.9211,28,1,,688.718,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-96bc14ca91-0w7z1ya5_d723a15c,no_mas_sum,,,0,0,,,
5d607d51ed34c3cd,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-996fe5739f-psa50g3n_fe04ef70,final,2.3936,2.1399,29,1,,697.345,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-d81aab3176-rchzlktk_1055674e,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-de0a04d80a-btq7r3fy_b5c950e2,no_mas_sum,,,0,0,,,
a928fa5dfe459b01,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0665.0-e777f4f2ea-7zati96r_0c7ca94e,final,2.0679,1.8442,29,1,,709.151,deck
a38784f47133aa5e,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-05214d0010-gni2nm2v_648567ee,final,2.2752,2.0389,25,1,,594.895,deck
6c139bd5ed99c8f0,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-11834b70d2-0b20uqgp_11da3e04,final,2.5368,2.2882,25,1,,589.154,deck
1473f3f2c25eefe2,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-1ceeda87bc-c2oblnhs_b68574fb,final,2.4125,2.0553,25,1,,571.491,deck
cc157404421921c7,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-38e3a04822-uduyxuru_9e3d4f38,final,3.1485,2.3308,25,0,above_ceiling,584.858,deck
d710edd58d0332cc,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-42800c6c02-imkpxbux_3d18f801,final,2.0762,1.8482,25,1,,592.064,deck
1462d602704cecc6,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-56868120db-rijjxek7_9d3e1657,final,2.1077,1.8835,26,1,,604.552,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-5d727edad3-f95u4iqs_6104376d,no_mas_sum,,,0,0,,,
b6280693122a0b0e,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-6b5a79bb3b-lzbl3o7z_39407b36,final,2.587,2.2592,25,1,,572.568,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-71ce4f2ca2-5q0ganio_ff85c8f7,no_mas_sum,,,0,0,,,
9031447e55b1e451,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-a00172129f-tg_12gmq_52c301d8,final,2.303,2.0448,25,1,,599.117,deck
25f2ede0526d89a0,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-ae655917cc-zpf82u11_d7907b3d,final,3.6074,3.1411,25,0,above_ceiling,576.662,deck
8347abb4ef2c471d,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-ec5fb9238c-82q4vkdj_7e12ec87,final,2.0327,1.8149,25,1,,589.921,deck
b2428cdcf5be7a0e,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-ee31e63e5b-zw760j3o_cc52db16,final,2.003,1.8034,25,1,,598.248,deck
33fd01fb1d3e8519,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0692.6-f5f7ff2c26-7j4x2dkg_d52b80de,final,2.1482,1.8247,25,1,,588.682,deck
9f49d470b949f598,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-0a702e012b-4wmow3u2_7803ea39,final,4.0191,3.2523,26,0,above_ceiling,649.533,deck
6db1986e3ae7d33b,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-13b4d11da8-xxgeqv79_0b6e50eb,final,2.6545,2.2182,26,1,,633.935,deck
aae6a0d79ba8eafc,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-1cc2430a27-bz5fj4ak_0e4e5a17,final,4.0202,3.3314,26,0,above_ceiling,650.567,deck
cd540181b04c8914,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-30857c4e83-pb3sp14k_ac1dc9d7,final,5.3944,4.5309,26,0,above_ceiling,639.41,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-3948decbba-v75cif26_a919924e,no_mas_sum,,,0,0,,,
cb2fed66047bea70,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-3ddfe4c044-18_nuyrc_b489e760,final,2.6679,2.3467,26,1,,639.973,deck
aa8494ba842af5ec,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-5ae2e2cf52-wcjlpty8_6a9e0623,final,4.9353,4.146,26,0,above_ceiling,643.643,deck
4752ca04a6a23c10,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-5c90b03b3f-_awk1t_d_c7acd655,final,6.0761,5.0976,26,0,above_ceiling,652.245,deck
4f3a675cf5174729,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-6e0f322855-6v7_gnsm_cc3fea7d,final,2.6861,2.2562,26,1,,632.577,deck
fc1929a8d78110e5,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-71b51dc1fc-2uord_96_27345530,final,2.2957,1.958,26,1,,636.559,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-76e1623e9b-w4mocjx7_32a8e966,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-b2a1ef2592-enit0f48_606b34ce,no_mas_sum,,,0,0,,,
69362a52e33f16b6,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-bf863cee9a-tqio10q8_dbbf653a,final,2.5477,2.2228,26,1,,640.806,deck
0cd6361184a33e99,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-c0fee0d893-_lqk_uab_513f5bb4,final,2.3596,1.992,25,1,,620.465,deck
211142e6907df4b9,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-df786b217b-4slqzwxe_e73e921f,final,2.5887,2.1682,26,1,,639.636,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0725.8-e3b729b225-yabsv1um_4a63ace4,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-0074aa6991-50ro_msm_1daf6a20,no_mas_sum,,,0,0,,,
40f76da4b62274b3,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-163fe0f9aa-d8fnttrh_3eaad6eb,final,3.6158,3.0606,32,0,above_ceiling,821.681,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-1793665691-wr_5al5c_382288ae,no_mas_sum,,,0,0,,,
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-2fd20f38ff-v1x0scrh_d4f634c9,no_mas_sum,,,0,0,,,
