channel,fold,band,n_modes,P_true,P_champ,P_prev,champ_over_true,prev_over_true,amp_ratio_champ,rho_amp_champ,rho_amp_prev,share_true,resid_over_true_champ,resid_over_true_prev
boc_power,C new_unseen,k 0.00-0.13 (low),4,255.7515601102044,104.73097505140863,102.5920545360119,0.4095027807700553,0.4011395062137825,0.6493176447553313,0.8964866673002706,0.8883493318275929,0.2940191637867684,0.1911262392770089,0.1979844347880089
boc_power,C new_unseen,k 0.13-0.25,16,387.39630503633526,173.19592080800072,173.6438811690834,0.447076852712253,0.4482331888859825,0.6726085864616697,0.8770638243948621,0.8665465614884471,0.4453616533630777,0.1652034768234476,0.1669148091593207
boc_power,C new_unseen,k 0.25-0.36,16,99.18133047997188,45.44987206937743,45.397000440874,0.458250276029069,0.4577171955768552,0.6739821610608245,0.7851227979940854,0.7785061114807134,0.1140216381804856,0.174742910470324,0.1780173705685176
boc_power,C new_unseen,k 0.36-0.47,20,75.02738465119066,37.67604216267669,37.77787429651802,0.5021638744018087,0.5035211406095375,0.7091822471833107,0.7169477817346953,0.7083901247267584,0.0862535848725449,0.1643757875034579,0.1665334942009343
boc_power,C new_unseen,k 0.47-0.71 (Nyq),24,52.48998623958508,30.079391736632186,30.26768231626436,0.5730500975812401,0.5766372690232889,0.7551377072863755,0.5930052943182518,0.5750826014278447,0.0603439597971235,0.1685951047766112,0.1692878320643019
boc_power,B legacy_val,k 0.00-0.13 (low),4,240.37884896302396,240.51762766523808,235.2960782308409,1.0005773332504622,0.9788551665252174,1.0028166152175724,0.9088654174110594,0.9089540871146192,0.2706482957294215,0.0950044427994758,0.0966224252561394
boc_power,B legacy_val,k 0.13-0.25,16,417.4336833854923,338.9795591870798,331.11610747842974,0.8120560766392165,0.7932184695614276,0.8980719046648625,0.801257202083997,0.7932982524227753,0.4699985688246521,0.0617088428649227,0.0633926109679977
boc_power,B legacy_val,k 0.25-0.36,16,98.70936178384568,77.50664747609885,76.40426510333403,0.7852005734352061,0.7740326117257704,0.8670810989437813,0.793081109312034,0.7802985954165419,0.1111392314864034,0.1010663642216624,0.1028439376055171
boc_power,B legacy_val,k 0.36-0.47,20,68.73672300795684,52.27323268193916,51.91506271105423,0.7604847946546435,0.755274043323896,0.8403792694715385,0.9150254253317688,0.9117459266168652,0.0773923205655689,0.1121801036269948,0.1155724468801338
boc_power,B legacy_val,k 0.47-0.71 (Nyq),24,62.900860513812646,44.87398444465766,44.09102379242512,0.7134081168063449,0.700960581973962,0.8369066809423743,0.6816817999998138,0.6724237532518236,0.0708215833939539,0.0808434333401267,0.083080601385234
eoc_power,C new_unseen,k 0.00-0.13 (low),4,31.75668257242222,17.126198681204496,15.650585009993067,0.5392943246558454,0.4928280834845189,0.7549331126566093,0.5648326633905628,0.6187157225039275,0.1103819195362939,0.3644245523383933,0.3555704944231457
eoc_power,C new_unseen,k 0.13-0.25,16,115.03858133534618,64.96366469507251,64.49804345202823,0.5647119769818658,0.560664454510366,0.7556754133974904,0.7054629686571143,0.737508409226016,0.3998584990598106,0.1881425782824341,0.1761430608987054
eoc_power,C new_unseen,k 0.25-0.36,16,45.48858163594247,21.315260795666624,21.933506293542848,0.4685848630379042,0.4821760869372161,0.6736899752904812,0.6901414054448924,0.7032221545135882,0.1581121373905448,0.2437738946958331,0.237624924524083
eoc_power,C new_unseen,k 0.36-0.47,20,50.610547793266846,28.90660171256789,29.166408180213587,0.5711576533541015,0.576291098435687,0.757734006904277,0.6938286996401505,0.7106824657621043,0.1759153967503992,0.1909942632653513,0.1865943297246051
eoc_power,C new_unseen,k 0.47-0.71 (Nyq),24,44.80383392550891,25.98309611016196,26.976522871869957,0.579930194218682,0.60210300120122,0.7609132753517561,0.7186512440063884,0.7265230249733049,0.1557320472629514,0.174863966445834,0.1671907130381557
eoc_power,B legacy_val,k 0.00-0.13 (low),4,12.186288474895164,8.713202886003984,8.112558153136394,0.7150005437630953,0.6657119737358084,0.8709481485967143,0.589381863391025,0.6244189026801518,0.0545425670744399,0.5093731179575013,0.4667553343164264
eoc_power,B legacy_val,k 0.13-0.25,16,87.5257672769036,53.03325134264885,53.705413372464605,0.6059158690362413,0.6135954592955217,0.7781785523399196,0.3555255315704556,0.3721375834651813,0.3917419189835321,0.1186968640236905,0.1081260609462888
eoc_power,B legacy_val,k 0.25-0.36,16,41.30341709534095,21.45241260701433,21.825193721502167,0.519385903531797,0.5284113338884996,0.712654068044438,0.6545729344547161,0.6562227382677341,0.1848630452140664,0.1685195084018952,0.1632326668629866
eoc_power,B legacy_val,k 0.36-0.47,20,41.584429457317945,21.425290454588787,21.482754981015617,0.5152238646577946,0.5166057406911261,0.7076480986230448,0.8030249192787862,0.8069711524607811,0.1861207813683888,0.1589730325649394,0.1557022530647979
eoc_power,B legacy_val,k 0.47-0.71 (Nyq),24,40.82721395619198,23.081715638150904,23.652214953518232,0.5653512302582738,0.579324736164885,0.7469428497854681,0.3235121484982522,0.3375130477568867,0.182731687359573,0.1375396682904507,0.1310772520007045
