move_class,response,n_pairs,mean_out_minus_in,median_out_minus_in,sign_pos,sign_n,sign_p
batch_swap,F_xy,36,-0.03951111111111112,-0.018950000000000022,15,36,0.40503224614076316
batch_swap,F_r,38,-0.017821052631578925,-0.011699999999999933,15,38,0.2558750795433298
batch_swap,node_peak,38,-0.003984216012452778,-0.004749953746795654,19,38,1.0
batch_swap,cyclen,38,0.24844736842105045,0.03599999999994452,20,38,0.8714146793645341
fresh_relocate,F_xy,191,-0.05567172774869109,-0.044099999999999806,74,191,0.00228746148517922
fresh_relocate,F_r,195,-0.04499538461538462,-0.03189999999999982,68,195,2.8733702653621516e-05
fresh_relocate,node_peak,195,-0.01918205359043219,-0.01750004291534424,76,195,0.0025428237256968135
fresh_relocate,cyclen,195,-1.1648871794871802,-0.5009999999999764,62,195,4.0398562952464763e-07
