pair,type1,type2,enrichment_segment,feed,split_bucket,split_lo,split_mean,split_min,split_max,n_cores,n_feasible,n_distinct_splits,realized_enrichment_mean,bu_k1_mix_mean,F_r_min,best_cid,best_split,best_n_type1,best_n_type2,best_EFPD,best_B_c,best_B_d,best_discharge_GWd,best_CBC_max,best_cbc_margin,best_F_q,best_AO_min,best_AO_max,best_pinmax_rodavg_GWd,best_pinmax_node_GWd,best_pinmax_known,best_rodavg_ge68,best_rodavg_ge75,best_node_ge68,best_node_ge75,best_F_r_campaign,best_CBC_max_campaign,best_metrics_source,best_eq_ok,best_ncyc,best_feasible_at_metrics,F_r_p10,F_r_median,EFPD_mean,EFPD_max,B_d_mean,CBC_max_max,cbc_margin_min,n_pinmax_known,pinmax_rodavg_min,pinmax_rodavg_mean,pinmax_node_min,pinmax_node_mean,frac_rodavg_ge62,frac_rodavg_ge68,frac_rodavg_ge75,frac_node_ge62,frac_node_ge68,frac_node_ge75,n_campaign_verified,F_r_campaign_min,EFPD_max_F_r,EFPD_max_B_d,EFPD_max_split,pkey,n_store_rows,n_store_valid,store_f_r_min,store_cyclen_max,n_store_rows_pair_all_feeds,store_gap_f_r,unexplored,novel_type
L3_L4,L3,L4,5.3,117,60-65,0.6,0.624786,0.615385,0.649573,50,50,3,5.32726,41.809234,1.5289,7aa7c6fb706e,0.615385,72,45,659.9,25.760619,53.062471,53.39,1398.7,121.3,1.9205,-0.0488,0.0173,,,False,False,False,False,False,1.5289,1398.7,campaign,False,5,True,1.53326,1.5392,659.918,661.3,53.063919,1416.0,104.0,2,65.69,66.18,71.66,72.41,1.0,0.0,0.0,1.0,1.0,0.0,48,1.5289,1.5416,53.175045,0.649573,L3_L4,57,41,1.7381,654.474,863,0.2092,False,False
L3_L4,L3,L4,5.3,117,65-70,0.65,0.675214,0.65812,0.683761,3,3,2,5.328667,41.82792,1.5358,931bcfa7d037,0.683761,80,37,658.9,25.721582,52.982061,53.31,1414.5,105.5,1.9101,-0.0478,0.0159,,,False,False,False,False,False,1.5358,1414.5,campaign,False,5,True,1.53602,1.5369,659.4,660.4,53.022266,1417.7,102.3,0,,,,,,,,,,,3,1.5358,1.5387,53.102676,0.65812,L3_L4,57,41,1.7381,654.474,863,0.2023,False,False
L5_L6,L5,L6,5.3,117,50-55,0.5,0.531746,0.512821,0.547009,42,40,3,5.296286,41.578999,1.5441,a9c5ee6c5e07,0.547009,64,53,655.3,25.581048,52.692586,52.99,1358.6,161.4,1.9255,-0.0518,0.0189,79.55,86.87,True,True,True,True,True,1.5436,1357.1,equilibrium_ncyc12,True,8,True,1.54591,1.5475,655.02381,657.1,52.670377,1382.8,137.2,42,65.87,70.927857,71.87,77.470238,1.0,0.452381,0.285714,1.0,1.0,0.452381,0,1.5436,1.5459,52.837324,0.547009,L5_L6,66,45,1.7577,647.446,822,0.2136,False,False
L5_L6,L5,L6,5.3,117,55-60,0.55,0.581197,0.581197,0.581197,10,10,1,5.298,41.606667,1.5462,c1c3fa0f6d33,0.581197,68,49,657.2,25.655219,52.845365,53.12,1388.2,131.8,1.9277,-0.0497,0.0167,67.84,74.18,True,False,False,True,False,1.5462,1388.2,equilibrium_ncyc12,True,8,True,1.54647,1.547,653.24,657.2,52.526942,1389.4,130.6,10,67.84,74.586,74.18,81.416,1.0,0.9,0.7,1.0,1.0,0.9,0,1.5462,1.5462,52.845365,0.581197,L5_L6,66,45,1.7577,647.446,822,0.2115,False,False
L1_L2,L1,L2,5.3,121,50-55,0.5,0.527376,0.504132,0.53719,16,16,3,5.278562,41.360411,1.5198,7797c252b247,0.504132,61,60,661.8,25.834789,51.456068,51.79,1322.4,197.6,1.8819,-0.0488,0.0179,65.69,71.71,True,False,False,True,False,1.5201,1319.0,equilibrium_ncyc12,True,8,True,1.5237,1.53655,661.9625,664.3,51.468703,1370.3,149.7,16,64.81,65.741875,70.77,71.77375,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5201,1.5491,51.650447,0.528926,L1_L2,80,78,1.4911,665.06,1159,-0.0287,False,False
L1_L2,L2,L1,5.3,121,55-60,0.55,0.571429,0.561983,0.595041,14,13,3,5.279929,41.375886,1.5238,6693ce9527ff,0.561983,68,53,661.1,25.807463,51.401642,51.74,1305.3,214.7,1.8834,-0.0502,0.0184,65.78,71.84,True,False,False,True,False,1.5193,1301.9,equilibrium_ncyc12,True,8,True,1.52717,1.5441,663.085714,666.2,51.556035,1388.8,131.2,14,65.13,65.865714,70.93,71.852857,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5193,1.55,51.798176,0.595041,L1_L2,80,78,1.4911,665.06,1159,-0.0327,False,False
L1_L2,L2,L1,5.3,121,60-65,0.6,0.603306,0.603306,0.603306,1,1,1,5.277,41.329915,1.5425,077bb56d800d,0.603306,73,48,659.9,25.760619,51.30834,51.66,1305.5,214.5,1.9323,-0.0491,0.021,64.95,70.93,True,False,False,True,False,1.5431,1302.1,equilibrium_ncyc12,True,9,True,1.5425,1.5425,659.9,659.9,51.30834,1305.5,214.5,1,64.95,64.95,70.93,70.93,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5431,1.5425,51.30834,0.603306,L1_L2,80,78,1.4911,665.06,1159,-0.0514,False,False
L3_L4,L4,L3,5.3,121,50-55,0.5,0.522817,0.504132,0.53719,23,22,3,5.324174,41.758265,1.5215,f96a52e531ca,0.53719,65,56,668.0,26.07682,51.938129,52.28,1347.2,172.8,1.8827,-0.0493,0.0177,66.29,72.33,True,False,False,True,False,1.5217,1343.8,equilibrium_ncyc12,True,8,True,1.52368,1.5359,668.16087,670.3,51.950637,1380.7,139.3,23,65.5,66.593043,71.28,72.65913,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5217,1.5432,52.116958,0.504132,L3_L4,24,24,1.5217,669.9,863,0.0002,True,False
L3_L4,L3,L4,5.3,121,55-60,0.55,0.581267,0.561983,0.595041,18,18,3,5.326222,41.787322,1.5289,8993fb6ee5b4,0.595041,72,49,670.4,26.170509,52.124733,52.4,1416.9,103.1,1.9153,-0.042,0.0082,66.47,72.5,True,False,False,True,False,1.5289,1416.9,equilibrium_ncyc12,True,9,True,1.53067,1.5373,670.127778,671.0,52.103567,1416.9,103.1,18,65.95,66.746111,71.98,72.779444,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5284,1.5306,52.171384,0.595041,L3_L4,24,24,1.5217,669.9,863,-0.0072,True,False
L3_L4,L4,L3,5.3,121,60-65,0.6,0.622378,0.603306,0.628099,13,13,2,5.326231,41.796562,1.526,3515fdc52a4c,0.603306,73,48,666.6,26.022168,51.829276,52.21,1329.3,190.7,1.9151,-0.0474,0.0168,66.65,72.98,True,False,False,True,False,1.5277,1324.2,equilibrium_ncyc12,True,9,True,1.52868,1.5415,669.715385,670.6,52.071503,1436.2,83.8,13,66.14,66.383077,72.02,72.33,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5277,1.5425,52.140283,0.628099,L3_L4,24,24,1.5217,669.9,863,-0.0043,True,False
