cell,e_target,feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_realizability,anchor_n_store_pair_feed,lrm_ceil_efpd,surrogate_ceil,d_surr_minus_lrm,min_pred_f_r,fr_true_min,n_true,fr_pred_minus_true,cyclen_at_fr_min,tier_reached,n_feasible_tier1,n_feasible_tier2,n_feasible_tier3,GAP,DIS,REACH,score,role,n_chains
e5.2_f129,5.2,129,ga80,K1_K2,5.2,실현 확인,18,687.416196,678.812381,-8.603815,1.560494,1.7657,18,-0.205206,665.218,tier2,0.0,265.0,566.0,0.6,0.588855,1.0,0.675542,,0
e6.2_f113,6.2,113,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,격자-우회(fallback),0,756.621112,763.741497,7.120385,1.849633,,0,,,none,0.0,0.0,0.0,1.0,0.371544,0.6,0.668618,,0
e5.5_f113,5.5,113,ga80,G3_G4,5.5,실현 확인,67,672.039332,663.531243,-8.508089,1.589634,1.6454,67,-0.055766,656.533,tier2,0.0,136.0,637.0,0.3,0.840424,1.0,0.65617,,0
e5.7_f113,5.7,113,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,미발견,0,696.405553,701.311947,4.906394,1.745735,,0,,,tier3,0.0,0.0,27.0,1.0,0.199852,0.8,0.639941,,0
e5.7_f109,5.7,109,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,미발견,0,681.598767,681.696102,0.097335,1.748196,,0,,,tier3,0.0,0.0,7.0,1.0,0.177337,0.8,0.630935,,0
e6.2_f121,6.2,121,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,73,781.904601,805.104303,23.199702,1.825887,1.9331,73,-0.107213,784.636,none,0.0,0.0,0.0,0.3,0.776968,1.0,0.630787,,0
e5.7_f121,5.7,121,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,미발견,0,719.67686,730.52204,10.84518,1.675357,,0,,,tier3,0.0,0.0,481.0,1.0,0.161319,0.8,0.624528,,0
e5.7_f117,5.7,117,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,미발견,0,710.104648,715.607941,5.503293,1.707944,,0,,,tier3,0.0,0.0,209.0,1.0,0.129811,0.8,0.611924,,0
e6.4_f117,6.4,117,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,실현 확인,175,792.430474,835.434865,43.004391,1.834536,1.8656,175,-0.031064,800.384,none,0.0,0.0,0.0,0.0,1.0,1.0,0.6,,0
e5.4_f113,5.4,113,ga80,N1_N2,5.4,실현 확인,226,659.881365,647.604169,-12.277196,1.514513,1.4961,226,0.018413,641.635,tier1,255.0,641.0,782.0,0.0,1.0,1.0,0.6,,0
e5.3_f125,5.3,125,ga80,L1_L2,5.3,실현 확인,137,687.307938,674.035662,-13.272276,1.532346,1.5238,137,0.008546,671.464,tier1,45.0,566.0,718.0,0.0,1.0,1.0,0.6,,0
e5.3_f117,5.3,117,ga80,L1_L2,5.3,실현 확인,245,660.464858,649.956187,-10.508671,1.521661,1.5409,245,-0.019239,639.711,tier1,11.0,515.0,800.0,0.0,1.0,1.0,0.6,,0
e5.3_f109,5.3,109,ga80,L1_L2,5.3,실현 확인,107,633.951678,615.301715,-18.649963,1.619675,1.6846,107,-0.064925,605.417,tier2,0.0,4.0,369.0,0.0,1.0,1.0,0.6,,0
e6.4_f109,6.4,109,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,실현 확인,165,760.619771,791.044613,30.424842,1.937353,1.9076,165,0.029753,749.022,none,0.0,0.0,0.0,0.0,1.0,1.0,0.6,,0
e5.4_f125,5.4,125,ga80,N1_N2,5.4,실현 확인,150,700.20892,691.411264,-8.797656,1.550481,1.5176,150,0.032881,683.757,tier2,0.0,570.0,767.0,0.0,1.0,1.0,0.6,,0
e6.4_f125,6.4,125,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,실현 확인,131,824.636994,863.104982,38.467988,1.79955,1.7813,131,0.01825,824.561,none,0.0,0.0,0.0,0.0,1.0,1.0,0.6,,0
e5.4_f109,5.4,109,ga80,N1_N2,5.4,실현 확인,122,645.851146,629.224534,-16.626612,1.577968,1.694,122,-0.116032,617.206,tier2,0.0,257.0,578.0,0.0,1.0,1.0,0.6,,0
e6.3_f129,6.3,129,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,격자-우회(fallback),0,832.530392,834.054072,1.52368,1.821328,,0,,,none,0.0,0.0,0.0,1.0,0.177773,0.6,0.591109,,0
e5.1_f113,5.1,113,ga80,J1_J2,5.1,실현 확인,44,623.407461,617.293436,-6.114025,1.596511,1.6,44,-0.003489,616.59,tier2,0.0,298.0,791.0,0.3,0.654767,1.0,0.581907,,0
e5.4_f117,5.4,117,ga80,N1_N2,5.4,실현 확인,217,672.861987,667.135849,-5.726138,1.541451,1.577,217,-0.035549,661.831,tier1,2.0,369.0,748.0,0.0,0.953461,1.0,0.581385,,0
e5.8_f129,5.8,129,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,격자-우회(fallback),0,767.043166,764.631182,-2.411984,1.768912,,0,,,tier3,0.0,0.0,4.0,1.0,0.120148,0.6,0.568059,,0
e6.2_f125,6.2,125,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,251,802.860756,820.657896,17.79714,1.698981,1.7933,251,-0.094319,795.005,none,0.0,0.0,0.0,0.0,0.897822,1.0,0.559129,,0
e5.5_f109,5.5,109,ga80,G3_G4,5.5,실현 확인,128,657.750615,644.124496,-13.626119,1.716997,1.7616,128,-0.044603,635.369,tier3,0.0,0.0,226.0,0.0,0.881204,1.0,0.552482,,0
e6.1_f121,6.1,121,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,73,769.509843,789.939771,20.429928,1.846593,1.9331,73,-0.086507,784.636,none,0.0,0.0,0.0,0.3,0.566612,1.0,0.546645,,0
e6.3_f113,6.3,113,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,격자-우회(fallback),0,769.733881,772.800246,3.066365,1.860721,,0,,,none,0.0,0.0,0.0,1.0,0.05716,0.6,0.542864,,0
e5.8_f113,5.8,113,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,격자-우회(fallback),0,709.186257,711.99136,2.805103,1.825231,,0,,,none,0.0,0.0,0.0,1.0,0.0369,0.6,0.53476,,0
e5.1_f121,5.1,121,ga80,J1_J2,5.1,실현 확인,150,644.239441,646.246522,2.007081,1.493742,1.49,150,0.003742,632.459,tier1,272.0,760.0,887.0,0.0,0.832546,1.0,0.533018,,0
e5.2_f113,5.2,113,ga80,K1_K2,5.2,실현 확인,79,635.565429,631.290547,-4.274882,1.616371,1.6116,79,0.004771,633.577,tier2,0.0,78.0,745.0,0.3,0.512144,1.0,0.524858,,0
e5.2_f109,5.2,109,ga80,K1_K2,5.2,실현 확인,135,622.05221,609.674523,-12.377687,1.595709,1.7254,135,-0.129691,603.953,tier2,0.0,88.0,359.0,0.0,0.784908,1.0,0.513963,,0
e5.0_f129,5.0,129,ga80,E1_E2,5.0,실현 확인,20,661.116515,657.977682,-3.138833,1.552533,1.8305,20,-0.277967,654.195,tier2,0.0,350.0,582.0,0.6,0.175168,1.0,0.510067,,0
e6.1_f109,6.1,109,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,332,728.795088,736.532628,7.73754,1.931023,1.8319,332,0.099123,712.038,none,0.0,0.0,0.0,0.0,0.766654,1.0,0.506662,,0
e5.4_f121,5.4,121,ga80,N1_N2,5.4,실현 확인,230,681.932168,685.002129,3.069961,1.493717,1.4932,230,0.000517,673.329,tier1,133.0,658.0,782.0,0.0,0.751823,1.0,0.500729,,0
e5.9_f121,5.9,121,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,실현 확인,32,745.846844,752.938892,7.092048,1.737605,2.0499,32,-0.312295,762.197,tier3,0.0,0.0,4.0,0.3,0.446358,1.0,0.498543,,0
e5.1_f117,5.1,117,ga80,J1_J2,5.1,실현 확인,338,635.6706,632.791659,-2.878941,1.51909,1.5177,338,0.00139,631.66,tier1,67.0,644.0,762.0,0.0,0.744626,1.0,0.497851,,0
e5.9_f113,5.9,113,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,실현 확인,12,721.729311,722.212547,0.483236,1.815406,2.1346,12,-0.319194,724.623,none,0.0,0.0,0.0,0.6,0.143158,1.0,0.497263,,0
e5.2_f121,5.2,121,ga80,K1_K2,5.2,실현 확인,416,656.803683,660.056978,3.253295,1.487101,1.4902,416,-0.003099,648.875,tier1,308.0,710.0,865.0,0.0,0.7379,1.0,0.49516,,0
e5.1_f125,5.1,125,ga80,J1_J2,5.1,실현 확인,212,661.505974,657.883893,-3.622081,1.559879,1.5119,212,0.047979,651.948,tier2,0.0,515.0,809.0,0.0,0.660371,1.0,0.464148,,0
e5.1_f109,5.1,109,ga80,J1_J2,5.1,실현 확인,223,610.152741,599.559052,-10.593689,1.604991,1.6796,223,-0.074609,590.518,tier2,0.0,23.0,525.0,0.0,0.647302,1.0,0.458921,,0
e5.5_f129,5.5,129,ga80,G3_G4,5.5,실현 확인,38,726.865717,721.497932,-5.367785,1.55355,1.7539,38,-0.20035,713.518,tier2,0.0,288.0,520.0,0.3,0.343895,1.0,0.457558,,0
e5.9_f117,5.9,117,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,실현 확인,26,735.926553,738.930355,3.003802,1.798059,2.0815,26,-0.283441,738.068,tier3,0.0,0.0,1.0,0.3,0.313142,1.0,0.445257,,0
e6.1_f125,6.1,125,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,251,790.133801,803.946665,13.812864,1.81319,1.7933,251,0.01989,795.005,none,0.0,0.0,0.0,0.0,0.607976,1.0,0.44319,,0
