cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.3_f117,5.3,117,ga80,L1_L2,0,min_f_r,636.2706700350478,1.165037377225038,1.5216610406061348,1.9066436223170942,1331.2285031772558,0.04027922655270434,81.96120357404057,24.838076456509636,51.16219167537455,102.031,5.299999999999999,False,2e82f05ab554dbd7dfee1770c0858a47d30e2e3a78de29e08f2599e0bb5b73b4,elite
e5.3_f117,5.3,117,ga80,L1_L2,1,,637.3005814404702,1.1403806483420287,1.5302754642457446,1.9129740766290815,1332.3391247640895,0.0407425408377453,81.47427577223172,24.87828107293475,51.24500631262628,102.031,5.299999999999999,False,ae655823f6e267d604773927d4e9735ab47d7d5da26a8a45df01c14a48ddb665,elite
e5.3_f117,5.3,117,ga80,L1_L2,2,knee,637.924417088678,0.6567206289152323,1.5439731601263915,1.950119414538909,1306.7728947487053,0.04410243913788349,84.37483554064666,24.90263372386808,51.295168610702625,102.031,5.299999999999999,False,8cf2dc25770127b498257c0ef3bc0890503adfe3d9db8e16b5364069c20207ec,elite
e5.3_f117,5.3,117,ga80,L1_L2,3,max_cyclen,638.7552274553428,0.7029014846089323,1.544730177239336,1.9318850143947182,1339.462221279427,0.04011182209889548,81.63362092471417,24.93506603983032,51.36197363759921,102.031,5.299999999999999,False,9db42bc39331560fc4d212a1dbdf4c5f1e6eae1f4a33ded0561a797f6e4604b1,guided
e5.3_f121,5.3,121,ga80,L1_L2,0,min_f_r,654.5357179068343,1.2096963174987145,1.4851835484969718,1.8526928893215784,1357.2315725865221,0.04081849741426478,71.78694262890697,25.55108850764858,50.89101099457279,102.031,5.3,True,890c3a591851775b844d3ce5f74d546ca4c11ea627be5b5981377db5a5357434,elite
e5.3_f121,5.3,121,ga80,L1_L2,1,,654.5737489801508,1.3231712661515098,1.4949441093845475,1.8615675434038665,1358.0197110275856,0.040329430508359666,71.89661354972921,25.552573125361203,50.89396796043016,102.031,5.3,True,fc724c6d57a54eaf0abe45f1bc08ff282286db3431321edea37de38ab98af7c2,elite
e5.3_f121,5.3,121,ga80,L1_L2,2,,656.0822652990656,0.9179666082773896,1.4978403431228033,1.8695623761334415,1364.103170110151,0.040532488061138246,72.12164981719586,25.611461025479304,51.01125708380589,102.031,5.3,True,59c06b9715121f0c8c01b305f086816d7e763531ecc8cc8db233c32b9cfeb88b,elite
e5.3_f121,5.3,121,ga80,L1_L2,3,,657.7701389103198,0.7022837272508184,1.5123274395273263,1.8967616998329748,1331.4501854268601,0.04440627088477108,72.58044350982723,25.67735049010439,51.1424914720261,102.031,5.3,True,fdbc4de18d3b9d0ed23426a1fa9c51b2536e2a77a76499df91d208f3165f4ecf,guided
e5.3_f121,5.3,121,ga80,L1_L2,4,,659.5717810557295,0.868478467077468,1.5200354974249501,1.9099639557298924,1310.1840202398078,0.04852507206949404,72.77378707327367,25.747681133119087,51.2825715130719,102.031,5.3,True,c4a88e9325404894688b0c362d3948b93fb0238a3c5a93936881edb0899d17f9,elite
e5.3_f121,5.3,121,ga80,L1_L2,5,,659.9864585087114,0.6517062214830787,1.5223681993115736,1.9082515268636546,1300.6234942401516,0.05146125477047276,72.93674657212091,25.763868882715325,51.31481322920987,102.031,5.3,True,2e915de7e2ccc02bae176176b647a33638953f46437a50f63438d6a039294289,elite
