cell,e_target,library_id,pair,e_core,feed,is_primary,realizability,anchor_realizability,M_HM_tU,n_store_pair_feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_n_seeded_feeds,anchor_n_store_pair_feed,alpha_B,alpha_C,alpha_source,e_extrapolated,feed_extrapolated,lrm_mean_efpd,lrm_ceil_efpd,lrm_mean_B_cycle,lrm_ceil_B_cycle,lrm_mean_B_d,lrm_ceil_B_d
e6.2_f121,6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,6.19569,121,True,미발견,실현 확인,102.075,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,73,1.019689,1.02784,fitted,True,False,781.714924,781.904601,30.502713,30.510114,60.753337,60.768078
e6.2_f125,6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,6.19569,125,True,미발견,실현 확인,102.075,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,251,1.047269,1.055388,extrapolated_log_feed,True,True,802.858026,802.860756,31.327722,31.327828,60.399847,60.400053
e6.2_f129,6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,6.19569,129,True,미발견,격자-우회(fallback),102.075,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,0,1.067768,1.075746,extrapolated_log_feed,True,True,818.573625,818.347856,31.940948,31.932139,59.672624,59.656166
e6.3_f109,6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543,109,True,미발견,실현 확인,102.036,0,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,4,185,0.96722,0.973457,fitted,True,False,754.648918,753.368008,29.457932,29.407931,65.131757,65.021205
e6.3_f113,6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543,113,True,미발견,격자-우회(fallback),102.036,0,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,4,0,0.987078,0.994604,fitted,True,False,770.14262,769.733881,30.062733,30.046777,64.116093,64.082065
e6.3_f117,6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543,117,True,미발견,실현 확인,102.036,0,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,4,183,1.003856,1.014169,fitted,True,False,783.23323,784.875428,30.573728,30.637832,62.976654,63.108696
e6.3_f121,6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543,121,True,미발견,실현 확인,102.036,0,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,4,48,1.019689,1.02784,fitted,True,False,795.586527,795.45555,31.055943,31.05083,61.855225,61.845041
e6.3_f125,6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543,125,True,미발견,실현 확인,102.036,0,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,4,127,1.047269,1.055388,extrapolated_log_feed,True,True,817.104816,816.77489,31.895915,31.883036,61.495324,61.470494
e6.3_f129,6.3,paramA,P6661Z1G06N16_P6661Z1G08N20,6.303543,129,True,미발견,격자-우회(fallback),102.036,0,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,4,0,1.067768,1.075746,extrapolated_log_feed,True,True,833.09929,832.530392,32.520264,32.498057,60.754911,60.713424
e6.4_f109,6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,109,True,미발견,실현 확인,102.259,0,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,4,165,0.96722,0.973457,fitted,True,False,762.083676,760.619771,29.683187,29.626168,65.629799,65.503729
e6.4_f113,6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,113,True,미발견,격자-우회(fallback),102.259,0,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,4,0,0.987078,0.994604,fitted,True,False,777.730021,777.143178,30.292613,30.269755,64.606368,64.557619
e6.4_f117,6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,117,True,미발견,실현 확인,102.259,0,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,4,175,1.003856,1.014169,fitted,True,False,790.949599,792.430474,30.807516,30.865196,63.458216,63.577027
e6.4_f121,6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,121,True,미발견,실현 확인,102.259,0,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,4,51,1.019689,1.02784,fitted,True,False,803.4246,803.112439,31.293417,31.281259,62.328212,62.303995
e6.4_f125,6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,125,True,미발견,실현 확인,102.259,0,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,4,131,1.047269,1.055388,extrapolated_log_feed,True,True,825.154885,824.636994,32.139813,32.119641,61.965559,61.926668
e6.4_f129,6.4,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,129,True,미발견,격자-우회(fallback),102.259,0,paramA,P6661Z1G06N12_P6661Z1G06N16,6.341428,4,0,1.067768,1.075746,extrapolated_log_feed,True,True,841.306936,840.544156,32.768936,32.739225,61.219485,61.163979
e6.5_f109,6.5,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,109,False,실현 불가(격자),실현 불가(격자),102.259,0,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,0,0,0.96722,0.973457,fitted,True,False,762.083676,760.619771,29.683187,29.626168,65.629799,65.503729
e6.5_f113,6.5,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,113,False,실현 불가(격자),실현 불가(격자),102.259,0,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,0,0,0.987078,0.994604,fitted,True,False,777.730021,777.143178,30.292613,30.269755,64.606368,64.557619
e6.5_f117,6.5,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,117,False,실현 불가(격자),실현 불가(격자),102.259,0,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,0,0,1.003856,1.014169,fitted,True,False,790.949599,792.430474,30.807516,30.865196,63.458216,63.577027
e6.5_f121,6.5,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,121,False,실현 불가(격자),실현 불가(격자),102.259,0,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,0,0,1.019689,1.02784,fitted,True,False,803.4246,803.112439,31.293417,31.281259,62.328212,62.303995
e6.5_f125,6.5,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,125,False,실현 불가(격자),실현 불가(격자),102.259,0,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,0,0,1.047269,1.055388,extrapolated_log_feed,True,True,825.154885,824.636994,32.139813,32.119641,61.965559,61.926668
