position,prev_position,type
1,9,D2
2,12,D2
3,,E0
4,39,D2
5,2,D0
6,,E0
7,21,D2
8,,E1
9,1,B0
10,,E1
11,4,D0
12,,E1
13,7,D2
14,,E2
15,3,C0
16,,E2
17,51,C1
18,43,D0
19,,E1
20,30,C1
21,,E2
22,5,C0
23,14,B0
24,23,D2
25,,E2
26,,E0
27,35,D2
28,,E2
29,8,C1
30,,E2
31,32,D2
32,,E2
33,38,C1
34,53,D2
35,28,D2
36,,E2
37,18,C0
38,,E2
39,11,B0
40,6,D0
41,41,B0
42,,E2
43,19,D2
44,,E1
45,52,C0
46,36,B0
47,56,D2
48,26,D0
49,59,C0
50,,E2
51,60,B1
52,,E0
53,34,B0
54,,E2
55,46,D2
56,,E2
57,57,B0
58,,E2
59,17,D2
60,49,D2
61,39,D2
62,,E1
63,51,C1
64,,E2
65,38,C1
66,,E2
67,60,B1
68,49,D2
69,44,C1
