position,prev_position,type
1,5,B0
2,,D0
3,2,C0
4,,D0
5,6,C0
6,,D0
7,,D2
8,16,C1
9,,D2
10,23,C1
11,4,B0
12,,D2
13,14,B1
14,1,B0
15,7,B1
16,50,B1
17,,D2
18,26,C0
19,,D2
20,46,C1
21,,D2
22,21,B1
23,,D2
24,40,C1
25,42,C1
26,,D0
27,36,B1
28,,D2
29,60,B2
30,12,C1
31,13,B1
32,,D2
33,8,B1
34,18,B0
35,,D2
36,34,B0
37,28,B1
38,19,C1
39,,D2
40,32,C1
41,52,B0
42,25,C1
43,,D0
44,54,C1
45,35,B1
46,,D2
47,27,B1
48,56,C1
49,,D2
50,30,C1
51,10,C1
52,43,C0
53,,D2
54,58,B1
55,48,C1
56,,D2
57,3,B0
58,38,C1
59,11,C0
60,44,B1
61,,D0
62,23,C1
63,,D2
64,42,C1
65,8,B1
66,25,C1
67,10,C1
68,44,B1
69,69,A0
