position,prev_position,type
1,,B0
2,,C0
3,,B0
4,,B0
5,,B0
6,,C0
7,,B1
8,,B1
9,,A0
10,,C1
11,,C0
12,,C1
13,,B1
14,,B1
15,,A0
16,,C1
17,,A0
18,,B0
19,,C1
20,,A0
21,,B1
22,,A0
23,,C1
24,,A0
25,,C1
26,,C0
27,,B1
28,,B1
29,,A0
30,,C1
31,,A0
32,,C1
33,,A0
34,,B0
35,,B1
36,,B1
37,,A0
38,,C1
39,,A0
40,,C1
41,,A0
42,,C1
43,,C0
44,,B1
45,,A0
46,,C1
47,,A0
48,,C1
49,,A0
50,,B1
51,,A0
52,,B0
53,,A0
54,,C1
55,,A0
56,,C1
57,,A0
58,,B1
59,,A0
60,,B2
61,,B0
62,,C1
63,,A0
64,,C1
65,,A0
66,,C1
67,,A0
68,,B2
69,,A0
