position,prev_position,type
1,6,E0
2,5,D0
3,,F0
4,42,E2
5,21,E2
6,,F0
7,3,E0
8,,F3
9,2,D2
10,,F3
11,19,E1
12,,F2
13,50,E2
14,,F3
15,30,E2
16,,F3
17,60,D2
18,28,E2
19,,F2
20,25,E2
21,,F3
22,40,D0
23,16,E2
24,32,E2
25,,F3
26,,F0
27,58,E2
28,,F3
29,27,D2
30,,F3
31,14,E2
32,,F3
33,35,D2
34,26,E0
35,52,E0
36,,F3
37,48,D0
38,,F3
39,10,E1
40,1,D2
41,8,E1
42,,F3
43,18,D0
44,,F3
45,38,E2
46,54,E2
47,36,E2
48,34,D2
49,4,D2
50,,F3
51,7,D2
52,,F0
53,43,D2
54,,F3
55,56,E2
56,,F3
57,44,E1
58,,F3
59,11,D0
60,12,E1
61,42,E2
62,,F3
63,60,D2
64,,F3
65,35,D2
66,,F3
67,7,D2
68,12,E1
69,13,D2
