gen,split,date,n_rows,n_iso_groups,n_members,cond_schema,n_params,best_epoch,target_names,has_cyclen_prior,cyclen_target_idx,rho_iso_f_r,rho_iso_f_r_n,rho_cell_f_r,mae_f_r,n_f_r,rho_iso_node_peak,rho_iso_node_peak_n,rho_cell_node_peak,mae_node_peak,n_node_peak,p10_node_peak,rho_iso_map_cov,rho_iso_map_cov_n,rho_cell_map_cov,mae_map_cov,n_map_cov,p10_map_cov,rho_iso_cyclen,rho_iso_cyclen_n,rho_cell_cyclen,mae_cyclen,n_cyclen,rho_iso_cbc_max,rho_iso_cbc_max_n,rho_cell_cbc_max,mae_cbc_max,n_cbc_max,rho_iso_f_q,rho_iso_f_q_n,rho_cell_f_q,mae_f_q,n_f_q
20260729_054749,S1,2026-07-29,3207,120,5,v6,10351619,116,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.9249542124542123,118,0.9351410416187038,0.1221920700023117,3207,0.9140859140859142,100,0.9289425634104711,0.11461173631182837,1643,0.75,0.9421052631578946,100,0.9527277566236981,0.023273512040987748,1643,0.75,0.7666852755120619,118,0.8502328878798457,3.9824053676750437,3207,0.9069917440660477,118,0.9580737778264514,28.46269918611833,3207,0.9191031761226716,118,0.9305435358499486,0.20091814466008381,3207
20260810_bu_T,S1,2026-08-10,3207,120,5,v6b,10363715,75,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.950032175032175,118,0.9546211967253353,0.09740641528475216,3207,0.9384158926728586,100,0.954281166359032,0.09147749232288115,1643,0.875,0.9580419580419581,100,0.9677055542081008,0.019167456665190843,1643,1.0,0.8980671502410634,118,0.9329813837176992,2.7418255474193653,3207,0.9367588932806323,118,0.9744912841169524,22.52696925568635,3207,0.9491777699859747,118,0.954336067151196,0.16495815947603068,3207
split_S1b,S1b,2026-08-10,3207,120,5,v6b,10363715,48,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.9384615384615387,118,0.9487963180655594,0.10685820554013328,3207,0.940687664825596,100,0.9481851974164216,0.09548226470128834,1643,0.75,0.9545454545454544,100,0.9625327727107913,0.02002771216765724,1643,0.75,0.8950677215744718,118,0.9332969258461505,2.745158187815721,3207,0.9344706480471365,118,0.9722317789162708,22.62587315101121,3207,0.9384076707606119,118,0.9513579583863299,0.17430096902284462,3207
s1c,S1c,2026-08-12,3207,120,5,v6b,10363715,15,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.9397222872567517,118,0.9423821116202349,0.10959736076228906,3207,0.9363636363636362,100,0.9354348026700298,0.10609281962047028,1643,0.75,0.9427796269329449,100,0.9573057607000808,0.022089770298291084,1643,0.75,0.8735584335491828,118,0.9194468521510052,3.087865492921564,3207,0.9368716369570431,118,0.9668517478510792,24.48059730357584,3207,0.9345464339581987,118,0.9466697364805363,0.18414923988903928,3207
s1d,S1d,2026-08-14,3207,120,5,v6b,10363715,68,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.943052503052503,118,0.952019564253469,0.10225469696685706,3207,0.9333333333333335,100,0.9506620206778605,0.09998442408375383,1643,1.0,0.9454545454545453,100,0.9616495012569946,0.02112440360262829,1643,0.75,0.8862802315789295,118,0.9284218543875564,2.920171122184307,3207,0.9315919351846125,118,0.9686757917279571,23.911488135964838,3207,0.9411156095366622,118,0.9525540083107342,0.17247477379053547,3207
s1e,S1e,2026-08-15,3207,120,5,v6b,10363715,68,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.9385495825124308,118,0.9460382628005763,0.1066636347916223,3207,0.9372994652406417,100,0.9465132584134133,0.09935958475436803,1643,0.75,0.9508241758241759,100,0.965332800476643,0.02058201363502662,1643,0.75,0.8867221846254105,118,0.9268130036121145,2.8320587649038687,3207,0.9380624936798464,118,0.9729119375378807,22.209882451355174,3207,0.9401572112098426,118,0.9493066224873604,0.17573173887394394,3207
s1f,S1f,2026-08-16,3207,120,5,v6b,10363715,93,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.944907723855092,118,0.9462125483322253,0.10783283282391606,3207,0.9340280409245927,100,0.9410286382232612,0.10097047880663787,1643,0.75,0.9502964426877472,100,0.9616405804665984,0.02164750449327966,1643,0.75,0.8854212454212453,118,0.9228920891842239,2.871624092786821,3207,0.9366028708133969,118,0.9700254944467666,23.406371632728927,3207,0.9384037015615962,118,0.9486001116229286,0.17768218014107975,3207
s1g,S1g,2026-08-16,3207,120,5,v6b,10363715,60,"['f_r', 'f_q', 'cbc_max', 'cyclen', 'ao_abs', 'discharge_burnup', 'max_pin_burnup', 'max_assembly_burnup']",True,3,0.9417652140374766,118,0.946471242626028,0.1116514998998597,3207,0.9343137254901961,100,0.9425707686143258,0.1057292363444843,1643,0.75,0.9502995531096932,100,0.9606953639106717,0.021151713258731775,1643,0.75,0.8780112044817927,118,0.919317485442169,2.9816335842498454,3207,0.9356469472568545,118,0.9670563635802399,24.57774993960523,3207,0.9407635901250451,118,0.9483311543040993,0.18453872431568946,3207
